 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclasss
290715M,MOOLANDS LTD,2437,1,"6,698.00",STRATEGIC (NON CYCLICAL),03/08/2015,"6,698.00",Technical and Service Support,"Works - Construction, R&M"
280715M,MOOLANDS LTD,2642,1,"2,000.00",STRATEGIC (NON CYCLICAL),03/08/2015,"2,000.00",Technical and Service Support,"Works - Construction, R&M"
280715M,MOOLANDS LTD,2643,1,"2,405.00",STRATEGIC (NON CYCLICAL),03/08/2015,"2,405.00",Technical And Service Support,"Works - Construction, R&M"
290715M,"TOYE, KENNING & SPENCER LTD===",10291225,1,510,CLOTHING,03/08/2015,510,Property PFI,Clothing
800063965,*JAMES HUNTER (OUTFITTERS) LTD,108268,1,246.45,CLOTHING,03/08/2015,319.32,Operations Non Fire Stations,Clothing
800063965,*JAMES HUNTER (OUTFITTERS) LTD,108268,2,72.87,CLOTHING,03/08/2015,,Operations Non Fire Stations,Clothing
800063970,*JAMES HUNTER (OUTFITTERS) LTD,108273,1,72.87,CLOTHING,03/08/2015,319.32,Operations Non Fire Stations,Clothing
800063970,*JAMES HUNTER (OUTFITTERS) LTD,108273,2,246.45,CLOTHING,03/08/2015,,Operations Non Fire Stations,Clothing
280715M,SURREY BLIND & CURTAIN CO=====,14674,1,"1,120.50",FIXTURES & FITTINGS,03/08/2015,"1,120.50",Technical And Service Support,"Works - Construction, R&M"
280715M,BUREAU VERITAS HS&E LTD=======,15010868,1,"97,510.95",SCIENTIFIC SERVICES,03/08/2015,"97,510.95",Procurement,Environmental Services
030815H,APPLUS LLT,15057,1,"3,750.00",GENERAL,03/08/2015,"3,750.00",Procurement,Vehicle Management
141130,ARTHUR J. GALLAGHER (UK),18744087,1,"5,400.00",CONSULTANTS,03/08/2015,"7,200.00",Finance Services,Consultancy
141130,ARTHUR J. GALLAGHER (UK),18744087,2,"1,800.00",PAYMENTS IN ADVANCE,03/08/2015,,Do not include,Consultancy
270715M,C. S. TODD & ASSOCIATES LTD,22207,1,"2,500.00",CONSULTANTS,03/08/2015,"2,500.00",Fire Safety Regulation,Human Resources
290715M,GRADIENT CONSULTANTS LLP======,2365,1,105,ASBESTOS,03/08/2015,740,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,2,105,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,3,55,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,4,105,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,5,105,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,6,105,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,7,105,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,8,55,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
240715H,*LOCKHART CATERING EQUIPMENT,2478659,1,27.96,CATERING EQUIPMENT,03/08/2015,385.24,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,2,137.8,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,3,67.68,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,4,7.76,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,5,28.86,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,6,13.84,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,7,61.92,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,8,5.76,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,9,8.98,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,10,15.28,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,11,5.82,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
