 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclasws
260716K,GOVNET COMMUNICATIONS=========,103041,1,597,PROFESSIONAL DEVELOPMENT,01/08/2016,597,Corporate Management Team,Human Resources
250716G,NORTHERN DIVER (INTERNATIONAL),172007,1,140,OPERATIONAL EQUIP-PURCHASE,01/08/2016,407.5,Technical and Service Support,Fire & Rescue
250716G,NORTHERN DIVER (INTERNATIONAL),172007,2,120,OPERATIONAL EQUIP-PURCHASE,01/08/2016,,Technical and Service Support,Fire & Rescue
250716G,NORTHERN DIVER (INTERNATIONAL),172007,3,140,OPERATIONAL EQUIP-PURCHASE,01/08/2016,,Technical and Service Support,Fire & Rescue
250716G,NORTHERN DIVER (INTERNATIONAL),172007,4,7.5,OPERATIONAL EQUIP-PURCHASE,01/08/2016,,Technical and Service Support,Fire & Rescue
260716K,INFOR (UNITED KINGDOM) LIMITED,11612565-GB04G,1,680,MAINTENANCE & SUPPORT,01/08/2016,"2,040.00",Information and Communication Technology,ICT
260716K,INFOR (UNITED KINGDOM) LIMITED,11612565-GB04G,2,"1,360.00",MAINTENANCE & SUPPORT,01/08/2016,,Information and Communication Technology,ICT
260716K,INFOR (UNITED KINGDOM) LIMITED,11614582-GB04G,1,680,MAINTENANCE & SUPPORT,01/08/2016,680,Information and Communication Technology,ICT
150716K,BRITISH COMPUTER SOCIETY======,1385817,1,125.1,GENERAL,01/08/2016,375.3,Information and Communication Technology,ICT
150716K,BRITISH COMPUTER SOCIETY======,1385817,2,125.1,GENERAL,01/08/2016,,Information and Communication Technology,ICT
150716K,BRITISH COMPUTER SOCIETY======,1385817,3,125.1,GENERAL,01/08/2016,,Information and Communication Technology,ICT
270716K,SURREY BLIND & CURTAIN CO=====,15115,1,405,TACTICAL DAY TO DAY,01/08/2016,405,Technical and Service Support,"Works - Construction, R&M"
010816G,APPLUS LLT,15172,1,"3,750.00",GENERAL,01/08/2016,"3,750.00",Procurement,Vehicle Management
270716K,ENGIE,1800007392,1,294.62,PLANNED BUILDING DECORATIONS,01/08/2016,294.62,Technical and Service Support,"Works - Construction, R&M"
270716K,ENGIE,1800008615,1,412.5,PLANNED BUILDING DECORATIONS,01/08/2016,412.5,Technical and Service Support,"Works - Construction, R&M"
270716K,ENGIE,1800008616,1,"1,248.50",PLANNED BUILDING DECORATIONS,01/08/2016,"1,248.50",Technical and Service Support,"Works - Construction, R&M"
270716K,ENGIE,1800008621,1,"1,188.00",PLANNED BUILDING DECORATIONS,01/08/2016,"1,188.00",Technical and Service Support,"Works - Construction, R&M"
270716K,ENGIE,1800008634,1,"1,414.60",PLANNED BUILDING DECORATIONS,01/08/2016,"1,414.60",Technical and Service Support,"Works - Construction, R&M"
270716K,ENGIE,1800008635,1,"1,030.49",PLANNED BUILDING DECORATIONS,01/08/2016,"1,030.49",Technical and Service Support,"Works - Construction, R&M"
270716K,ENGIE,1800008646,1,"62,354.80",STRATEGIC (CYCLICAL),01/08/2016,"86,144.84",Technical and Service Support,"Works - Construction, R&M"
