 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
281116K,GOVNET COMMUNICATIONS=========,0000110806,1,385.00,PROFESSIONAL DEVELOPMENT,01/12/16,385.00,Fire Safety Regulation,Human Resources
241116K,NORTHERN DIVER (INTERNATIONAL),0000174613,1,95.00,OPERATIONAL EQUIP-PURCHASE,01/12/16,252.50,Technical and Service Support,Fire & Rescue
241116K,NORTHERN DIVER (INTERNATIONAL),0000174613,2,120.00,OPERATIONAL EQUIP-PURCHASE,01/12/16,,Technical and Service Support,Fire & Rescue
241116K,NORTHERN DIVER (INTERNATIONAL),0000174613,3,25.00,OPERATIONAL EQUIP-PURCHASE,01/12/16,,Technical and Service Support,Fire & Rescue
241116K,NORTHERN DIVER (INTERNATIONAL),0000174613,4,5.00,OPERATIONAL EQUIP-PURCHASE,01/12/16,,Technical and Service Support,Fire & Rescue
241116K,NORTHERN DIVER (INTERNATIONAL),0000174613,5,7.50,OPERATIONAL EQUIP-PURCHASE,01/12/16,,Technical and Service Support,Fire & Rescue
241116K,ALERE TOXICOLOGY PLC,00482605,1,500.00,DRUG & ALCOHOL TESTS,01/12/16,500.00,HR Management,Healthcare
251116K,LE MAITRE LTD=================,011157,1,449.00,COMMUNITY RELATIONS,01/12/16,449.00,Community Safety Delivery,Facilities & Management S
241116K,*GREENHAM TRADING LTD=========,05/734747,1,3.80,HYGIENE,01/12/16,292.18,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,2,15.90,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,3,6.84,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,4,8.76,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,5,1.45,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,6,17.70,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,7,2.60,CATERING EQUIPMENT,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,8,16.76,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,9,16.16,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,10,4.02,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,11,14.68,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,12,4.00,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,13,10.70,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,14,32.60,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,15,12.40,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,16,33.99,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,17,42.26,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
241116K,*GREENHAM TRADING LTD=========,05/734747,18,47.56,HYGIENE,01/12/16,,Fire Stations (North East),Cleaning & Janitorial
281116K,AFFINITY WATER,101086337,1,520.00,CURRENT HYDRANT COSTS,01/12/16,520.00,Operational Resilience,Utilities
281116K,AFFINITY WATER,101086338,1,520.00,CURRENT HYDRANT COSTS,01/12/16,520.00,Operational Resilience,Utilities
281116K,AFFINITY WATER,101086345,1,520.00,CURRENT HYDRANT COSTS,01/12/16,520.00,Operational Resilience,Utilities
281116K,AFFINITY WATER,101086351,1,565.00,CURRENT HYDRANT COSTS,01/12/16,565.00,Operational Resilience,Utilities
281116K,AFFINITY WATER,101086352,1,685.00,CURRENT HYDRANT COSTS,01/12/16,685.00,Operational Resilience,Utilities
241116K,*SPRUE SAFETY PRODUCTS LTD====,1096285,1,741.60,FIRE DETECTORS,01/12/16,741.60,Fire Stations (South West),Health & Safety
241116K,*SPRUE SAFETY PRODUCTS LTD====,1096295,1,741.60,FIRE DETECTORS,01/12/16,741.60,Fire Stations (South West),Health & Safety
241116K,*SPRUE SAFETY PRODUCTS LTD====,1096302,1,"1,112.40",FIRE DETECTORS,01/12/16,"1,112.40",Fire Stations (South West),Health & Safety
241116K,*SPRUE SAFETY PRODUCTS LTD====,1096828,1,988.80,FIRE DETECTORS,01/12/16,988.80,Fire Stations (North East),Health & Safety
241116K,*SPRUE SAFETY PRODUCTS LTD====,1096830,1,494.40,FIRE DETECTORS,01/12/16,494.40,Fire Stations (North East),Health & Safety
241116K,*SPRUE SAFETY PRODUCTS LTD====,1096922,1,988.80,FIRE DETECTORS,01/12/16,988.80,Fire Stations (North East),Health & Safety
241116K,*SPRUE SAFETY PRODUCTS LTD====,1096929,1,988.80,FIRE DETECTORS,01/12/16,988.80,Fire Stations (North East),Health & Safety
141689,*SPRUE SAFETY PRODUCTS LTD====,1098940,1,"1,236.00",FIRE DETECTORS,01/12/16,"1,236.00",Fire Stations (South West),Health & Safety
231116K,*SPRUE SAFETY PRODUCTS LTD====,1098943,1,"1,320.00",FIRE DETECTORS,01/12/16,"1,320.00",Fire Stations (South West),Health & Safety
231116K,*SPRUE SAFETY PRODUCTS LTD====,1098945,1,"2,400.00",FIRE DETECTORS,01/12/16,"2,400.00",Fire Stations (South West),Health & Safety
231116K,*SPRUE SAFETY PRODUCTS LTD====,1098955,1,"4,400.00",FIRE DETECTORS,01/12/16,"4,400.00",Fire Stations (North East),Health & Safety
231116K,*SPRUE SAFETY PRODUCTS LTD====,1098956,1,"5,600.00",FIRE DETECTORS,01/12/16,"5,600.00",Fire Stations (North East),Health & Safety
231116K,*SPRUE SAFETY PRODUCTS LTD====,1098957,1,"4,000.00",FIRE DETECTORS,01/12/16,"4,000.00",Fire Stations (North West),Health & Safety
231116K,*SPRUE SAFETY PRODUCTS LTD====,1098958,1,"2,200.00",FIRE DETECTORS,01/12/16,"2,200.00",Fire Stations (North West),Health & Safety
251116K,ENVIROGRAF,113552,1,547.22,OPERATIONAL EQUIP-PURCHASE,01/12/16,547.22,Community Safety Delivery,Fire & Rescue
251116K,ENVIROGRAF,113553,1,"1,078.43",OPERATIONAL EQUIP-PURCHASE,01/12/16,"1,078.43",Community Safety Delivery,Fire & Rescue
251116K,ENVIROGRAF,113554,1,654.14,OPERATIONAL EQUIP-PURCHASE,01/12/16,654.14,Community Safety Delivery,Fire & Rescue
251116K,BT GLOBAL SERVICES============,1135734,1,541.66,TELECOMMUNICATIONS,01/12/16,541.66,Information and Communication Technology,ICT
221116K,MORRISEY ELECTRICAL & BUILDING,1201/764,1,"52,094.80",DEVELOPMENT  EXPENSES-CONTRACT,01/12/16,"52,094.80",Technical and Service Support,"Works - Construction, R&M"
181116G,A&A ELECTRICAL DISTRIBUTORS===,1213375,1,"1,350.00",GENERAL CONSUMABLES,01/12/16,"1,350.00",Procurement,Building Constr Materials
241116K,SILVERSANDS LIMITED===========,124362,1,"2,850.00",MAINTENANCE & SUPPORT,01/12/16,"2,850.00",Information and Communication Technology,ICT
141692,MR STEPHEN BUTLER,127522,1,300.00,COUNSELS FEES,01/12/16,300.00,Compensation Budgets,Legal Services
241116K,GB3 LIMITED,13358,1,697.00,MAINTENANCE & SUPPORT,01/12/16,697.00,London Coordination Centre,ICT
281116K,GB3 LIMITED,13363,1,"11,000.00",MAINTENANCE & SUPPORT,01/12/16,"11,000.00",London Coordination Centre,ICT
251116K,MAYA JARRETT,1539*,1,420.00,CONSULTANTS,01/12/16,420.00,HR Management,Human Resources
161116G,GREATER LONDON AUTHORITY======,1800006275,1,"26,242.40",GLA GROUP SHARED SERVICES,01/12/16,"26,242.40",Legal & Democratic Services,Statutory Bodies
161116G,GREATER LONDON AUTHORITY======,1800006276,1,"49,319.84",GLA GROUP SHARED SERVICES,01/12/16,"49,319.84",Legal & Democratic Services,Statutory Bodies
241116K,ENGIE,1800009752,1,"4,156.73",PLANNED BUILDING DECORATIONS,01/12/16,"4,156.73",Technical and Service Support,"Works - Construction, R&M"
800091582,REDFERN TRAVEL LTD,1953928,1,303.70,ACCOMMODATION BOOKINGS,01/12/16,303.70,Fire Safety Regulation,Human Resources
800091577,REDFERN TRAVEL LTD,1954058,1,943.70,ACCOMMODATION BOOKINGS,01/12/16,943.70,Fire Safety Regulation,Human Resources
800091578,REDFERN TRAVEL LTD,1954518,1,"3,962.80",ACCOMMODATION BOOKINGS,01/12/16,"3,962.80",Operational Resilience,Human Resources
800091584,REDFERN TRAVEL LTD,1955762,1,338.80,TRAVEL BOOKINGS,01/12/16,338.80,National Operational Guidance Project,Human Resources
800091583,REDFERN TRAVEL LTD,1960319,1,311.70,ACCOMMODATION BOOKINGS,01/12/16,311.70,Fire Safety Regulation,Human Resources
800091565,REDFERN TRAVEL LTD,1960487,1,279.70,ACCOMMODATION BOOKINGS,01/12/16,279.70,National Operational Guidance Project,Human Resources
800091566,REDFERN TRAVEL LTD,1960746,1,473.70,ACCOMMODATION BOOKINGS,01/12/16,473.70,National Operational Guidance Project,Human Resources
800091567,REDFERN TRAVEL LTD,1960906,1,421.20,ACCOMMODATION BOOKINGS,01/12/16,421.20,National Operational Guidance Project,Human Resources
800091610,REDFERN TRAVEL LTD,1961521,1,341.96,TRAVEL BOOKINGS,01/12/16,341.96,Community Safety Delivery,Human Resources
800091602,REDFERN TRAVEL LTD,1961932,1,281.25,TRAVEL BOOKINGS,01/12/16,281.25,National Operational Guidance Project,Human Resources
800091616,REDFERN TRAVEL LTD,1963497,1,763.36,TRAVEL BOOKINGS,01/12/16,763.36,Operational Resilience,Human Resources
800091622,REDFERN TRAVEL LTD,1965176,1,258.88,TRAVEL BOOKINGS,01/12/16,258.88,Operational Resilience,Human Resources
