 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
211216K,NUS STUDENTS' UNION,10602,1,"1,110.00",SUBSCRIPTIONS,06/01/2017,"1,110.00",Procurement,Consultancy
231216K,*SPRUE SAFETY PRODUCTS LTD,1099770,1,"1,483.20",FIRE DETECTORS,06/01/2017,"1,483.20",Fire Stations (North East),Health & Safety
231216K,*SPRUE SAFETY PRODUCTS LTD,1099771,1,"1,483.20",FIRE DETECTORS,06/01/2017,"1,483.20",Fire Stations (North East),Health & Safety
030117K,QWIZDOM UK LTD===============,12509,1,"9,750.00",OPERATIONAL EQUIP-PURCHASE,06/01/2017,"9,775.00",Fire Stations (North East),ICT
030117K,QWIZDOM UK LTD===============,12509,2,25,ADDITIONAL PURCHASE COSTS,06/01/2017,,Fire Stations (North East),ICT
141729,MS BIANCA VENKATA,127689,1,600,COUNSELS FEES,06/01/2017,600,Compensation Budgets,Legal Services
030117K,STEP BEACH PRESS LTD,133,1,320,HIRE OF FACILITIES,06/01/2017,320,HR Management,Arts & Leisure Services
231216K,DEAN AND CHAPTER OF ST PAUL'S=,13742,1,"9,874.00",PUBLIC RELATIONS,06/01/2017,"9,874.00",LFB 150th Anniversary,Facilities & Management S
201216K,REAM CONTRACTS LTD,14493,1,"9,950.00",REACTIVE SMALL WORKS AND PROJ,06/01/2017,"9,950.00",Technical and Service Support,Building Constr Materials
201216K,REAM CONTRACTS LTD,14495,1,"2,450.00",DEVELOPMENT  EXPENSES-CONTRACT,06/01/2017,"2,450.00",Technical and Service Support,Building Constr Materials
231216K,REAM CONTRACTS LTD,14497,1,"7,784.30",REACTIVE SMALL WORKS AND PROJ,06/01/2017,"7,784.30",Technical and Service Support,Building Constr Materials
211216K,H FINE & SON LTD==============,153602,1,505,UNIFORMS - POMS,06/01/2017,505,Procurement,Clothing
221216K,UK TAPES LTD==================,160139,1,"1,044.00",GENERAL CONSUMABLES,06/01/2017,"1,044.00",Procurement,Health & Safety
221216K,BUREAU VERITAS HS&E LTD=======,16016972,1,"98,583.57",SCIENTIFIC SERVICES,06/01/2017,"98,583.57",Procurement,Environmental Services
221216K,KIER BUILDING SERV ENGINEERS==,16060930,1,"11,823.46",STRATEGIC (CYCLICAL),06/01/2017,"11,823.46",Technical and Service Support,"Works - Construction, R&M"
231216K,PA ASSOCIATES (UK) LTD========,16110,1,"1,679.75",REACTIVE SMALL WORKS AND PROJ,06/01/2017,"1,679.75",Technical and Service Support,Environmental Services
800092847,PRIMEPEACE LTD,161102,1,"3,000.00",MAINTENANCE & SUPPORT,06/01/2017,"3,000.00",Information and Communication Technology,ICT
231216K,PA ASSOCIATES (UK) LTD========,16111,1,"1,799.75",REACTIVE SMALL WORKS AND PROJ,06/01/2017,"1,799.75",Technical and Service Support,Environmental Services
