Identifier,Title,Description ,Currency,Amount awarded,Award Date,Planned Dates:Start Date,Planned Dates:End Date,Recipient Org:Name,Recipient Org:Identifier,Recipient Org:Charity Number,Recipient Org:Company Number,Funding Org:Identifier,Funding Org:Name,Funding Org:Department,Grant Programme:Title,Last Modified,Data Source,Approved by
360G-GLA-GJEypBOXm4SoH7g,Grant to Voluntary Action Harrow Ltd,Speed Volunteering project - Pop-Up Harrow ,GBP,9940,2014-11-03,2014-11-03,2015-03-30,Voluntary Action Harrow Ltd,GB-COH-07554530,,07554530,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GN7OCz1NAEdXtMk,Grant to UP Projects,Speed Volunteering project ,GBP,10000,2014-11-03,2014-11-03,2015-10-30,UP Projects,GB-COH-04971057,,04971057,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GhyEyp16R9OQwYj,Grant to Trees for Cities,Speed Volunteering project - Time 4 Trees,GBP,10000,2014-11-03,2014-11-03,2015-03-30,Trees for Cities,GB-CHC-1032154,1032154,02874642,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GBL95vjzzoQi6K8,Grant to The Vine Project,TVP Speed Volunteering project ,GBP,9991,2014-11-03,2014-11-03,2015-03-30,The Vine Project,GB-CHC-1098714,1098714,04715349,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GjDHLimKGVZ0EYj,Grant to The National Trust,Speed Volunteering project - Every Volunteer Journey Matters,GBP,10000,2014-11-03,2014-11-03,2015-03-30,The National Trust,GB-CHC-205846,205846,,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-Gzslokl65kBJAKH,Grant to The Conservation Volunteers,Green Speed Volunteering,GBP,10000,2014-11-03,2014-11-03,2015-03-30,The Conservation Volunteers,GB-CHC-261009,261009,00976410,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-Gu9AQAKdAIqngTr,Grant to Significant Seams CIC,Speed Volunteering Walthamstow,GBP,10000,2014-11-03,2014-11-03,2015-10-30,Significant Seams CIC,GB-COH-07759689,,07759689,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GGGNrXDof3xPULb,Grant to London Youth Games Foundation,Speed Volunteering project,GBP,10000,2014-11-03,2014-11-03,2015-10-30,London Youth Games Foundation,GB-CHC-1048705,1048705,02039817,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-G45F4BPKSYehaYI,Grant to Isledon Here To,Speed Volunteering project,GBP,9781.8,2014-11-03,2014-11-03,2015-03-30,Here to Islington,GB-COH-08157010,,08157010,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GwEfgOter50o9vm,Grant to Here to Islington,Speed Volunteering Project,GBP,9782,2014-11-03,2014-11-03,2015-10-30,Here to Islington,GB-COH-08157010,,08157010,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GK1Y6A5uW831zaX,Grant to Haringey Mencap,SWIFT Speed Volunteering project,GBP,9850,2014-11-03,2014-11-03,2015-03-30,Haringey Mencap,GB-CHC-1082380,1082380,03710559,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GMVcZvyccW0UcOv,Grant to Groundwork London,Speed Volunteering project - Team Wandle,GBP,10000,2014-11-03,2014-11-03,2015-03-30,Groundwork London,GB-CHC-1121105,1121105,04212532,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GgvqRMoi1NMaSo8,Grant to Deen City Farm,"Little time, big difference - volunteering project",GBP,9208,2014-11-03,2014-11-03,2015-03-30,Deen City Farm,GB-CHC-1008028,1008028,02577067,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-G24qWqiHM7fQcQh,Grant to Croydon Voluntary Action,Team Croydon Team Leaders volunteers project,GBP,10000,2014-11-03,2014-11-03,2015-03-30,Croydon Voluntary Action,GB-CHC-1060157,1060157,03271298,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GDt0OJjHJLdxvh0,Grant to Cordwainers Grow,Speed Greening Volunteering Project,GBP,9940,2014-11-03,2014-11-03,2015-10-30,Cordwainers Grow,GB-COH-09318812,,09318812,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-Gn9TCQ5waNV5tcN,Grant to Bee Collective,Bee Collective Volunteer Project,GBP,10000,2014-11-03,2014-11-03,2015-03-30,Bee Collective,GB-COH-08391016,,08391016,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GSbcW5Kmo2Ujfop,Grant to Age UK Waltham Forest,Speed Volunteering Project,GBP,8575,2014-11-03,2014-11-03,2015-10-30,Age UK Waltham Forest,GB-CHC-1048212,1048212,02334459,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GRrUTmvKgC9EnZ8,Grant to Age UK Hammersmith & Fulham,Speed Volunteering Silver Socials project,GBP,10000,2014-11-03,2014-11-03,2015-03-30,Age UK Hammersmith & Fulham,GB-CHC-289124,289124,01685692,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1282
360G-GLA-GH7dcl4U8T1HCbY,Grant to LB Ealing,Growing Places Fund - Southall Big Plan,GBP,5775000,2014-11-04,,,LB Ealing,GB-LAE-EAL,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1213
360G-GLA-GkrTi7M9PQIV1U2,Grant to LB Croydon,New Addington Improvement Works,GBP,959000,2014-11-05,,,LB Croydon,GB-LAE-CRY,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1177
360G-GLA-GJzxD0qYWIozyFt,Grant to City Year,Supplementary schools/Leadership Clubs,GBP,150476,2014-11-07,2014-11-14,2016-01-31,City Year,GB-CHC-1131350,1131350,06965846,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD972
