 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
280415H,VCG KESTREL LIMITED===========,486,1,"1,199.00",PRINTING,05/05/2015,"1,199.00",Operational Procedures,Facilities & Management S
800060980,*JAMES HUNTER (OUTFITTERS) LTD,108112,1,312.89,CLOTHING,05/05/2015,312.89,Operations Fire Stations,Clothing
280415H,INFOR (UNITED KINGDOM) LIMITED,11506986-GB04G,1,"2,560.00",MAINTENANCE & SUPPORT,05/05/2015,"2,560.00",Information and Communication Technology,ICT
280415H,INFOR (UNITED KINGDOM) LIMITED,11506991-GB04G,1,"1,226.72",MAINTENANCE & SUPPORT,05/05/2015,"1,226.72",Information and Communication Technology,ICT
280415H,INFOR (UNITED KINGDOM) LIMITED,11506992-GB04G,1,"6,400.00",MAINTENANCE & SUPPORT,05/05/2015,"6,400.00",Information and Communication Technology,ICT
280415H,INFOR (UNITED KINGDOM) LIMITED,11507085-GB04G,1,"1,280.00",MAINTENANCE & SUPPORT,05/05/2015,"1,280.00",Information and Communication Technology,ICT
280415H,INFOR (UNITED KINGDOM) LIMITED,11507088-GB04G,1,"3,200.00",MAINTENANCE & SUPPORT,05/05/2015,"3,200.00",Information and Communication Technology,ICT
220415G,SAFEGUARD PEST CON. & ENV.LTD,133293,1,350,PEST CONTROL,05/05/2015,350,Technical And Service Support,Environmental Services
280415H,SURREY BLIND & CURTAIN CO=====,14625,1,278,FIXTURES & FITTINGS,05/05/2015,278,Technical And Service Support,"Works - Construction, R&M"
800060940,PRIMEPEACE LTD================,150401,1,"80,000.00",MAINTENANCE & SUPPORT,05/05/2015,"80,000.00",Information and Communication Technology,ICT
290415H,COLLINS (CONTRACTORS) LTD=====,1528/15LFEP02,1,850,PUBLIC RELATIONS,05/05/2015,850,Community Safety Delivery,"Works - Construction, R&M"
290415G,UK TAPES LTD==================,154308,1,406.08,GENERAL CONSUMABLES,05/05/2015,406.08,Procurement,Health & Safety
290415G,SPECTRUM======================,1578,1,405,SPECIALIST EQUIPMENT,05/05/2015,405,Communications,Facilities & Management S
290415H,HARRIS INSTALLATION SERVICES,17683,1,"1,376.72",REMOVALS,05/05/2015,"1,376.72",Technical And Service Support,Facilities & Management S
