 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
300317K,WOLF SAFETY LAMP CO LTD=======,0000033228,1,875.00,OPERATIONAL EQUIP-PURCHASE,04/04/17,875.00,Operational Resilience,Fire & Rescue
290317K,ADVANCED FURNITURE,0000090655,1,945.00,OFFICE FURNITURE,04/04/17,945.00,Fire Stations (North East),Furniture
160317K,ADVANCED FURNITURE,0000091351,1,675.00,OFFICE FURNITURE,04/04/17,675.00,Fire Stations (North West),Furniture
270317K,ADVANCED FURNITURE,0000091352,1,"1,620.00",OFFICE FURNITURE,04/04/17,"1,620.00",Fire Stations (North West),Furniture
160317K,ADVANCED FURNITURE,0000091353,1,675.00,OFFICE FURNITURE,04/04/17,675.00,Fire Stations (North West),Furniture
160317K,ADVANCED FURNITURE,0000091354,1,405.00,OFFICE FURNITURE,04/04/17,405.00,Fire Stations (North West),Furniture
200317K,ADVANCED FURNITURE,0000091358,1,405.00,OFFICE FURNITURE,04/04/17,405.00,Fire Stations (North West),Furniture
160317K,ADVANCED FURNITURE,0000091359,1,675.00,OFFICE FURNITURE,04/04/17,675.00,Fire Stations (South East),Furniture
200317K,ADVANCED FURNITURE,0000091385,1,270.00,OFFICE FURNITURE,04/04/17,270.00,Fire Stations (North East),Furniture
200317K,ADVANCED FURNITURE,0000091389,1,540.00,OFFICE FURNITURE,04/04/17,540.00,Fire Stations (North East),Furniture
240317G,ADVANCED FURNITURE,0000091663,1,405.00,OFFICE FURNITURE,04/04/17,405.00,Fire Stations (South East),Furniture
270317K,ADVANCED FURNITURE,0000091717,1,"1,620.00",OFFICE FURNITURE,04/04/17,"1,620.00",Fire Stations (South East),Furniture
310317K,GOVNET COMMUNICATIONS=========,0000117076,1,666.00,GENERAL,04/04/17,666.00,Community Safety Delivery,Human Resources
141825,CASTLE WATER LIMITED,00099013,1,"2,150.22",WATER & SEWERAGE RATES,04/04/17,"2,150.22",Technical and Service Support,Utilities
141825,OGILVIE FLEET LTD=============,00435621,1,250.47,LEASE CAR CHARGES,04/04/17,250.47,Procurement,Vehicle Management
141825,OGILVIE FLEET LTD=============,00435621,2,-21.02,VAT CAR LEASING,04/04/17,,Finance Services,Vehicle Management
141825,OGILVIE FLEET LTD=============,00435621,3,21.02,LEASE CAR CHARGES,04/04/17,,Procurement,Vehicle Management
170317K,GREY MATTER LTD===============,0426653,1,282.72,MAINTENANCE & SUPPORT,04/04/17,282.72,Information and Communication Technology,ICT
