 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
010817K,APPLUS LLT,17014,1,"3,750.00",GENERAL,02/08/17,"3,750.00",Procurement,Vehicle Management
010817K,APPLUS LLT,17052,1,"3,750.00",GENERAL,02/08/17,"3,750.00",Procurement,Vehicle Management
270717K,INFICON GMBH==================,70939616,1,569.66,OPERATIONAL EQUIP-PURCHASE,02/08/17,569.66,CBRN RRT,Fire & Rescue
310717K,WOLF SAFETY LAMP CO LTD=======,0000034274,1,"6,520.00",GENERAL CONSUMABLES,03/08/17,"6,520.00",Procurement,Fire & Rescue
270717K,GOVNET COMMUNICATIONS=========,0000122971,1,385.00,PROFESSIONAL DEVELOPMENT,03/08/17,385.00,Development and Training,Human Resources
270717K,GOVNET COMMUNICATIONS=========,0000123622,1,490.00,PROFESSIONAL DEVELOPMENT,03/08/17,490.00,Development and Training,Human Resources
310717K,HEALTH MANAGEMENT LIMITED=====,0000164504,1,350.00,THIRD PARTY REPORTS,03/08/17,"1,842.50",HR Management,Healthcare
310717K,HEALTH MANAGEMENT LIMITED=====,0000164504,2,350.00,THIRD PARTY REPORTS,03/08/17,,HR Management,Healthcare
310717K,HEALTH MANAGEMENT LIMITED=====,0000164504,3,"1,142.50",THIRD PARTY REPORTS,03/08/17,,HR Management,Healthcare
310717K,MOOLANDS LTD,00008749,1,480.00,REACTIVE SMALL WORKS AND PROJ,03/08/17,480.00,Technical and Service Support,"Works - Construction, R&M"
140717K,BIJAN ART LTD,038448,1,"1,000.00",PUBLIC RELATIONS,03/08/17,"1,000.00",Communications,Facilities & Management S
141944,LAMBERT SMITH HAMPTON========,082114,1,"1,833.98",RENTS,03/08/17,"1,833.98",Technical and Service Support,Consultancy
180717F,MORRISEY ELECTRICAL & BUILDING,1000004,1,"31,126.60",DEVELOPMENT  EXPENSES-CONTRACT,03/08/17,"31,126.60",Technical and Service Support,"Works - Construction, R&M"
310717K,COUNTY DURHAM & DARLINGTON FRS,10010466,1,350.00,GENERAL,03/08/17,350.00,Challenge Team,Statutory Bodies
280717K,BANCROFT HINCHLEY LTD=========,10180,1,"1,700.00",REPAIR & MAINTENANCE,03/08/17,"2,255.00",Technical and Service Support,Fire & Rescue
280717K,BANCROFT HINCHLEY LTD=========,10180,2,555.00,REPAIR & MAINTENANCE,03/08/17,,Technical and Service Support,Fire & Rescue
310717K,TRADE WINDS===================,14959,1,"1,727.00",GENERAL CONSUMABLES,03/08/17,"1,727.00",Procurement,Facilities & Management S
310717K,NISBETS,15057234,1,460.66,CATERING EQUIPMENT,03/08/17,460.66,Development and Training,Catering
270717K,NEIL STEWART ASSOCIATES=======,1942812-102561196,1,650.00,PROFESSIONAL DEVELOPMENT,03/08/17,650.00,Development and Training,Human Resources
270717K,COTSWOLD OUTDOOR LTD,2017052353301,1,966.88,OPERATIONAL EQUIP-PURCHASE,03/08/17,966.88,Operational Resilience,Sports & Playground Equip
270717K,HARRIS INSTALLATION SERVICES,21513,1,372.00,DAY TO DAY MINOR IMPS,03/08/17,372.00,Grenfell,Facilities & Management S
800100976,REDFERN TRAVEL LTD,2184139,1,"1,933.05",OVERSEAS TRAVEL,03/08/17,"1,933.05",Operational Policy,Human Resources
800100972,REDFERN TRAVEL LTD,2191930,1,461.10,ACCOMMODATION BOOKINGS,03/08/17,461.10,Challenge Team,Human Resources
800100984,REDFERN TRAVEL LTD,2202736,1,515.10,TRAVEL BOOKINGS,03/08/17,515.10,Corporate Management Team,Human Resources
141950,MISS EMMA COLLINS,236561A,1,"1,300.00",PROFESSIONAL FEES ENFORCEMENT,03/08/17,"1,300.00",Legal & Democratic Services,Legal Services
141950,ARTHUR J. GALLAGHER (UK),27582181,1,"2,625.00",CONSULTANTS,03/08/17,"3,500.00",Finance Services,Consultancy
141950,ARTHUR J. GALLAGHER (UK),27582181,2,875.00,PAYMENTS IN ADVANCE,03/08/17,,Finance Services,Consultancy
310717K,AECOM INFRASTRUCTURE &,28307583/28315968,1,"8,862.20",PROF FEES-MISCELLANEOUS,03/08/17,"8,862.20", ,Consultancy
240717K,AECOM INFRASTRUCTURE &,28314880,1,"2,974.38",PROF FEES-MISCELLANEOUS,03/08/17,"2,974.38", ,Consultancy
310717K,DRAEGER SAFETY UK LIMITED,2910092405,1,354.00,PROTECTIVE EQUIPT - PARTS,03/08/17,374.50,Technical and Service Support,Fire & Rescue
310717K,DRAEGER SAFETY UK LIMITED,2910092405,2,20.50,PROTECTIVE EQUIPT - PARTS,03/08/17,,Technical and Service Support,Fire & Rescue
260717G,DRAEGER SAFETY UK LIMITED,2910092406,1,167.74,PROTECTIVE EQUIPT - PARTS,03/08/17,"1,853.98",Technical and Service Support,Fire & Rescue
260717G,DRAEGER SAFETY UK LIMITED,2910092406,2,"1,686.24",PROTECTIVE EQUIPT - PARTS,03/08/17,,Technical and Service Support,Fire & Rescue
310717K,DRAEGER SAFETY UK LIMITED,2910092588,1,763.40,PROTECTIVE EQUIPT - PARTS,03/08/17,763.40,Technical and Service Support,Fire & Rescue
260717G,DRAEGER SAFETY UK LIMITED,2910092626,1,265.50,PROTECTIVE EQUIPT - PARTS,03/08/17,"2,824.50",Technical and Service Support,Fire & Rescue
260717G,DRAEGER SAFETY UK LIMITED,2910092626,2,851.10,PROTECTIVE EQUIPT - PARTS,03/08/17,,Technical and Service Support,Fire & Rescue
260717G,DRAEGER SAFETY UK LIMITED,2910092626,3,"1,707.90",PROTECTIVE EQUIPT - PARTS,03/08/17,,Technical and Service Support,Fire & Rescue
280717K,WATERFRONT MANUFACTURING LTD,29219,1,182.00,CLOTHING,03/08/17,350.00,Fire Stations (South West),Clothing
280717K,WATERFRONT MANUFACTURING LTD,29219,2,168.00,CLOTHING,03/08/17,,Fire Stations (South West),Clothing
270717K,WATERFRONT MANUFACTURING LTD,29266,1,336.00,CLOTHING,03/08/17,336.00,Fire Stations (North East),Clothing
270717K,WATERFRONT MANUFACTURING LTD,29267,1,504.00,CLOTHING,03/08/17,504.00,Central Operations,Clothing
280717K,WATERFRONT MANUFACTURING LTD,29295,1,750.00,CLOTHING,03/08/17,"1,350.00",Fire Stations (Management),Clothing
280717K,WATERFRONT MANUFACTURING LTD,29295,2,600.00,CLOTHING,03/08/17,,Fire Stations (Management),Clothing
280717K,PROACT MEDICAL LIMITED,333816,1,"2,065.00",HYGIENE,03/08/17,"2,065.00",Development and Training,Healthcare
141935,CASTLE WATER LIMITED,361421,1,"1,256.90",WATER & SEWERAGE RATES,03/08/17,"1,256.90",Technical and Service Support,Utilities
270717K,HAMPSHIRE FIRE AND RESCUE SERV,3630006703,1,"2,300.00",HIRE OF FACILITIES,03/08/17,"2,300.00",Operational Policy,Statutory Bodies
141950,HENRY STREETER (AUTOMOTIVE)==,3763,1,"1,893.41",PREMIUMS,03/08/17,"2,272.09",Central Finance,Financial Services
141950,HENRY STREETER (AUTOMOTIVE)==,3763,2,378.68,PAYMENTS IN ADVANCE,03/08/17,,Finance Services,Financial Services
240717K,HAGEMEYER UK LTD,432745201,1,554.45,FIRE DETECTORS,03/08/17,554.45,Fire Stations (North East),Building Constr Materials
270717K,BT GLOBAL SERVICES,448441,1,"15,050.12",MAINTENANCE & SUPPORT,03/08/17,"15,050.12",Information and Communication Technology,ICT
800102421,SPORTSAFE UK LTD,509580,1,350.00,REACTIVE GYM EQUIPMENT,03/08/17,350.00,Technical and Service Support,Sports & Playground Equip
800102453,SPORTSAFE UK LTD,509729,1,657.37,REACTIVE GYM EQUIPMENT,03/08/17,657.37,Technical and Service Support,Sports & Playground Equip
800101983,*GREENHAM TRADING LTD,5758092,1,1.22,HYGIENE,03/08/17,281.40,Fire Stations (North West),Cleaning & Janitorial
800101983,*GREENHAM TRADING LTD,5758092,2,1.15,HYGIENE,03/08/17,,Fire Stations (North West),Cleaning & Janitorial
800101983,*GREENHAM TRADING LTD,5758092,3,2.30,HYGIENE,03/08/17,,Fire Stations (North West),Cleaning & Janitorial
800101983,*GREENHAM TRADING LTD,5758092,4,3.34,HYGIENE,03/08/17,,Fire Stations (North West),Cleaning & Janitorial
800101983,*GREENHAM TRADING LTD,5758092,5,8.50,HYGIENE,03/08/17,,Fire Stations (North West),Cleaning & Janitorial
800101983,*GREENHAM TRADING LTD,5758092,6,6.70,HYGIENE,03/08/17,,Fire Stations (North West),Cleaning & Janitorial
