 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
291117K,MOOLANDS LTD,00009845,1,474.00,REACTIVE SMALL WORKS AND PROJ,04/12/17,474.00,Technical and Service Support,Works - Construction
291117K,MOOLANDS LTD,00009846,1,"4,300.00",REACTIVE SMALL WORKS AND PROJ,04/12/17,"4,300.00",Technical and Service Support,Works - Construction
291117K,MOOLANDS LTD,00009848,1,"1,240.00",REACTIVE SMALL WORKS AND PROJ,04/12/17,"1,240.00",Technical and Service Support,Works - Construction
291117K,SAV SYSTEMS UK LTD,0008004708,1,"1,009.59",REACTIVE SMALL WORKS AND PROJ,04/12/17,"1,009.59",Technical and Service Support,Works - Construction
291117K,SAV SYSTEMS UK LTD,0008004709,1,465.00,REACTIVE SMALL WORKS AND PROJ,04/12/17,"1,395.00",Technical and Service Support,Works - Construction
291117K,SAV SYSTEMS UK LTD,0008004709,2,465.00,REACTIVE SMALL WORKS AND PROJ,04/12/17,,Technical and Service Support,Works - Construction
291117K,SAV SYSTEMS UK LTD,0008004709,3,465.00,REACTIVE SMALL WORKS AND PROJ,04/12/17,,Technical and Service Support,Works - Construction
291117K,SAV SYSTEMS UK LTD,0008004710,1,"2,644.93",REACTIVE SMALL WORKS AND PROJ,04/12/17,"2,644.93",Technical and Service Support,Works - Construction
142064,CASTLE WATER LIMITED,00804423,1,366.08,WATER & SEWERAGE RATES,04/12/17,366.08,Technical and Service Support,Utilities
142064,CASTLE WATER LIMITED,00804741,1,387.22,WATER & SEWERAGE RATES,04/12/17,387.22,Technical and Service Support,Utilities
142064,CASTLE WATER LIMITED,00804864,1,487.77,WATER & SEWERAGE RATES,04/12/17,487.77,Technical and Service Support,Utilities
281117K,CHANGING YOUNG MINDS,0313,1,300.00,GENERAL,04/12/17,300.00,Community Safety,Consultancy
291117K,DAVIES & ROBSON LOGISTICS LTD,05633,1,"3,631.70",PROF FEES-MISCELLANEOUS,04/12/17,"5,055.40",Technical and Service Support,Consultancy
291117K,DAVIES & ROBSON LOGISTICS LTD,05633,2,"1,000.00",PROF FEES-MISCELLANEOUS,04/12/17,,Technical and Service Support,Consultancy
291117K,DAVIES & ROBSON LOGISTICS LTD,05633,3,423.70,PROF FEES-MISCELLANEOUS,04/12/17,,Technical and Service Support,Consultancy
800107612,COMPASS GROUP LTD,10035756395-1,1,325.50,REFRESHMENTS,04/12/17,325.50,Community Safety,Building Constr Materials
800107604,COMPASS GROUP LTD,10035756395-13,1,372.00,REFRESHMENTS,04/12/17,372.00,Community Safety,Building Constr Materials
800107631,COMPASS GROUP LTD,10035756395-33,1,"1,462.00",REFRESHMENTS,04/12/17,"1,462.00",Central Operations,Building Constr Materials
800107025,COMPASS GROUP LTD,1003576371-37,1,558.00,REFRESHMENTS,04/12/17,558.00,Fire Engineering & Specialist Fire Safety,Building Constr Materials
201117K,*SPRUE SAFETY PRODUCTS LTD,1112104,1,159.20,FIRE DETECTORS,04/12/17,777.20,Community Safety,Vehicle Management
201117K,*SPRUE SAFETY PRODUCTS LTD,1112104,2,618.00,FIRE DETECTORS,04/12/17,,Community Safety,Vehicle Management
281117K,*SPRUE SAFETY PRODUCTS LTD,1112105,1,159.20,FIRE DETECTORS,04/12/17,777.20,Community Safety,Vehicle Management
281117K,*SPRUE SAFETY PRODUCTS LTD,1112105,2,618.00,FIRE DETECTORS,04/12/17,,Community Safety,Vehicle Management
