OrderNumber,Type,VendorID,PartType,PartNumber,LineNumber,PartDescription, UnitCost ,UnitofMeasure, NetAmount ,QtyOrdered,QtyReceived,QtyAccepted,Orderdate,DeliverTo,CentreName
HAY/00633     ,P,20575,1,2610B               ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 20.66 ,EACH," 5,784.80 ",280,210,210,20170404,B32       ,"ITD CUSTOMER SUPPORT, 1ST FLOOR UNION STREET                "
HAY/00664     ,P,20575,1,2610B               ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 17.45 ,EACH," 5,130.30 ",294,14,14,20170428,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             
HAY/00666     ,P,20575,1,2610B               ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 17.56 ,EACH," 7,375.20 ",420,35,35,20170503,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             
HAY/00688     ,P,20575,1,2610B               ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 17.45 ,EACH," 6,945.10 ",398,312.75,312.75,20170509,HRTABR    ,TRAINING ASSURANCE TEAM (DTTA)                              
HAY/00708     ,P,20575,1,2610B               ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 17.45 ,EACH," 7,939.75 ",455,63,63,20170515,R97       ,OPERATIONAL RISK                                            
HAY/00720     ,P,20575,1,2610B               ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 17.45 ,EACH," 7,329.00 ",420,119,119,20170519,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             
HAY/00730     ,P,20575,1,2610B               ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 41.61 ,EACH," 6,865.65 ",165,75,75,20170526,Z23A      ,TECHNICAL & SERVICE SUPPORT HQ - MANAGEMENT                 
ITS/14528     ,P,17641,1,ICT0009A            ,1,SOFTWARE DEVELOPMENT          (ICT)                         , 950.00 ,EACH," 9,500.00 ",10,10,10,20170505,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       "
KAH/00003     ,P,3176,2,                    ,1,P_ACCESS CONTROL_CARRY OUT PLANNED TASKS I.A.W LFEPA CONTRAC," 7,608.59 ",EACH," 7,608.59 ",1,1,1,20170509,H11       ,HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   
PSP/22089     ,P,19094,2,                    ,1,STATION MANAGERS OFFICE AND TOILETS - TOTTENHAM FS          ," 6,343.00 ",EACH," 6,343.00 ",1,1,1,20170406,F53       ,TOTTENHAM FIRE STATION (F53)                                
