Ordernumber,Vendor ID,Vendor name,Type,Line number,Part description,Unit cost,Order quantity,Line cost,Order date,Month,Centre ID,Centre name,Total order Cost (net) £
TSE/74410     ,14924,BABCOCK CRITICAL SERVICES LTD,P,1,"NON CATALOGUE - SERVICES, EXCLUDING PROPERTY SERVICES       ","5,918.40",1.00,"5,918.40",05/04/2018,Apr,Z26A      ,ENGINEERING FLEET & EQUIPMENT MANAGEMENT (3 US)             ,"5,918.40"
PSP/23274     ,19094,B NOKES CONTRACTS LTD,P,1,REPLACE POLE HOUSE DOORS - SOUTHGATE FS                     ,1.00,"9,612.13","9,612.13",09/04/2018,Apr,F56       ,SOUTHGATE FIRE STATION (F56)                                ,"9,612.13"
PSP/23275     ,19094,B NOKES CONTRACTS LTD,P,1,REPLACE FRONT DOOR - POPLAR FS                              ,1.00,"9,229.00","9,229.00",09/04/2018,Apr,F22       ,POPLAR FIRE STATION (F22)                                   ,"9,229.00"
PSP/23278     ,19094,B NOKES CONTRACTS LTD,P,1,KITCHEN REPLACEMENT WORKS - HAMMERSMITH                     ,1.00,"5,868.93","5,868.93",09/04/2018,Apr,G36       ,HAMMERSMITH FIRE STATION (G36)                              ,"5,868.93"
TSE/74464     ,14346,MERSEYSIDE FCDA,P,1,SECONDMENT FROM OTHER PARTNER ORGANISATIONS                 ,"9,750.70",1.00,"9,750.70",09/04/2018,Apr,R48       ,NOG - NATIONAL RESILLIENCE                                  ,"9,750.70"
TSE/74468     ,17888,AIRBUS DEFENCE AND SPACE,P,1,TECHNOLOGY SOLUTIONS          (ICT)                         ,"1,000.00",10.00,"10,000.00",09/04/2018,Apr,B55       ,"ITD CONTRACT MANAGEMENT, 1ST FLOOR UNION STREET             ","10,000.00"
PSP/23282     ,19094,B NOKES CONTRACTS LTD,P,1,"SCAFFOLDING FOR ROOF, GUTTER AND WALL REPAIRS - NEW CROSS FS",1.00,"9,222.80","9,222.80",10/04/2018,Apr,E38       ,NEW CROSS FIRE STATION (E38)                                ,"9,222.80"
PSP/23288     ,19707,LONDON ENERGY PROJECT,P,1,LOMDON ENERGY PROJECT-AUTHORITY WIDE                        ,"6,750.00",1.00,"6,750.00",10/04/2018,Apr,Z13       ,PROPERTY SERVICES MANAGEMENT & ADMIN                        ,"6,750.00"
PSP/23289     ,19094,B NOKES CONTRACTS LTD,P,1,WATERLESS URINALS INSTALLATION 1ST FLOOR - UNION ST         ,"5,234.33",1.00,"5,234.33",10/04/2018,Apr,Z13       ,PROPERTY SERVICES MANAGEMENT & ADMIN                        ,"5,234.33"
PSP/23290     ,19094,B NOKES CONTRACTS LTD,P,1,WATERLESS URINALS INSTALLATION 2ND FLOOR - UNION ST         ,"5,234.33",1.00,"5,234.33",10/04/2018,Apr,Z13       ,PROPERTY SERVICES MANAGEMENT & ADMIN                        ,"5,234.33"
PSP/23291     ,19094,B NOKES CONTRACTS LTD,P,1,WATERLESS URINALS INSTALLATION GROUND  FLOOR - UNION ST     ,"5,234.33",1.00,"5,234.33",10/04/2018,Apr,Z13       ,PROPERTY SERVICES MANAGEMENT & ADMIN                        ,"5,234.33"
PSP/23294     ,19094,B NOKES CONTRACTS LTD,P,1,REFURBISHMENT OF GEAR HANGING & TOP BOXES - WEST HAMPSTEAD  ,"9,582.00",1.00,"9,582.00",10/04/2018,Apr,G51       ,WEST HAMPSTEAD FIRE STATION (G51)                           ,"9,582.00"
PSP/23296     ,19094,B NOKES CONTRACTS LTD,P,1,SUPPLY AND INSTALL SCAFFOLDING - BARKING FS                 ,"8,795.00",1.00,"8,795.00",10/04/2018,Apr,F43       ,BARKING FIRE STATION (F43)                                  ,"8,795.00"
PSP/23297     ,19094,B NOKES CONTRACTS LTD,P,1,WATCH/CREW MANAGER'S GEAR ROOM REFURBISHMENT-WEST HAMPSTEAD ,"7,409.50",1.00,"7,409.50",10/04/2018,Apr,G51       ,WEST HAMPSTEAD FIRE STATION (G51)                           ,"7,409.50"
PGS/10802     ,4621,THERMO FISHER SCIENTIFIC MESST,P,1,TO REPAIR 50 EPD'S                                          ,121.00,46.00,"5,566.00",11/04/2018,Apr,Z82       ,PEG CROYDON GENERAL PURCHASING                              ,"5,566.00"
PGS/10803     ,2552,DRAEGER SAFETY UK LIMITED,P,5,FPS7000 FACEMASK - VISOR ANTI SCRATCH - PG7160              ,56.93,100.00,"5,693.00",11/04/2018,Apr,Z82       ,PEG CROYDON GENERAL PURCHASING                              ,"5,693.00"
PSP/23301     ,19094,B NOKES CONTRACTS LTD,P,1,WATERLESS URINALS INSTALLATION THIRD FLOOR - UNION ST       ,"5,234.33",1.00,"5,234.33",11/04/2018,Apr,Z13       ,PROPERTY SERVICES MANAGEMENT & ADMIN                        ,"5,234.33"
PSP/23303     ,20116,BLUE3 LONDON LTD OPERATING,P,1,PFI PROPERTY PROJECT                                        ,"6,354.95",1.00,"6,354.95",11/04/2018,Apr,Z13       ,PROPERTY SERVICES MANAGEMENT & ADMIN                        ,"6,354.95"
PSP/23306     ,18241,REAM CONTRACTS LTD,P,1,REPLACEMENT WATER HEATER - FOREST HGILL FS                  ,"8,806.13",1.00,"8,806.13",11/04/2018,Apr,E31       ,FOREST HILL FIRE STATION                                    ,"8,806.13"
PSP/23308     ,19094,B NOKES CONTRACTS LTD,P,1,ELECTRICAL WORK - KENTISH TOWN FS                           ,"6,893.10",1.00,"6,893.10",11/04/2018,Apr,G50       ,KENTISH TOWN FIRE STATION (G50)                             ,"6,893.10"
TSE/74510     ,13430,COMPUTACENTRE,P,3,HARDWARE PURCHASE             (ICT)                         ,873.12,6.00,"5,238.72",11/04/2018,Apr,M12F      ,LONDON OPERATIONS CENTRE (MERTON)                           ,"11,025.90"
TSE/74510     ,13430,COMPUTACENTRE,P,8,HARDWARE PURCHASE             (ICT)                         ,"2,893.59",2.00,"5,787.18",11/04/2018,Apr,M12F      ,LONDON OPERATIONS CENTRE (MERTON)                           ,"11,025.90"
HAY/01269     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT             ,24.83,343.00,"8,516.69",12/04/2018,Apr,R65       ,"LEGAL SERVICES - MANAGEMENT & ADMIN,                        ","8,516.69"
ITS/14597     ,8053,MOORE STEPHENS CONSULTING LTD,P,1,SOFTWARE DEVELOPMENT - BESPOKE(ICT)                         ,"1,000.00",6.75,"6,750.00",12/04/2018,Apr,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       ","6,750.00"
PGS/10804     ,4621,THERMO FISHER SCIENTIFIC MESST,P,1,TO REPAIR 50 EPD'S                                          ,121.00,43.00,"5,203.00",12/04/2018,Apr,Z82       ,PEG CROYDON GENERAL PURCHASING                              ,"5,203.00"
PSP/23319     ,19740,VIGILANCE PROPERTIES,P,1,SITE SECURITY SERVICES - UNIT 1 PEGASUS RD CROYDON          ,1.00,"5,425.00","5,425.00",12/04/2018,Apr,Z13       ,PROPERTY SERVICES MANAGEMENT & ADMIN                        ,"5,425.00"
PSP/23322     ,19094,B NOKES CONTRACTS LTD,P,1,REMOVE AND INSTALL NEW DOOR - FINCHLEY FS                   ,"6,340.00",1.00,"6,340.00",12/04/2018,Apr,G53       ,FINCHLEY FIRE STATION (G53)                                 ,"6,340.00"
TSE/74519     ,16191,CADCORP,P,1,SOFTWARE LICENCES             (ICT)                         ,1.00,"6,683.00","6,683.00",12/04/2018,Apr,R94       ,IMD - INFORMATION MANAGEMENT DEPARTMENT                     ,"6,683.00"
PGS/10809     ,2552,DRAEGER SAFETY UK LIMITED,P,3,BATTERY PACK NIMH (MERLIN)    PG7518                        ,114.07,60.00,"6,844.20",13/04/2018,Apr,Z82       ,PEG CROYDON GENERAL PURCHASING                              ,"6,844.20"
TSE/74591     ,20224,CHAIN GANG,P,1,POSTAL/COURIER SERVICES (HQ)  - PEGASUS COURIERS            ,1.00,"5,000.00","5,000.00",13/04/2018,Apr,R79       ,"IMD - MAIL SERVICES, OVERHEADS ACCOUNTS                     ","5,000.00"
TSE/74608     ,12683,GREATER LONDON AUTHORITY,P,1,GLA COLLOBORATIVE PROCUREMENT  SERVICES                     ,"5,271.61",1.00,"5,271.61",13/04/2018,Apr,Z84       ,PROCUREMENT CORPORATE PROCUREMENT SERVICES                  ,"5,271.61"
HAY/01275     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT             ,20.79,350.00,"7,276.50",16/04/2018,Apr,R81E      ,COMMUNICATIONS PRESS OFFICE                                 ,"7,276.50"
TSE/74631     ,20802,THE HOME OFFICE,P,2,RADIO SERVICES                (ICT)                         ,"8,924.51",1.00,"8,924.51",16/04/2018,Apr,B55       ,"ITD CONTRACT MANAGEMENT, 1ST FLOOR UNION STREET             ","8,924.51"
TSE/74637     ,13430,COMPUTACENTRE,P,8,SOFTWARE PURCHASE             (ICT)                         ,"5,032.77",1.00,"5,032.77",17/04/2018,Apr,B54       ,"ITD NETWORK GROUP, 1ST FLOOR UNION STREET                   ","5,032.77"
TSE/74646     ,21127,EDINBURGH AIRPORT LIMITED,P,1,SECONDMENT FROM OTHER PARTNER ORGANISATIONS                 ,"7,748.73",1.00,"7,748.73",17/04/2018,Apr,R37       ,CPO - CONTENT TEAM                                          ,"7,748.73"
PSP/23346     ,19030,ENVISION CONCEPTS LIMITED,P,1,VOLTAGE OPTIMISATION UNIT REPLACEMENT - HAMMERSMITH FS      ,"8,120.00",1.00,"8,120.00",19/04/2018,Apr,G36       ,HAMMERSMITH FIRE STATION (G36)                              ,"8,120.00"
