 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
250118K,GOVNET COMMUNICATIONS,0000132035,1,740.00,PROFESSIONAL DEVELOPMENT,01/02/18,740.00,National Operational Guidance Project,Human Resources
142134,CASTLE WATER LIMITED,00796733,1,"1,350.31",WATER & SEWERAGE RATES,01/02/18,"1,350.31",Technical and Service Support,Utilities
142134,CASTLE WATER LIMITED,00820823,1,552.88,WATER & SEWERAGE RATES,01/02/18,552.88,Technical and Service Support,Utilities
142134,CASTLE WATER LIMITED,00820854,1,344.98,WATER & SEWERAGE RATES,01/02/18,344.98,Technical and Service Support,Utilities
220118K,ROYAL INSTITUTION OF CHARTERED,01957819FTI,1,558.00,PROFESSIONAL DEVELOPMENT,01/02/18,558.00,Development and Training,Human Resources
142115,STAFFORDSHIRE FIRE & RESCUE,1000000186,1,"19,578.55",FIRE AUTHS-MUTUAL ASSISTANCE,01/02/18,"19,578.55",Strategy & Inclusion,Non Influenceable Spend
800109478,COMPASS GROUP LTD,1003576371-53,1,"1,000.00",REFRESHMENTS,01/02/18,"1,000.00",Strategy & Inclusion,Catering
260118K,AFFINITY BUSINESS RETAIL LTD,101103837,1,523.00,CURRENT HYDRANT COSTS,01/02/18,523.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101103869,1,563.00,CURRENT HYDRANT COSTS,01/02/18,563.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101105719,1,324.00,CURRENT HYDRANT COSTS,01/02/18,324.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101106915,1,518.00,CURRENT HYDRANT COSTS,01/02/18,518.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101106916,1,405.00,CURRENT HYDRANT COSTS,01/02/18,405.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101106917,1,364.00,CURRENT HYDRANT COSTS,01/02/18,364.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101107143,1,270.50,CURRENT HYDRANT COSTS,01/02/18,270.50,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101107144,1,270.50,CURRENT HYDRANT COSTS,01/02/18,270.50,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101107709,1,389.00,CURRENT HYDRANT COSTS,01/02/18,389.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101108109,1,338.00,CURRENT HYDRANT COSTS,01/02/18,338.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101108110,1,530.00,CURRENT HYDRANT COSTS,01/02/18,530.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101108113,1,787.00,CURRENT HYDRANT COSTS,01/02/18,787.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101108323,1,338.00,CURRENT HYDRANT COSTS,01/02/18,338.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101108324,1,338.00,CURRENT HYDRANT COSTS,01/02/18,338.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101108327,1,787.00,CURRENT HYDRANT COSTS,01/02/18,787.00,Procurement,Works - Construction
260118K,AFFINITY BUSINESS RETAIL LTD,101108329,1,338.00,CURRENT HYDRANT COSTS,01/02/18,338.00,Procurement,Works - Construction
