IncidentNumber,FinalDescription [at time of mobilisation],DDDateTimeOfCall,IncType,Motive,ActionParent [firefighting action],[Firefighting] Action,PropertyType,ParentPropertyType,PropertyClass,AtStopDamageSpreadSize,OrganisationName,OrganisationDetail,SaonDescription,StreetDescriptor,PostCode,IncGeo_BoroughName,IncGeo_WardName,LondonBorough,MainCause,LocationFireStarted,LocationOfFirestartOther,MainCauseGroup,IgnitionSourceGroup,WereActiveSafetySystemsPresent,NumberOfFireFightingSystems
3376131,AFA ACTUATING,09/01/2013 10:22,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,The Hall School Charitable Trust,,,Crossfield Road,NW3 4NU,Camden,Belsize,Inner London,Faulty fuel supplies – Electricity,Meeting room,,Faulty Appliance or Supply,Electrical distribution,No,0
3778131,FIRE,10/01/2013 10:17,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Pre School/nursery ,Education,Non Residential,Limited to room of origin,,,,Rees Gardens,CR0 6HT,Croydon,Woodside,Outer London,Combustible articles too close to heat source (or fire),Boiler room,,Human Element,Other ignition source,No,0
3973131,SMOKE ISSUING,10/01/2013 18:25,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,,Second Steps Day Nursery,,,Ravenslea Road,SW12 8RU,Wandsworth,Nightingale,Inner London,Faulty fuel supplies – Electricity,Other,Basement,Faulty Appliance or Supply,Electrical distribution,No,0
4153131,AFA ACTUATING,11/01/2013 06:49,Primary Fire,Accidental,Burned out (Allowed to burn under control),None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Langdon Comprehensive School,,,Sussex Road,E6 2PS,Newham,Wall End,Inner London,Combustible articles too close to heat source (or fire),Utility room,,Human Element,Electrical distribution,No,0
9271131,SMELL OF BURNING,22/01/2013 13:32,Primary Fire,Accidental,Other,,Infant/Primary school,Education,Non Residential,,St. Martins School,,,Goodwyn Avenue,NW7 3RG,Barnet,Mill Hill,Outer London,Fault in equipment or appliance,"Under stairs (enclosed, storage area)",,Faulty Appliance or Supply,Electrical distribution,No,0
9922131,AFA ACTUATING AND SMOKE ISSUING FROM STAFF ROOM,24/01/2013 07:09,Primary Fire,Accidental,Removal from/of heat source,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Wellington Primary School,,,Wellington Way,E3 4NE,Tower Hamlets,Bromley North,Inner London,Cooking – other cooking,Kitchen,,Human Element,Kitchen appliances,No,0
10565131,ROOF ALIGHT INFANT BUILDING,25/01/2013 15:33,Primary Fire,Accidental,Other small means,Small means,Infant/Primary school,Education,Non Residential,,Harold Wood Primary School,,,Recreation Avenue,RM3 0TH,Havering,Emerson Park,Outer London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Lighting,Unknown,0
14322131,FIRE,03/02/2013 01:00,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to room of origin,Gunnersbury Catholic School for Boys,,,The Ride,TW8 9LB,Hounslow,Brentford,Outer London,Faulty leads to equipment or appliance,Other,wood workshop,Faulty Appliance or Supply,Electrical distribution,No,0
15386131,SMELL OF SMOKE,05/02/2013 14:08,Primary Fire,Deliberate,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to room of origin,Holy Family RC Primary School,,,Wades Place,E14 0DE,Tower Hamlets,Poplar,Inner London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Smoking related,No,0
16138131,FIRE,07/02/2013 10:45,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,,Childlink Centre,,,Hill End Road,UB9 6LH,Hillingdon,Harefield,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
