GOVERNMENT PROCUREMENT CARDS,,,,,,
Quarter 3 2014/15,,,,,,
,,,,,,
Date of the Transaction ,Local Authority Department which Incurred the Expenditure ,Beneficiary,Amount,Value Added Tax that cannot be recovered ,Summary of the purpose of the expenditure ,"Merchant category (eg. computers, software etc)."
17/11/2014,Procurement,Hosteleria Unida,107.20,N/A,Hotel Room for Head of Procurement to speak at Euratex convention in Brussels. This is due to be reimbursed by conference organisers.,Personal Protective Equipment (PPE)
20/12/2014,Communications,Twitter,60.00,N/A,Christmas Fire Safety Campaign,Facilities and Management
21/12/2014,Communications,Twitter,120.00,N/A,Christmas Fire Safety Campaign,Facilities and Management
28/12/2014,Communications,Twitter,70.00,N/A,Christmas Fire Safety Campaign,Facilities and Management
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
