 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
142104,THOMPSONS SOLICITORS,9306*,1,"24,920.00",CLAIMANT COSTS AGREED,02/01/2018,"24,920.00",Compensation Budgets,Legal Services
142104,ANTHONY GOLD SOLICITORS=======,9885,1,"25,000.00",CLAIMANT COSTS AGREED,02/01/2018,"25,000.00",Compensation Budgets,Legal Services
902825,THERMO FISHER SCIENTIFIC MESST,RSI 514670,1,718.63,REPAIR & MAINTENANCE,02/01/2018,"1,121.78",Technical and Service Support,Emergency Services
902825,THERMO FISHER SCIENTIFIC MESST,RSI 514670,2,356.05,REPAIR & MAINTENANCE,02/01/2018,,Technical and Service Support,Emergency Services
902825,THERMO FISHER SCIENTIFIC MESST,RSI 514670,3,47.1,REPAIR & MAINTENANCE,02/01/2018,,Technical and Service Support,Emergency Services
020118K,GOVNET COMMUNICATIONS,131028,1,395,PROFESSIONAL DEVELOPMENT,05/01/2018,395,National Operational Guidance Project,Human Resources
020118K,GOVNET COMMUNICATIONS,131095,1,385,PROFESSIONAL DEVELOPMENT,05/01/2018,385,National Operational Guidance Project,Human Resources
121217G,CLOSERSTILL MEDIA LTD,178076,1,"1,651.14",PROFESSIONAL DEVELOPMENT,05/01/2018,"1,651.14",Development and Training,Human Resources
211217K,SONIC COMMUNICATIONS LTD,236184,1,"2,250.00",RADIO,05/01/2018,"6,475.00",Information and Communication Technology,ICT
211217K,SONIC COMMUNICATIONS LTD,236184,2,"1,067.50",RADIO,05/01/2018,,Information and Communication Technology,ICT
211217K,SONIC COMMUNICATIONS LTD,236184,3,500,RADIO,05/01/2018,,Information and Communication Technology,ICT
211217K,SONIC COMMUNICATIONS LTD,236184,4,687.5,RADIO,05/01/2018,,Information and Communication Technology,ICT
211217K,SONIC COMMUNICATIONS LTD,236184,5,820,RADIO,05/01/2018,,Information and Communication Technology,ICT
211217K,SONIC COMMUNICATIONS LTD,236184,6,930,RADIO,05/01/2018,,Information and Communication Technology,ICT
211217K,SONIC COMMUNICATIONS LTD,236184,7,200,RADIO,05/01/2018,,Information and Communication Technology,ICT
