 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
130617K,HEALTH MANAGEMENT LIMITED=====,0000163244,1,"116,467.37",OHS CONTRACT,03/07/17,"116,467.37",HR Management,Healthcare
190617F,HEALTH MANAGEMENT LIMITED=====,0000163245,1,300.00,THIRD PARTY REPORTS,03/07/17,"2,346.80",HR Management,Healthcare
190617F,HEALTH MANAGEMENT LIMITED=====,0000163245,2,250.00,THIRD PARTY REPORTS,03/07/17,,HR Management,Healthcare
190617F,HEALTH MANAGEMENT LIMITED=====,0000163245,3,350.00,THIRD PARTY REPORTS,03/07/17,,HR Management,Healthcare
190617F,HEALTH MANAGEMENT LIMITED=====,0000163245,4,"1,446.80",THIRD PARTY REPORTS,03/07/17,,HR Management,Healthcare
141917,ROYAL GARDEN HOTEL(JERSEY) LTD,00009,1,"1,500.00",RENTS,03/07/17,"1,500.00",Technical and Service Support,Human Resources
280617K,*GREENHAM TRADING LTD,05/749006,1,9.32,OPERATIONAL EQUIP-PURCHASE,03/07/17,349.16,Fire Stations (North West),Cleaning & Janitorial
280617K,*GREENHAM TRADING LTD,05/749006,2,23.78,HYGIENE,03/07/17,,Fire Stations (North West),Cleaning & Janitorial
280617K,*GREENHAM TRADING LTD,05/749006,3,60.66,HYGIENE,03/07/17,,Fire Stations (North West),Cleaning & Janitorial
280617K,*GREENHAM TRADING LTD,05/749006,4,3.33,HYGIENE,03/07/17,,Fire Stations (North West),Cleaning & Janitorial
280617K,*GREENHAM TRADING LTD,05/749006,5,16.40,HYGIENE,03/07/17,,Fire Stations (North West),Cleaning & Janitorial
280617K,*GREENHAM TRADING LTD,05/749006,6,6.12,HYGIENE,03/07/17,,Fire Stations (North West),Cleaning & Janitorial
280617K,*GREENHAM TRADING LTD,05/749006,7,13.40,HYGIENE,03/07/17,,Fire Stations (North West),Cleaning & Janitorial
280617K,*GREENHAM TRADING LTD,05/749006,8,22.40,HYGIENE,03/07/17,,Fire Stations (North West),Cleaning & Janitorial
280617K,*GREENHAM TRADING LTD,05/749006,9,6.70,HYGIENE,03/07/17,,Fire Stations (North West),Cleaning & Janitorial
