 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
190517F,HEALTH MANAGEMENT LIMITED=====,0000162414,1,"116,467.37",OHS CONTRACT,02/06/17,"116,467.37",HR Management,Healthcare
260517G,NORTHERN DIVER (INTERNATIONAL),0000179210,1,7.50,OPERATIONAL EQUIP-PURCHASE,02/06/17,362.50,Technical and Service Support,Fire & Rescue
260517G,NORTHERN DIVER (INTERNATIONAL),0000179210,2,65.00,OPERATIONAL EQUIP-PURCHASE,02/06/17,,Technical and Service Support,Fire & Rescue
260517G,NORTHERN DIVER (INTERNATIONAL),0000179210,3,130.00,OPERATIONAL EQUIP-PURCHASE,02/06/17,,Technical and Service Support,Fire & Rescue
260517G,NORTHERN DIVER (INTERNATIONAL),0000179210,4,95.00,OPERATIONAL EQUIP-PURCHASE,02/06/17,,Technical and Service Support,Fire & Rescue
260517G,NORTHERN DIVER (INTERNATIONAL),0000179210,5,65.00,OPERATIONAL EQUIP-PURCHASE,02/06/17,,Technical and Service Support,Fire & Rescue
141873,CASTLE WATER LIMITED,00169758,1,985.76,WATER & SEWERAGE RATES,02/06/17,985.76,Technical and Service Support,Utilities
141873,CASTLE WATER LIMITED,00169954,1,"1,227.89",WATER & SEWERAGE RATES,02/06/17,"1,227.89",Technical and Service Support,Utilities
141873,CASTLE WATER LIMITED,00170072,1,329.48,WATER & SEWERAGE RATES,02/06/17,329.48,Technical and Service Support,Utilities
260517G,LINCOLNSHIRE COUNTY COUNCIL===,10038939,1,"26,320.16",FIRE AUTHORITIES,02/06/17,"26,320.16",National Operational Guidance Project,Statutory Bodies
180517G,CARILLION COMMUNICATIONS LTD,1014765,1,320.00,TACTICAL DAY TO DAY,02/06/17,320.00,Technical and Service Support,"Works - Construction, R&M"
260517G,ENVIROGRAF,120798,1,547.22,OPERATIONAL EQUIP-PURCHASE,02/06/17,547.22,Fire Stations (North West),Fire & Rescue
300517G,PARTNERS BY DESIGN LTD,1221026788,1,422.00,STATIONERY CONSUMABLES,02/06/17,772.00,Central Finance,Facilities & Management S
300517G,PARTNERS BY DESIGN LTD,1221026788,2,350.00,STATIONERY CONSUMABLES,02/06/17,,Central Finance,Facilities & Management S
141877,BMW PARK LANE LTD,123770,1,908.30,LEASE CAR CHARGES,02/06/17,908.30,Procurement,Vehicle Management
190517F,A&A ELECTRICAL DISTRIBUTORS,1249694,1,"1,350.00",GENERAL CONSUMABLES,02/06/17,"1,350.00",Procurement,Building Constr Materials
150517K,PRICEWATERHOUSECOOPERS LLP====,1354718598,1,"1,500.00",SUBSCRIPTIONS,02/06/17,"1,500.00",Finance Services,Consultancy
190517F,REAM CONTRACTS LTD,14967,1,"9,977.40",REACTIVE SMALL WORKS AND PROJ,02/06/17,"9,977.40",Technical and Service Support,Building Constr Materials
230517G,REAM CONTRACTS LTD,14977,1,480.00,REACTIVE SMALL WORKS AND PROJ,02/06/17,480.00,Technical and Service Support,Building Constr Materials
260517G,RESPIREX,158796,1,"15,862.80",OPERATIONAL EQUIP-PURCHASE,02/06/17,"17,977.84",Gas Tight Suits,Clothing
260517G,RESPIREX,158796,2,"1,057.52",OPERATIONAL EQUIP-PURCHASE,02/06/17,,Operational Policy,Clothing
260517G,RESPIREX,158796,3,"1,057.52",OPERATIONAL EQUIP-PURCHASE,02/06/17,,Operational Policy,Clothing
250517K,RESPIREX,159690,1,255.00,REPAIR & MAINTENANCE,02/06/17,255.00,Technical and Service Support,Clothing
300517G,F.A CLOVER & SON LTD,17/5526,1,395.00,PLANNED BUILDING DECORATIONS,02/06/17,395.00,Technical and Service Support,"Works - Construction, R&M"
141877,AFFINITY BUSINESS RETAIL LTD,19038249-C,1,277.25,WATER & SEWERAGE RATES,02/06/17,277.25,Technical and Service Support,Utilities
141871,HEARTFELT ROOFING LIMITED,2008,1,468.00,DEVELOPMENT  EXPENSES-CONTRACT,02/06/17,780.00,Technical and Service Support,"Works - Construction, R&M"
141871,HEARTFELT ROOFING LIMITED,2008,2,312.00,DEVELOPMENT  EXPENSES-CONTRACT,02/06/17,,Technical and Service Support,"Works - Construction, R&M"
141877,AFFINITY BUSINESS RETAIL LTD,2075273&U,1,470.54,WATER & SEWERAGE RATES,02/06/17,470.54,Technical and Service Support,Utilities
160517G,RED ONE LIMITED,2677,1,"2,296.00",PROFESSIONAL DEVELOPMENT,02/06/17,"2,296.00",Development and Training,Human Resources
240517K,AECOM INFRASTRUCTURE &,28307237,1,"6,966.66",PROF FEES-MISCELLANEOUS,02/06/17,"6,966.66",Technical and Service Support,Consultancy
300517G,AECOM INFRASTRUCTURE &,28308070,1,"12,099.94",PROF FEES-MISCELLANEOUS,02/06/17,"12,099.94",Technical and Service Support,Consultancy
300517G,WATERFRONT MANUFACTURING LTD,28947,1,594.39,CLOTHING,02/06/17,797.89,Fire Stations (South West),Clothing
300517G,WATERFRONT MANUFACTURING LTD,28947,2,25.50,CLOTHING,02/06/17,,Fire Stations (South West),Clothing
300517G,WATERFRONT MANUFACTURING LTD,28947,3,10.00,CLOTHING,02/06/17,,Fire Stations (South West),Clothing
300517G,WATERFRONT MANUFACTURING LTD,28947,4,168.00,CLOTHING,02/06/17,,Fire Stations (South West),Clothing
260517G,WATERFRONT MANUFACTURING LTD,28950,1,168.00,CLOTHING,02/06/17,336.00,Operational Response,Clothing
260517G,WATERFRONT MANUFACTURING LTD,28950,2,168.00,CLOTHING,02/06/17,,Operational Response,Clothing
250517K,WATERFRONT MANUFACTURING LTD,29010,1,750.00,CLOTHING,02/06/17,"1,350.00",Fire Stations (Management),Clothing
250517K,WATERFRONT MANUFACTURING LTD,29010,2,600.00,CLOTHING,02/06/17,,Fire Stations (Management),Clothing
250517K,DRAEGER SAFETY UK LIMITED,2910083950,1,"1,134.80",PROTECTIVE EQUIPT - PARTS,02/06/17,"1,134.80",Technical and Service Support,Fire & Rescue
250517K,ABARIS INTERNATIONAL LIMITED,30308,1,447.96,OPERATIONAL EQUIP-PURCHASE,02/06/17,456.46,Technical and Service Support,Clothing
250517K,ABARIS INTERNATIONAL LIMITED,30308,2,8.50,OPERATIONAL EQUIP-PURCHASE,02/06/17,,Technical and Service Support,Clothing
300517G,GATENBY SANDERSON,32066,1,"6,525.00",GENERAL,02/06/17,"6,525.00",Central Finance,Human Resources
300517G,HUNTERS CONTRACTS LIMITED,357689,1,259.80,OFFICE FURNITURE,02/06/17,259.80,Fire Stations (South West),Furniture
260517G,PANLOGIC LTD,3908,1,"5,250.00",ACQUISITIONS,02/06/17,"5,250.00",National Operational Guidance Project,ICT
141877,KANTAR MEDIA,405102,1,450.00,PRESS OFFICE,02/06/17,450.00,Communications,Education
141877,KANTAR MEDIA,408535,1,468.00,PRESS OFFICE,02/06/17,468.00,Communications,Education
260517G,GATWICK AIRPORT FIRE & RESCUE,4500014801,1,"13,200.00",HIRE OF FACILITIES,02/06/17,"13,200.00",Operational Resilience,Statutory Bodies
250517K,FLEXIFORM BUSINESS FURNITURE==,454837,1,"4,591.02",DEVELOPMENT  EXPENSES-CONTRACT,02/06/17,"4,591.02",Technical and Service Support,Furniture
250517K,STORM TECHNOLOGIES,468769,1,423.50,ACQUISITIONS,02/06/17,423.50,Operational Response,ICT
800099641,SPORTSAFE UK LTD,506019,1,"1,904.38",REACTIVE GYM EQUIPMENT,02/06/17,"1,904.38",Technical and Service Support,Sports & Playground Equip
800099643,SPORTSAFE UK LTD,506023,1,899.00,REACTIVE GYM EQUIPMENT,02/06/17,899.00,Technical and Service Support,Sports & Playground Equip
800099642,SPORTSAFE UK LTD,506024,1,437.30,REACTIVE GYM EQUIPMENT,02/06/17,437.30,Technical and Service Support,Sports & Playground Equip
800099647,SPORTSAFE UK LTD,506027,1,"1,281.58",REACTIVE GYM EQUIPMENT,02/06/17,"1,281.58",Technical and Service Support,Sports & Playground Equip
800099646,SPORTSAFE UK LTD,506240,1,295.00,REACTIVE GYM EQUIPMENT,02/06/17,295.00,Technical and Service Support,Sports & Playground Equip
250517K,NWFS==========================,520,1,"1,000.00",SUBSCRIPTIONS,02/06/17,"1,000.00",Strategy & Inclusion,Fire & Rescue
260517G,STONEWALL EQUALITY LIMITED====,52981,1,"2,500.00",SUBSCRIPTIONS,02/06/17,"2,500.00",Strategy & Inclusion,Human Resources
300517G,DELAWARE NORTH (WEMBLEY),532800,1,"4,831.00",REFRESHMENTS,02/06/17,"4,831.00",Operational Resilience,Catering
300517G,CARPETS & FLOOR COVERS DIRECT=,5512*,1,980.50,REACTIVE SMALL WORKS AND PROJ,02/06/17,980.50,Technical and Service Support,Building Constr Materials
800099256,G BURLEY & SONS LTD,60378,1,59.62,GROUNDS MAINTENANCE,02/06/17,"4,665.82",Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,2,46.49,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,3,13.43,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,4,26.24,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,5,51.36,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,6,39.77,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,7,20.15,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,8,55.14,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,9,95.13,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,10,23.77,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,11,121.71,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,12,42.63,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,13,2.19,PLANNED GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,14,46.23,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,15,82.72,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,16,34.37,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,17,65.49,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,18,12.37,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,19,26.31,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,20,69.13,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,21,24.29,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,22,26.77,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,23,54.12,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,24,10.39,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,25,30.66,PLANNED GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,26,30.92,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,27,46.35,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,28,21.77,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,29,24.48,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,30,34.78,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,31,41.09,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,32,16.24,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,33,22.71,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,34,29.41,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,35,11.84,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,36,56.33,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,37,6.51,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,38,60.55,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,39,3.76,PLANNED GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,40,16.92,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,41,7.40,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,42,16.41,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,43,19.57,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,44,22.28,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,45,62.95,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,46,24.00,PLANNED GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,47,99.29,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,48,131.56,PLANNED GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,49,6.70,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,50,30.14,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,51,44.68,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,52,27.57,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,53,26.77,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,54,51.99,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,55,5.89,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,56,52.09,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,57,18.06,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,58,25.09,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,59,21.60,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,60,55.46,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,61,82.92,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,62,34.06,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,63,50.79,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,64,122.43,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
800099256,G BURLEY & SONS LTD,60378,65,65.65,GROUNDS MAINTENANCE,02/06/17,,Technical and Service Support,Works - Construction
