,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Expired,Service Type,Budget Implications,Actual Cost,Est Cost ,Cost variance,Duration  (months),Extended,Ext post contract,Auth to tender,Framework agreement,Initial start date,Initial end date,Ext start date,Ext end date,Actual exp date,Contracts awarded to
6059,General Building Work Services ,Technical and Service Support,Property Operations Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 3,000,000",,60,No,No,Budget Holder Approval,,,,,,,
6058,"Mechanical, Electrical & Plumbing Services (MEP)",Technical and Service Support,Property Operations Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 3,000,000",,60,No,No,Budget Holder Approval,,,,,,,
6057,Provision of Tax Advisory Services,Finance,Accountancy & Treasury,Stephen Knight,Not allocated,,No,No,No,No,Goods/Service,Expenditure,,"£ 32,000",,60,No,No,Budget Holder Approval,,,,,,,
6056,Wimbledon Fire Station - appliance bay doors,Technical and Service Support,Property Operations Management,Christopher Bate,Dean Kinsella,No,No,No,No,No,Works,Expenditure,,"£ 150,000",,4,No,No,Budget Holder Approval,,,,,,,
6055,Lift Maintenance,Technical and Service Support,Property Operations Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 175,000",,60,No,No,Committee Decision,,,,,,,
6054,Pest Control Services,Technical and Service Support,Property Operations Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 175,000",,60,No,No,Delegated Authority,,,,,,,
6053,LexisLibrary,Legal & Democratic Services,Legal Services Management & Business Support,Christopher Marshall,Robert Fisher,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 28,980",,12,No,No,Head of Procurement approval for single tender action,,,,,,,
6052,Confidential HR investigation,Human Resources Management,Employment Relations,Tracey Dennison,Michael McCarthy,No,No,No,No,No,Goods/Service,Expenditure,,"£ 14,000",,2,No,No,Head of Procurement approval for single tender action,,,,,,,
6051,Venue for LFB Manager's Conference,Communications,Internal Communications and Events,Sabera Bhimani,Michael McCarthy,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 24,000","£ 24,000",£ 0,0,No,No,Head of Procurement approval for single tender action,,02/07/2017,02/07/2017,,,, Park Plaza Victoria London
6050,Staff Health Check survey,Strategy and Inclusion,Strategy Risk and Engagement,Regina Bonas,Anouska Herman,No,No,No,No,No,Goods/Service,Expenditure,,"£ 40,000",,24,No,No,Delegated Authority,,,,,,,
6049,Wennington Fire Station – Kitchen Replacement Works ,Technical and Service Support,Property Project Delivery,David Attfield,Dean Kinsella,No,No,No,No,No,Works,Expenditure,,"£ 91,697",,2,No,No,Budget Holder Approval,,,,,,,
