Ref No,Contract Title,Department,OJEU,Awarded,Has ext option,Expired,Service Type,Actual Cost,Duration  (months),Extended,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Actual exp date,Contracts awarded to
5956,"The Provision of Planned And Reactive Maintenance Work For Appliance Bay Doors, Gates, Barriers And Drill Tower Grills And Shutters ",Technical and Service Support,Yes,No,No,No,Goods/Service,,36,No,,,,,,,
5955,Euston Fire Station - 3rd Floor Office Refurbishment,Technical and Service Support,No,No,No,No,Works,,2,No,,,,,,,
5953,Control Room Video wallboard Display,Operational Response,No,No,No,No,Goods/Service,,0,No,,,,,,,
5950,E-Recruitment system,Human Resources Management,No,No,No,No,Goods/Service,,60,No,,,,,,,
5949,The Supply of Lifts and Lifting Equipment Maintenance and Repair,Technical and Service Support,Yes,No,No,No,Goods/Service,,60,No,,,,,,,
5948,National Operational Learning Trial - Software and Techincal Support,Strategy and Inclusion,No,No,No,No,Goods/Service,,12,No,,,,,,,
5947,Technical architecture panel,Information and Communications Technology ,No,No,No,No,Goods/Service,,36,No,,,,,,,
5946,Security panel,Information and Communications Technology ,No,No,No,No,Goods/Service,,36,No,,,,,,,
5945,Lexis Library,Legal & Democratic Services,No,Yes,No,No,Goods/Service,"£ 28,000",12,No,,16/08/2016,16/08/2017,,,, LexisNexis 
5944,SOLCASE TO VISUALFILES MIGRATION PROJECT AND ONGOING MAINTENANCE AGREEMENT,Legal & Democratic Services,No,No,No,No,Goods/Service,,36,No,,01/04/2016,31/03/2017,,,,
5943,Airwave,Information and Communications Technology ,Yes,No,No,No,Goods/Service,,12,No,Local Government Radio,,,,,,
5942,Fit Out works on 2nd Floor US for use by LPP,Technical and Service Support,No,No,No,No,Works,,1,No,,,23/12/2016,,,,
5941,Applications Support (MSC),Information and Communications Technology ,Yes,No,No,No,Goods/Service,,60,No,,,,,,,
5940,SharePoint Environment Software Support Agreement,Information and Communications Technology ,Yes,Yes,Yes,Yes,Goods/Service,"£ 200,000",36,Yes,,19/11/2013,19/11/2016,19/11/2016,18/11/2017,05/12/2016, Silversands Limited
5939,Barking Fire Station - Shower/Toilet Refurbishment ,Technical and Service Support,No,No,No,No,Works,,3,No,,,,,,,
5938,Airbus - Resilient gateway - software support & maintenance,Information and Communications Technology ,No,No,No,No,Goods/Service,,12,No,,,,,,,
5937,Mobile Telephony,Information and Communications Technology ,No,No,No,No,Goods/Service,,24,No,,,,,,,
5936,IP Desk Telephony,Information and Communications Technology ,Yes,No,No,No,Goods/Service,,24,No,,,,,,,
5935,Trend ScanMail for MS Exchange Suite Licence,Information and Communications Technology ,No,No,No,No,Goods/Service,,12,No,RM3733 Technology Products 2,,,,,,
5934,Finance Management System Support Agreement,Information and Communications Technology ,No,No,No,No,Goods/Service,,12,No,,,,,,,
5933,SharePoint Environment Software Support Services Agreement,Information and Communications Technology ,No,No,Yes,No,Goods/Service,"£ 179,053",36,Yes,Business Systems Development Application Support and IT/IS Services Agreement ,19/11/2013,18/11/2016,18/11/2016,18/11/2017,, Silversands Limited
5931,Network upgrade,Information and Communications Technology ,No,No,No,No,Goods/Service,,36,No,,,,,,,
5930,SafeEnd security renewal,Information and Communications Technology ,No,No,No,No,Goods/Service,,32,No,,,,,,,
5929,Kingston FS - Provision and Installation of Direct Fired Water Heater System,Technical and Service Support,No,Yes,No,No,Works,"£ 20,429",1,No,,30/01/2017,28/02/2017,,,, REAM Contracts Ltd
5928,Replacement office chairs Union Street,Technical and Service Support,Yes,No,No,No,Goods/Service,,48,No,,,,,,,
5927,Cobra coldcutting training,Operational Resilience,No,Yes,No,No,Goods/Service,"£ 46,974",12,No,,13/12/2016,13/12/2017,,,, Northamptonshire County Council
5926,Performance Management Framework,Strategy and Inclusion,No,No,No,No,Goods/Service,,36,No,,,,,,,
5925,Multi Function Devices,Information and Communications Technology ,Yes,No,No,No,Goods/Service,,36,No,,,,,,,
5924,Replacement/Upgrade of network security products,Information and Communications Technology ,No,No,No,No,Goods/Service,,36,No,,,,,,,
5923,Trainee Firefighter Assessment and Selection (Initial Sift),Human Resources Management,No,No,No,No,Goods/Service,,36,No,,,,,,,
5921,Cyber attach consultancy,Information and Communications Technology ,No,No,No,No,Goods/Service,,0,No,,,,,,,
5920,Replacement ICT Password Safe,Information and Communications Technology ,No,No,No,No,Goods/Service,,36,No,,,,,,,
5919,London Risk Assessment Development,Operational Resilience,No,No,No,No,Goods/Service,,3,No,,,,,,,
5917,Merton LOC Diesel Supply,Technical and Service Support,No,No,No,No,Goods/Service,,1,No,CCS RM1013 ,,,,,,
5915,Hyperconverged Infrastructure for Test and Dev,Information and Communications Technology ,Yes,No,No,No,Goods/Service,,0,No,,14/11/2016,13/11/2019,,,, XMA Ltd
