Ref No,Contract Title,Directorate,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6145,Chiswick Fire Station - Removal of Asbestos Panels to Front Facade,Corporate Services,Technical and Support Services,Project Delivery,Lakin Arrowsmith,Michael McCarthy,No,No,Yes,No,Works,Expenditure,"£ 11,000","£ 10,000","£ 1,000",1,No,No,Delegated Authority,,04/07/2018,04/08/2018,,, Asbestos First Ltd
6053,LexisLibrary,Corporate Services,General Counsel,Legal Services Management & Business Support,Christopher Marshall,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 28,980","£ 28,980",£ 0,12,No,No,Head of Procurement approval for single tender action,,16/08/2017,16/08/2018,,, LexisNexis
6301,Baxter Storey ,Corporate Services,Communications,Internal Communications and Events,Suzanne Oakley,Remmy Kamya,No,No,Yes,No,Goods/Service,Expenditure,"£ 14,000","£ 14,000",£ 0,0,No,No,Delegated Authority,,23/07/2018,19/08/2018,,, Baxter Storey
6143,Recruitment of Head of People Services,Corporate Services,People Services,HR Advice & Employee Relations,Tracey Dennison,Anouska Herman,No,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 25,000",£ 0,6,No,No,Budget Holder Approval,Local Government Resourcing Partnership,28/02/2018,28/08/2018,,,Gatenby Sanderson
6240,Repairs to front elevation,Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£ 50,537","£ 50,000",£ 537,3,No,No,Budget Holder Approval,,04/06/2018,04/09/2018,,, B Nokes Contracts Ltd
6125,A Coaching and Mentoring programme,Safety and Assurance,Training and Professional Development,Cultural Change,Dawne Stephenson,Remmy Kamya,No,No,Yes,No,Goods/Service,Expenditure,"£ 61,500","£ 50,000","£ 11,500",3,No,No,Committee Decision,,04/06/2018,04/09/2018,,, The Advanced Coaching Academy Ltd
6253,Asset Replacement,Corporate Services,Technical and Support Services,FM Service Delivery Team,Neville Harper,Anouska Herman,No,No,Yes,No,Works,Expenditure,"£ 102,800","£ 102,800",£ 0,2,No,No,Delegated Authority,,10/07/2018,10/09/2018,,,REAM Contracts Ltd
6285,Grenfell Multi Agency Startegic Debrief,Safety and Assurance,Operational Resilience and Special Operation,Emergency Planning,John Hetherington,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 12,000","£ 12,000",£ 0,3,No,No,Head of Procurement approval for single tender action,,06/07/2018,30/09/2018,,, Public Health England
6288,Interim Provision of Portable Hygiene Units ,Safety and Assurance,Operational Policy,Fire Rescue Policy,Liam Hall,Michael McCarthy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 65,000","£ 65,000",£ 0,3,No,No,Budget Holder Approval,,02/07/2018,01/10/2018,,, Site-Equip Limited 
6245,"Ilford fire station, relocation of community facility",Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£ 50,537","£ 75,000","(£ 24,463)",3,No,No,Budget Holder Approval,,03/07/2018,03/10/2018,,, B Nokes Contracts
6254,Specialist Paper ,Corporate Services,Communications,Internal Communications and Events,Justina Leitao,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 1,500","£ 1,500",£ 0,6,No,No,Delegated Authority,,23/04/2018,23/10/2018,,, HV Sier 
5707,Lay flat hose,Corporate Services,Technical and Support Services,Protective Equipment Group,Geoffrey Avis,Gillian Maxwell,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 300,000","£ 300,000",£ 0,35,Yes,No,Budget Holder Approval,YPO Framework ,01/11/2015,31/10/2018,01/11/2018,31/10/2019, Angus Fire
5667,Paper Access Agreement - LCSG Framework,Corporate Services,Procurement,Corporate Procurement Services,Gillian Maxwell,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Budget Holder Approval,,01/11/2014,31/10/2018,,, Office Depot
