Contracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Directorate,Department,Team Name,Service Delivery Contract Manager,CPS allocated to,Classification,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6563,Goggle clips,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 2,109","£ 2,109",£ 0,9,No,No,Delegated Authority,,01/10/2019,01/07/2020,,,Future Safety Ltd
6548,"Medal replacement, medal ribbon brooches & display cases",Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 1,286","£ 1,286",£ 0,0,No,No,Delegated Authority,,01/10/2019,29/02/2020,,, Worcestershire Medal Service Ltd (vendor no: N/A)
6546,Yellow hi-vis waistcoats,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,£ 33,£ 33,£ 0,0,No,No,Delegated Authority,,01/10/2019,31/12/2019,,,Protec
6545,Hats and caps,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 8,165","£ 8,165",£ 0,0,No,No,Delegated Authority,,01/10/2019,31/03/2020,,,Try & Lilly Ltd
6544,Sleeveless hi-vis yellow zip front vest,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,£ 25,£ 25,£ 0,9,No,No,Delegated Authority,,01/10/2019,01/03/2020,,, The Site Supply Co Ltd (vendor no: N/A)
6543,Black Barathea Clip-on Tie,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,£ 567,£ 567,£ 0,0,No,No,Delegated Authority,,01/10/2019,30/06/2020,,, Clermont Direct Ltd (vendor no: N/A)
6542,Waterproof gloves,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 1,216","£ 1,216",£ 0,9,No,No,Delegated Authority,,01/10/2019,30/06/2020,,, Sealskinz Ltd (vendor no: N/A)
6541,Long black socks,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 4,146","£ 4,146",£ 0,0,No,No,Delegated Authority,,01/10/2019,30/06/2020,,, Pantherella International Group (vendor no: N/A)
6540,"Wallets, pouches and pen holders",Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 3,978","£ 3,978",£ 0,0,No,No,Delegated Authority,,01/10/2019,31/12/2019,,, H. Fine & Sons Ltd (vendor no: N/A)
6539,Short black socks,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 4,051","£ 4,051",£ 0,0,No,No,Delegated Authority,,01/10/2019,30/06/2020,,, FRS Countrywear Ltd (vendor no: N/A)
