Ref No,Contract Title,Department,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Duration (months),Extended,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6025,Supply of Electricity and Ancilliary Services,Technical and Service Support,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,000,000",60,No,CCS ,01/04/2016,01/04/2021,,, EDF Energy
6019,THE SUPPLY OF PROCUREMENT AND IMPROVEMENT SERVICES,Procurement,No,Yes,No,Goods/Service,Expenditure,"£ 60,000",12,No,,03/04/2017,03/04/2018,,, ACTIVE EPROC SOLUTIONS LTD
6016,"License to use 60 car parking spaces at Gallions Reach shopping centre, Beckton",Development and Training,No,Yes,No,Goods/Service,Expenditure,"£ 21,900",12,No,,01/03/2017,01/03/2018,,, INHOCO 3107 Limited
6008,Automatic External Defibrillators (AED),Operational Policy,Yes,Yes,No,Goods/Service,Expenditure,"£ 208,000",1,No,Capital Solutions,17/03/2017,17/04/2017,,,ZOLL Medical UK
6001,Cognos support renewal ,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 120,000",36,No,,01/04/2017,01/04/2020,,, IBM
5982,Microsoft Premier Support,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 55,000",12,No,,01/04/2017,01/04/2018,,, Microsoft
5980,HR Systems support,Human Resources Management,No,Yes,No,Goods/Service,Expenditure,"£ 10,000",12,No,,17/03/2017,17/03/2018,,, RBI reed business infomation
5979,Citrix – License Increase for email,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 43,000",24,No,,13/03/2017,13/03/2019,,,Insight Direct (UK) Limited
5978,Renewal of franking machine,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 23,000",60,No,,23/03/2017,23/03/2022,,, Pitney Bowes
5977,Business Analyst,Information and Communications Technology ,No,Yes,Yes,Goods/Service,Expenditure,"£ 91,000",7,No,,06/03/2017,31/03/2017,,,Badnoch & Clark
5971,Cardinus Risk Management,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 30,000",36,No,TP2,03/02/2017,03/02/2020,,,Cardinus
5968,"Supply of carpet for LFB HQ 169, Union Street, SE1 0LL",Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 149,400",12,No,CCS RM3747 lot 7,16/02/2017,16/02/2018,,, crown flooring
5967,"Proviosion of desk components for LFB HQ, 169 Union Street, London SE1 0LL",Technical and Service Support,No,Yes,No,Goods/Service,Expenditure,"£ 75,000",0,No,,15/03/2017,15/03/2017,,, Showcase Interiors 
5965,Urban Search and Rescue canine search capability,Operational Policy,No,Yes,No,Goods/Service,Expenditure,"£ 6,500",12,No,,13/02/2017,13/02/2018,,, Capital SAR Dogs Ltd
5959,Citrix Renewal,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 465,000",36,No,Technology Products 2,01/02/2017,01/02/2020,,,Insight Direct
5957,VM Ware Renewal,Procurement,No,Yes,Yes,Goods/Service,Expenditure,"£ 15,000",12,No,Technology Products 2,17/01/2017,17/01/2018,,,Phoenix
5955,Euston Fire Station - 3rd Floor Office Refurbishment,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 50,690",2,No,,24/02/2017,24/04/2017,,, Adrem Contracts Ltd
5950,E-Recruitment system,Human Resources Management,No,Yes,No,Goods/Service,Expenditure,"£ 80,000",60,No,,01/04/2017,01/04/2022,,, lumesse
5945,Lexis Library,Legal & Democratic Services,No,Yes,No,Goods/Service,Expenditure,"£ 28,000",12,No,,16/08/2016,16/08/2017,,, LexisNexis 
5944,SOLCASE TO VISUALFILES MIGRATION PROJECT AND ONGOING MAINTENANCE AGREEMENT,Legal & Democratic Services,No,Yes,No,Goods/Service,Expenditure,"£ 31,239",12,No,,01/04/2016,01/04/2017,,, LexisNexis 
5939,Barking Fire Station - Shower/Toilet Refurbishment ,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 82,396",3,No,,10/03/2017,20/05/2017,,, B Nokes Contracts Ltd
5935,Trend ScanMail for MS Exchange Suite Licence,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 13,789",12,No,RM3733 Technology Products 2,01/12/2016,01/12/2017,,,Phoenix
5933,SharePoint Environment Software Support Services Agreement,Information and Communications Technology ,No,Yes,Yes,Goods/Service,Expenditure,"£ 179,053",36,Yes,Business Systems Development Application Support and IT/IS Services Agreement ,19/11/2013,18/11/2016,18/11/2016,18/11/2017, Silversands Limited
5931,Network upgrade,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 60,000",0,No,,23/01/2017,23/01/2017,,,British Telecom
5930,SafeEnd security renewal,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 11,419",32,No,,31/12/2016,31/08/2019,,,Capita
5927,Cobra coldcutting training,Operational Resilience,No,Yes,No,Goods/Service,Expenditure,"£ 46,974",12,No,,13/12/2016,13/12/2017,,, Northamptonshire County Council
5924,Replacement/Upgrade of network security products,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 508,176",36,No,,01/02/2017,01/02/2020,,,Bramble CC
5923,Trainee Firefighter Assessment and Selection (Initial Sift),Human Resources Management,No,Yes,No,Goods/Service,Expenditure,"£ 36,900",36,No,,15/12/2016,15/12/2019,,, Assessment and Development Consultants 
5921,Cyber attach consultancy,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 25,000",1,No,,20/02/2017,20/03/2017,,,Actcia Consulting
5920,Replacement ICT Password Safe,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 25,000",36,No,,01/02/2017,01/02/2020,,,Thycotic
5914,Bromley Fire Station - Yard Gates and Perimeter Fencing,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 74,188",4,No,,09/01/2017,09/05/2017,,, B.Nokes Contracts Ltd
5913, Leyton Fire Station - Roof Upgrade,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 141,992",2,No,,23/01/2017,23/03/2017,,, Heartfelt Roofing
5912,Trainee Firefighter Recruitment - Attraction ,Human Resources Management,No,Yes,No,Goods/Service,Expenditure,"£ 23,750",2,No,,05/10/2016,05/12/2016,,, Helen Bartimote Consulting Limited
