Order Number,Date,Order value,Order Description,Location,Supplier,Unit Cost,Order Quantity,Line Cost,Order Number Grouped,Total Order Cost
HAY/01934,02/01/19,7977.69,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,HR OPERATIONS PERSONNEL (1 US),HAYS SPECIALIST RECRUITMENT,18.09,441.00,"7,977.69",HAY/01934,"7,977.69"
HAY/01935,02/01/19,7462.28,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,P.E. GROUP,HAYS SPECIALIST RECRUITMENT,18.38,406.00,"7,462.28",HAY/01935,"7,462.28"
HAY/01940,04/01/19,9686.04,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,GRENFELL T. INVESTIGATION TEAM,HAYS SPECIALIST RECRUITMENT,35.48,273.00,"9,686.04",HAY/01940,"9,686.04"
HAY/01941,04/01/19,9670.50,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,GRENFELL T. INVESTIGATION TEAM,HAYS SPECIALIST RECRUITMENT,30.70,315.00,"9,670.50",HAY/01941,"9,670.50"
HAY/01942,04/01/19,8529.78,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,GRENFELL T. INVESTIGATION TEAM,HAYS SPECIALIST RECRUITMENT,26.49,322.00,"8,529.78",HAY/01942,"8,529.78"
HAY/01947,07/01/19,7597.80,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.09,420.00,"7,597.80",HAY/01947,"7,597.80"
HAY/01948,07/01/19,9423.05,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,20.71,455.00,"9,423.05",HAY/01948,"9,423.05"
HAY/01952,09/01/19,7597.80,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.09,420.00,"7,597.80",HAY/01952,"7,597.80"
HAY/01953,09/01/19,7597.80,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,CENTRAL PROGRAMME OFFICE,HAYS SPECIALIST RECRUITMENT,18.09,420.00,"7,597.80",HAY/01953,"7,597.80"
HAY/01956,11/01/19,9350.88,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR - EMPLOYEE RELATIONS (1 US),HAYS SPECIALIST RECRUITMENT,27.83,336.00,"9,350.88",HAY/01956,"9,350.88"
HAY/01957,14/01/19,7597.80,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,PROC CONTRACTS MANAGEMENT GRP,HAYS SPECIALIST RECRUITMENT,18.09,420.00,"7,597.80",HAY/01957,"7,597.80"
HAY/01958,14/01/19,7871.36,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,17.57,448.00,"7,871.36",HAY/01958,"7,871.36"
HAY/01959,15/01/19,7977.69,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TRAINING DELIVERY,HAYS SPECIALIST RECRUITMENT,18.09,441.00,"7,977.69",HAY/01959,"7,977.69"
HAY/01961,15/01/19,5166.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FINANCE MGMT & ADMIN (3 US),HAYS SPECIALIST RECRUITMENT,18.00,287.00,"5,166.00",HAY/01961,"5,166.00"
HAY/01965,16/01/19,7694.40,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.32,420.00,"7,694.40",HAY/01965,"7,694.40"
HAY/01966,17/01/19,5091.38,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FIRE SAFE & WELL VISITS,HAYS SPECIALIST RECRUITMENT,17.74,287.00,"5,091.38",HAY/01966,"5,091.38"
HAY/01969,18/01/19,9800.70,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,21.54,455.00,"9,800.70",HAY/01969,"9,800.70"
HAY/01970,18/01/19,6259.47,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,ORGANISATIONAL DEVELOPMENT,HAYS SPECIALIST RECRUITMENT,21.81,287.00,"6,259.47",HAY/01970,"6,259.47"
HAY/01972,22/01/19,7446.60,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,17.73,420.00,"7,446.60",HAY/01972,"7,446.60"
HAY/01974,23/01/19,7217.91,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,18.09,399.00,"7,217.91",HAY/01974,"7,217.91"
HAY/01976,23/01/19,9352.70,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,PERFORMANCE & IMPROVMENT,HAYS SPECIALIST RECRUITMENT,21.55,434.00,"9,352.70",HAY/01976,"9,352.70"
HAY/01977,24/01/19,5040.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,(NW) AREA PER/M'TORING WEMBLEY,HAYS SPECIALIST RECRUITMENT,18.00,280.00,"5,040.00",HAY/01977,"5,040.00"
