Order Number,Date,Order value,Order Description,Location,Supplier,Unit Cost,Order Quantity,Line Cost,Order Number Grouped,Total Order Cost
HAY/02168,02/04/19,9819.43,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,PROCUREMENT CPS (1 US),HAYS SPECIALIST RECRUITMENT,265.39,37.00,"9,819.43",HAY/02168,"9,819.43"
HAY/02169,02/04/19,9800.70,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,21.54,455.00,"9,800.70",HAY/02169,"9,800.70"
HAY/02172,02/04/19,7459.92,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS,PROCUREMENT CPS (1 US),HAYS SPECIALIST RECRUITMENT,191.28,39.00,"7,459.92",HAY/02172,"7,459.92"
HAY/02173,03/04/19,8230.95,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPERATIONS PERSONNEL (1 US),HAYS SPECIALIST RECRUITMENT,18.09,455.00,"8,230.95",HAY/02173,"8,230.95"
HAY/02183,03/04/19,5981.22,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,329.00,"5,981.22",HAY/02183,"5,981.22"
HAY/02184,03/04/19,6554.24,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,ORGANISATIONAL DEVELOPMENT,HAYS SPECIALIST RECRUITMENT,21.28,308.00,"6,554.24",HAY/02184,"6,554.24"
HAY/02185,03/04/19,6999.30,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,385.00,"6,999.30",HAY/02185,"6,999.30"
HAY/02186,03/04/19,9782.50,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,27.95,350.00,"9,782.50",HAY/02186,"9,782.50"
HAY/02189,03/04/19,8104.95,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,ICT - SERVER & CLOUD,HAYS SPECIALIST RECRUITMENT,25.73,315.00,"8,104.95",HAY/02189,"8,104.95"
HAY/02191,03/04/19,9051.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,25.86,350.00,"9,051.00",HAY/02191,"9,051.00"
HAY/02192,03/04/19,7890.40,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,28.18,280.00,"7,890.40",HAY/02192,"7,890.40"
HAY/02193,03/04/19,7977.69,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.09,441.00,"7,977.69",HAY/02193,"7,977.69"
