Senior Office Title,Value,Claim Date,Expenses Category,Details of Claim
Head of Operational Response,2.30,04-Apr-2016,Travel,H - LOC - HQ
Head of Operational Response,7.00,05-Apr-2016,Travel,HP5 - LOC - HP5 (Mobilising system issues)
Head of Fire Stations,3.19,06-Apr-2016,Travel,Standby base-Holloway FS-BHQ-Standby base
Head of Operational Response,3.00,07-Apr-2016,Travel,H - LOC - H
Head of Operational Response,5.50,08-Apr-2016,Travel,H - LOC - HQ - NW7 - H
Head of Fire Stations,6.16,08-Apr-2016,Travel,Standby base-E43-NW7-Standby base
Director of Safety and Assurance,12.00,11-Apr-2016,Travel,Base- East Sussex FRS- Base
Head of Operational Response,7.00,11-Apr-2016,Travel,HP5 - LOC - HP5 (Mobilising system issues)
Head of Operational Policy,4.40,12-Apr-2016,Travel,B-Dartford-B
Head of Operational Response,1.40,13-Apr-2016,Travel,HQ - Scotland Yard - H
Director of Operations,2.50,13-Apr-2016,Travel,BASE - BHQ - STRATFORD FS - BASE (REGULAR GM's MEETING)
Head of Operational Resilience,4.10,14-Apr-2016,Travel,BASE - NSY - HQ - SW1 MEETING - BASE
Head of Operational Policy,4.90,14-Apr-2016,Travel,HQ-Park Royal-B
Head of Operational Policy,7.30,18-Apr-2016,Travel,B-Henley
Head of Operational Response,2.30,19-Apr-2016,Travel,H - LOC - HQ
Head of Fire Stations,5.50,22-Apr-2016,Travel,Base-Harrow FS-Base
Head of Operational Policy,7.30,23-Apr-2016,Travel,Henley-B
Head of Operational Response,3.00,24-Apr-2016,Travel,H - F22 - H
Head of Operational Response,2.30,25-Apr-2016,Travel,HQ - LOC - H
Head of Operational Response,2.30,26-Apr-2016,Travel,HQ - LOC - H
Head of Operational Policy,2.50,26-Apr-2016,Travel,B-Dagenham-B
Director of Operations,3.20,26-Apr-2016,Travel,BASE - BHQ - DAGENHAM FS - BASE (RE-OPENING CEREMONY)
Director of Operations,2.50,27-Apr-2016,Travel,BASE - BHQ - STRATFORD FS - BASE (REGULAR GM's MEETING)
Head of Operational Resilience,2.60,28-Apr-2016,Travel,BASE - BECKTON TRAINING - BASE
Head of Fire Safety,2.32,28-Apr-2016,Travel,Home to office - April 2016
Head of Fire Stations,42.68,29-Apr-2016,Travel,Home to office - April 2016
Head of Operational Resilience,29.60,29-Apr-2016,Travel,Home to office - April 2016
Director of Operations,2.30,29-Apr-2016,Travel,BASE - BHQ - SMITH SQUARE - BASE (CONCILIATION)
Head of Operational Response,4.20,29-Apr-2016,Travel,H - A38 - H
Director of Safety and Assurance,47.60,30-Apr-2016,Travel,April 2016
Director of Operations,31.50,30-Apr-2016,Travel,Home to office - April 2016
Head of Operational Policy,23.30,03-May-2016,Travel,B- Merseyside
Head of Operational Policy,55.00,03-May-2016,Accommodation,"Destination: Park Hotel Netherton

Event: USAR NWG Meeting"
Head of Operational Response,2.30,03-May-2016,Travel,HQ - LOC - H
Head of Operational Policy,5.50,03-May-2016,Travel Expense,Midland Expressway
Head of Operational Policy,16.48,03-May-2016,Subsistence,"The Park Hotel, Liverpool."
Head of Operational Policy,5.50,04-May-2016,Travel Expense,Midland Expressway
Head of Operational Policy,23.30,04-May-2016,Travel,Hotel -Merseyside-B
Head of Operational Response,2.30,05-May-2016,Travel,HQ - LOC - H
Director of Operations,2.50,06-May-2016,Travel,BASE - BHQ - BUCKINGHAM PALACE - BASE (AWARD CEREMONY)
Head of Operational Response,1.40,09-May-2016,Travel,H - A23
Head of Operational Response,16.48,09-May-2016,Subsistence,"2 day visit to Durham & Darlington FRS. Evening meal at Alishaan Indian Restaurant, 50 North Road, Durham, DH1 4SF"
Head of Operational Response,6.35,09-May-2016,Travel Expense,From hotel to town centre - Durham
Head of Operational Response,7.40,09-May-2016,Travel Expense,Taxi from town centre to hotel - Durham
Head of Operational Response,1.40,10-May-2016,Travel,A23 - H
Head of Fire Stations,4.29,10-May-2016,Travel,Standby base-H41 Kingston-BHQ-Standby base
Director of Operations,10.50,10-May-2016,Travel,Home to office - May 2016
Director of Operations,2.50,11-May-2016,Travel,BASE - BHQ - STRATFORD FS - BASE (REGULAR GM's MEETING)
Director of Operations,2.30,12-May-2016,Travel,BASE - BHQ - COVENT GARDEN - BASE (MAYOR OF LONDON FUNCTION)
Head of Operational Response,3.00,12-May-2016,Travel,H - LOC - H
Head of Operational Response,0.40,13-May-2016,Travel,"HQ - Pratt Walk, Lambeth - HQ"
Director of Operations,2.10,13-May-2016,Travel,BASE - BHQ - CITY HALL- BASE (LONDON ASSEMBLY RECEPTION)
Head of Operational Response,3.00,16-May-2016,Travel,H - LOC - H
Commissioner,146.00,19-May-2016,Travel,"Event: NRB Meeting
Destination: Liverpool"
Director of Safety and Assurance,7.20,19-May-2016,Travel,Base-Gatwick Airport-Base (meeting)
Head of Information and Communications Technology ,9.50,19-May-2016,Travel Expense,Ticket from Newbury to Reading (part of a wider journey to Tamworth for CFOA ICT managers event)
Head of Information and Communications Technology ,11.80,19-May-2016,Travel Expense,"Taxi from Tamworth station to CFOA headquarters, "
Head of Operational Resilience,477.75,20-May-2016,Travel,"Travelling To: Doha Qatar

Reason For Travel: Invited To Support College Of Policy/Multi Agency Meeting To Discuss Qatari World Cup 2022"
Head of Operational Response,3.00,23-May-2016,Travel,H - LOC - H
Head of Operational Response,2.30,24-May-2016,Travel,HQ - LOC - H
Head of Fire Stations,50.60,27-May-2016,Travel,Home to office - May 2016
Head of Operational Resilience,71.00,31-May-2016,Travel,Home to office - May 2016
Director of Safety and Assurance,51.00,31-May-2016,Travel,Home to office - May 2016
Head of Operational Policy,3.70,31-May-2016,Travel,HQ-Leytonstone-B
Head of Fire Safety,2.40,31-May-2016,Travel,BHQ-F30 (Stn opening)-Home
Head of Operational Policy,14.60,03-Jun-2016,Travel,B -Henley-B
Head of Operational Response,0.70,03-Jun-2016,Travel,HQ - H22 - HQ - H22
Head of Operational Response,3.00,06-Jun-2016,Travel,H - LOC - H
Head of Operational Response,2.30,07-Jun-2016,Travel,H - LOC - HQ
Head of Operational Response,2.30,08-Jun-2016,Travel,H - HQ - LOC
Head of Operational Response,1.60,11-Jun-2016,Travel,H - G36 - H
Director of Operations,1.40,11-Jun-2016,Travel,BASE - OLYMPIC PARK - BASE (BRIGADE GAMES)
Head of Fire Stations,3.60,14-Jun-2016,Travel,Standby base-Addington FS-BHQ-Standby base
Head of Operational Policy,229.00,15-Jun-2016,Travel,"Travelling To: Paris France By Eurostar
Travel Date: Outbound 15/6/16 Return 17/6/16
Reason For Travel: Representing The Commissioner At A Meeting Of The Heads Of Fire And Emergency Services Of The 28 European Union Capital Cities"
Commissioner,76.50,16-Jun-2016,Travel,Travel (return) from Kings Cross to Wakefield to attend NPAS National Strategic Board Meeting 
Commissioner,76.70,16-Jun-2016,Travel Expense,Travel back on an earlier train from NPAS National Strategic Board Meeting in Wakfield with Andy Bell 2 tickets purchased. 
Director of Safety and Assurance,12.80,16-Jun-2016,Travel,Base-Fire Service College
Director of Operations,4.40,17-Jun-2016,Travel,BASE - HIGHGATE CEMETERY - KENTISH TOWN FS - BASE (HIGHGATE MEMORIAL SERVICE AND RECEPTION)
Director of Safety and Assurance,12.80,19-Jun-2016,Travel,Fire Service College - Base
Director of Operations,2.30,20-Jun-2016,Travel,BASE - BHQ - SHOREDITCH FS - BASE (AC AWARDS PRESENTATION)
Director of Safety and Assurance,187.20,21-Jun-2016,Travel,Event:      Regional Operational Meeting: Invitation
Head of Operational Response,2.30,21-Jun-2016,Travel,HQ - LOC - H
Head of Operational Response,3.00,22-Jun-2016,Travel,H -LOC - H
Director of Operations,2.10,22-Jun-2016,Travel,BASE - BHQ - TOOLEY STREET - BASE (JAMES BRAIDWOOD FUNCTION)
Director of Operations,2.40,25-Jun-2016,Travel,BASE - SOHO FS - BASE (LONDON PRIDE)
Head of Operational Response,2.80,25-Jun-2016,Travel,H - A24 - H
Head of Operational Response,3.00,27-Jun-2016,Travel,H - LOC - H
Director of Safety and Assurance,1.70,28-Jun-2016,Travel,Base - BHQ
Head of Operational Response,2.30,29-Jun-2016,Travel,HQ - LOC - H
Head of Operational Resilience,38.20,29-Jun-2016,Travel,Home to office - June 2016
Director of Operations,31.90,29-Jun-2016,Travel,Home to office - June 2016
Director of Safety and Assurance,52.70,30-Jun-2016,Travel,Home to office - June 2016
Head of Fire Stations,49.32,30-Jun-2016,Travel,Home to office - June 2016
Head of Operational Response,0.40,30-Jun-2016,Travel,HQ - City Hall - HQ
Director of Operations,2.10,30-Jun-2016,Travel,BASE - BHQ - CITY HALL - BASE (AUTHORITY MEETING)
Head of Fire Stations,2.40,01-Jul-2016,Travel,Standby base-Lambeth FS-BHQ-Standby base
Head of Operational Policy,8.40,02-Jul-2016,Travel,B- Harrow-B
Head of Operational Response,2.80,03-Jul-2016,Travel,H - Wimbledon - H
Head of Operational Response,5.60,04-Jul-2016,Travel,HQ - Hampton Court - HQ - A23 - H
Head of Operational Resilience,4.00,05-Jul-2016,Travel,BASE - HOME OFFICE MEETING - BASE 
Head of Operational Policy,0.40,05-Jul-2016,Travel,HQ-Lambeth-HQ 
Head of Fire Safety,2.07,06-Jul-2016,Travel,BHQ-F45 (Cadets)-Home
