SOTitle,Value,ClaimDate,Category,Details
Assistant Commissioner Fire Safety,3.36,19-Sep-2017,Travel,Tottenham-Home
Assistant Commissioner Fire Safety,3.36,18-Sep-2017,Travel,Home to office - September 2017
Assistant Commissioner Fire Safety,3.12,11-Jul-2017,Travel,US-Shadwell-Home
Assistant Commissioner Fire Safety,5.98,01-Jul-2017,Travel,Home to office - July 2017
Assistant Commissioner Fire Safety,2.99,14-Jun-2017,Travel,Home to office - June 2017
Assistant Commissioner Fire Safety,16.44,14-Jun-2017,Other Expenses,Evening Meal at Mercure Hotel.
Assistant Commissioner Fire Safety,269.00,14-Jun-2017,Accommodation,"Hotel close to US whilst Chairing Commissioner's Group during Grenfell Tower Indident.
Mercure Hotel Southwark St between 22:30 and 06:30"
Assistant Commissioner Fire Safety,7.11,29-Apr-2017,Travel,Henley Business School to Home
Assistant Commissioner Fire Safety,7.11,24-Apr-2017,Travel,Home to office - April 2017
Assistant Commissioner Fire Stations,6.30,09-Mar-2018,Travel,E39-H25-E39 Station Visit
Assistant Commissioner Fire Stations,10.80,23-Feb-2018,Travel,E39-H38-E39 BC/DAC 121
Assistant Commissioner Fire Stations,18.00,16-Feb-2018,Travel,E39-H43-E39 Station Visit
Assistant Commissioner Fire Stations,7.65,09-Feb-2018,Travel,O20E-H31-O20E Station Visit
Assistant Commissioner Fire Stations,6.75,07-Feb-2018,Travel,O20E-A24-E39 Station Visit
Assistant Commissioner Fire Stations,6.75,26-Jan-2018,Travel,City Airport-E39- Return from Rotterdam Conference
Assistant Commissioner Fire Stations,6.75,25-Jan-2018,Travel,E39-City Airport- Rotterdam Conference
Assistant Commissioner Fire Stations,9.90,22-Jan-2018,Travel,E39-SE18- Driver training-E39
Assistant Commissioner Fire Stations,4.95,12-Jan-2018,Travel,O20E-E39 Meeting GM Gooding
Assistant Commissioner Fire Stations,55.64,30-Nov-2017,Travel,Home to office - November 2017
Assistant Commissioner Fire Stations,34.84,31-Oct-2017,Travel,Home to office - October 2017
Assistant Commissioner Fire Stations,24.83,29-Sep-2017,Travel,Home to office - September 2017
Assistant Commissioner Fire Stations,3.90,25-Sep-2017,Travel,Base-Epsom KT19-Base
