SOTitle,Value,ClaimDate,Category,Details
Assistant Commissioner Corporate Portfolio,24.75,12-Dec-2018,Travel,Home to office - December 2018
Assistant Commissioner Corporate Portfolio,3.15,11-Dec-2018,Travel,St/by base-H22-BHQ-St/by base
Assistant Commissioner Corporate Portfolio,40.95,28-Nov-2018,Travel,Home to office - November 2018
Assistant Commissioner Corporate Portfolio,6.60,23-Nov-2018,Travel,Base-Palmers Green N13-East Finchley N2-Base
Assistant Commissioner Corporate Portfolio,12.00,07-Nov-2018,Travel Expense,"The Worshipful Compnay of Firefighters 2018 Fundraising Dinner on behalf of the Commissioner.

Taxi from London Bridge Station to 2 George Yard,EC3V 9DH."
Assistant Commissioner Corporate Portfolio,40.95,31-Oct-2018,Travel,Home to office - October 2018
Assistant Commissioner Corporate Portfolio,8.44,12-Oct-2018,Subsistence,"MC at evening function for the Volunteer Cadet Instructor Awards at Vue Cinema, Leicester Square. "
Assistant Commissioner Corporate Portfolio,38.10,28-Sep-2018,Travel,Home to office - September 2018
Assistant Commissioner Corporate Portfolio,18.00,11-Sep-2018,Travel,Base-Hampshire FRS Academy Borden-Base
Assistant Commissioner Corporate Portfolio,1.80,06-Sep-2018,Travel,Base-Croydon TC-Base
Assistant Commissioner Corporate Portfolio,6.15,05-Sep-2018,Travel,Base-Orpington Hospital-A24 Soho-base
Assistant Commissioner Corporate Portfolio,5.70,03-Sep-2018,Travel,St/by base-Beckton-BHQ-St/by base
Assistant Commissioner Corporate Portfolio,32.76,24-Aug-2018,Travel,Home to office - August 2018
Assistant Commissioner Corporate Portfolio,35.28,19-Jul-2018,Travel,Home to office - July 2018
Assistant Commissioner Corporate Portfolio,2.80,19-Jul-2018,Travel,St/by base-Woolwich Army Barracks-St/by base
Assistant Commissioner Corporate Portfolio,7.28,07-Jul-2018,Travel,St/by base-15PF UB7 7RH -St/by base
Assistant Commissioner Corporate Portfolio,1.12,06-Jul-2018,Travel,Base-Mitsubishi Motors BR3-base
Assistant Commissioner Corporate Portfolio,7.60,29-Jun-2018,Subsistence,"Inaugural Central Programme Office Conference at Hilton Metropole Birmingham

Gourmet Coffee - lunch"
Assistant Commissioner Corporate Portfolio,7.70,29-Jun-2018,Travel Expense,Inaugural Central Programme Office Conference at Hilton Metropole Birmingham
Assistant Commissioner Corporate Portfolio,7.70,28-Jun-2018,Travel Expense,Inaugural Central Programme Office Conference at Hilton Metropole Birmingham
Assistant Commissioner Corporate Portfolio,4.99,28-Jun-2018,Subsistence,"Inaugural Central Programme Office Conference at Hilton Metropole Birmingham

Refreshments from SSP UK totalling £5.74 of which £4.00 claimed."
Assistant Commissioner Corporate Portfolio,55.92,28-Jun-2018,Travel,"EVENT: CPO CONFERENCE
DESTINATION: BIRMINGHAM"
Assistant Commissioner Corporate Portfolio,42.84,27-Jun-2018,Travel,Home to office - June 2018
Assistant Commissioner Corporate Portfolio,6.30,14-Jun-2018,Travel,"St/by Base-Peel Centre, Hendon-St/by Base"
Assistant Commissioner Corporate Portfolio,44.24,30-May-2018,Travel,Home to office - May 2018
Assistant Commissioner Corporate Portfolio,8.54,18-May-2018,Travel,"FF Charity, BN17 5NF - Base"
Assistant Commissioner Corporate Portfolio,6.16,08-May-2018,Travel, St/By Base-Peel Centre NW9-St/By Base 
Assistant Commissioner Corporate Portfolio,2.80,28-Apr-2018,Travel,"St/By Base-St Johns Wood Rd, NW8-St/By Base"
Assistant Commissioner Corporate Portfolio,43.68,27-Apr-2018,Travel,Home to office - April 2018
Assistant Commissioner Corporate Portfolio,3.50,06-Apr-2018,Travel,St/By Base-kwikfi Bromley-BHQ-St/By Base
Assistant Commissioner Fire Safety,4.20,05-Mar-2019,Travel,Base to Paddington (TMC) to Home
Assistant Commissioner Fire Safety,7.56,13-Feb-2019,Travel,Base to Sky Studios (Isleworth) to Home
Assistant Commissioner Fire Safety,16.80,29-Dec-2018,Travel,Home to office - December 2018
Assistant Commissioner Fire Safety,6.24,11-Nov-2018,Travel,Home to office - November 2018
Assistant Commissioner Fire Safety,5.46,13-Oct-2018,Travel,Home to office - October 2018
Assistant Commissioner Fire Stations,15.00,11-Feb-2019,Car Park,Parking at Hotel for NFCC meeting
Assistant Commissioner Fire Stations,8.25,11-Feb-2019,Subsistence,Travel to NFCC meeting 31st Jan
Assistant Commissioner Fire Stations,72.90,31-Jan-2019,Travel,West Mids HQ- E39- Return from NFCC meeting
Assistant Commissioner Fire Stations,62.10,30-Jan-2019,Travel,O20E-West Mids HQ- NFCC Meeting
Assistant Commissioner Fire Stations,8.55,09-Jan-2019,Travel,E39- Canary Wharf- E39 Project meeting
Assistant Commissioner Fire Stations,5.40,31-Dec-2018,Travel,"E39-H31-E39 Fire Shurgard Purley Way, IC"
Assistant Commissioner Fire Stations,9.90,13-Dec-2018,Travel,O20E-A43-E39 LFB Cross country prize giving
Assistant Commissioner Fire Stations,30.15,12-Dec-2018,Travel,E39-G30-O20E NW SM forum
Assistant Commissioner Fire Stations,18.00,11-Dec-2018,Travel,E39-E25-E41-E39 Station visit followed by Borough training day visit
Assistant Commissioner Fire Stations,9.90,01-Dec-2018,Travel,E39-Woolwich Barracks-E39 World Aids Day event
Assistant Commissioner Fire Stations,8.55,26-Nov-2018,Travel,E39-H34-O20E Watch Visit
Assistant Commissioner Fire Stations,15.30,23-Nov-2018,Travel,O20E-Erith-E39 Incident Darent Industrial park
Assistant Commissioner Fire Stations,6.30,21-Nov-2018,Travel,E39-PEG Croydon-O20E meeting
Assistant Commissioner Fire Stations,10.35,08-Nov-2018,Travel,O20E-G26- A28 Acton FS visit
Assistant Commissioner Fire Stations,5.85,08-Nov-2018,Travel,G26-A28-E39 St Pauls Cathedral Armistice Event
Assistant Commissioner Fire Stations,28.35,07-Nov-2018,Travel,E39-A39-E39 Incident Willow House
Assistant Commissioner Fire Stations,18.90,02-Nov-2018,Travel,E39-F36-E39 Waithanstow FS Station Visit
Assistant Commissioner Fire Stations,41.40,29-Oct-2018,Travel,E39-TW13 5JH-E39 Brigade Funeral
Assistant Commissioner Fire Stations,5.40,05-Oct-2018,Travel,Canary Wharf- E28 Bexley FS Station visit
Assistant Commissioner Fire Stations,6.30,05-Oct-2018,Travel,E39- Canary Wharf Event planning meeting
Assistant Commissioner Fire Stations,18.00,16-Sep-2018,Travel,E39-DA1 5PT-E39 Zip2 corporate event
Assistant Commissioner Fire Stations,18.00,15-Sep-2018,Travel,E39-DA1 5PT-E39 Zip2 corporate event
Assistant Commissioner Fire Stations,5.50,12-Sep-2018,Subsistence,Lunch on Easyjet flight retrun from Odense Conference on behalf of LFB
Assistant Commissioner Fire Stations,22.00,12-Sep-2018,Travel Expense,"Taxi to out of town Conference venue and hotel Odense (186 Danish Kroner)- no public transport. Paid on personal credit card as LFB card not working. Refunded to LFB by conference organisers, finance aware and claiming cost recovery."
Assistant Commissioner Fire Stations,23.50,12-Sep-2018,Travel Expense,"Return from Odense Congress centre to rail station- No public transport. Cost being paid by conference organisers, finance invoicing and reclaiming."
Assistant Commissioner Fire Stations,4.00,12-Sep-2018,Subsistence,Meal on Easy Jet flight to Odense Conference on behalf of LFB
Assistant Commissioner Fire Stations,18.00,09-Sep-2018,Travel,E39-DA1 5PT- E39 Event planning meeting
Assistant Commissioner Fire Stations,18.00,08-Sep-2018,Travel,E39-DA1 5PT- E39 Event planning meeting
Assistant Commissioner Fire Stations,13.50,03-Sep-2018,Travel,O20E-Beckton-E39 BM ICE
Assistant Commissioner Fire Stations,13.05,30-Aug-2018,Travel,Gatwick- E39 Odense Conference return
Assistant Commissioner Fire Stations,13.05,28-Aug-2018,Travel,E39-Gatwick Odense Conference
Assistant Commissioner Fire Stations,221.59,28-Aug-2018,Travel,"REASON FOR TRAVEL: CONFERENCE ON BEHALF OF COMMISSIONER
TRAVELLING TO: COPENHAGEN"
