SOTitle,Value,ClaimDate,Category,Details
Assistant Commissioner Corporate Portfolio,6.60,12-Jul-2019,Subsistence,DAC assessing at Beckton TC
Assistant Commissioner Corporate Portfolio,5.05,12-Jul-2019,Subsistence,"DAC assessing at Beckton TC

"
Assistant Commissioner Corporate Portfolio,2.75,12-Jul-2019,Subsistence,"Meeting with Mayor at site of 15PF De Pass Gardens, Barking. IG11"
Assistant Commissioner Corporate Portfolio,3.05,12-Jul-2019,Subsistence,Strategic Managers media awareness course @ beckton TC
Assistant Commissioner Corporate Portfolio,47.70,28-Jun-2019,Travel,Home to office - June 2019
Assistant Commissioner Corporate Portfolio,5.40,10-Jun-2019,Travel,"Stby base-15PF De Pass Gardens,  Barking,  IG11 - stby base"
Assistant Commissioner Corporate Portfolio,5.40,09-Jun-2019,Travel,"Stby base-15PF De Pass Gardens,  Barking,  IG11 -stby base"
Assistant Commissioner Corporate Portfolio,5.70,03-Jun-2019,Travel,Base-Beckton TC-base
Assistant Commissioner Fire Stations,9.45,29-Jul-2019,Travel,E39-LOC-E39 Control watch visit
Assistant Commissioner Fire Stations,10.80,15-Jul-2019,Travel,E39-E25-E39 Station Visit
Assistant Commissioner Fire Stations,229.50,29-Jun-2019,Accommodation,"BOOKING TYPE: ACCOMMODATION FOR ZIP LONDON EVENT
DESTINATION: POINT A HOTEL CANARY WHARF LONDON"
Assistant Commissioner Fire Stations,7.20,18-Jun-2019,Travel,O20E-H31-E39 Station Visit
Assistant Commissioner Fire Stations,24.30,14-Jun-2019,Travel,E39-A34-E39 Station Visit
Assistant Commissioner Fire Stations,7.65,10-Jun-2019,Travel,O20E-Canary Wharf-E39 FF Charity meeting
Assistant Commissioner Fire Stations,12.60,06-Jun-2019,Travel,E39-Kings Place N1-E39 Conference speaker for LFB
Assistant Commissioner Fire Stations,4.50,08-May-2019,Travel,O20E-Victory Club- O20E RMA AGM
Assistant Commissioner Fire Stations,7.20,29-Mar-2019,Travel,E39-H41 Station visit
Assistant Commissioner Fire Stations,10.35,29-Mar-2019,Travel,H41-E21-E39 FBU meeting
Assistant Commissioner Fire Stations,6.30,27-Mar-2019,Travel,E39- Grove Park TA Barracks- O20ESE Area Talent Pool visit
