Ref No,Contract Title,Directorate,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6334,West Norwood yard repair,Corporate Services,Technical and Support Services,FM Service Delivery Team,Frank Walsh,Robert Fisher,No,No,Yes,No,Works,Expenditure,"£19,874","£20,000",-£126,1,No,No,Head of Procurement approval for single tender action,,22/10/2018,22/11/2018,,, B Nokes Ltd
6324,Command Unit Hardware Refresh,Corporate Services,Information and Communications Technology ,System Support & Improvement,Matthew Petts,Joseph Newton,No,No,Yes,No,Goods/Service,Expenditure,"£30,000","£30,000",£0,0,No,No,Head of Procurement approval for single tender action,,28/09/2018,28/09/2018,,, Animal Systems
6322,"Lewisham fire station, Welfare Fund Accommodation Changes",Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Gary Phillips,No,No,Yes,No,Works,Expenditure,"£30,000","£30,000",£0,1,No,No,Budget Holder Approval,,29/10/2018,29/11/2018,,, B Nokes Contracts
6318,Museum fundraiser,Corporate Services,Communications,External Communications and Campaigns,Caroline Davis,Robert Fisher,No,No,Yes,No,Goods/Service,Income,"£50,000","£39,600","£10,400",48,No,No,Budget Holder Approval,,01/11/2018,01/11/2022,,, The Heritage Bureau Ltd
6317,Recruitment of Head of General Counsel,Corporate Services,People Services,HR Advice & Employee Relations,Tracey Dennison,Anouska Herman,No,No,Yes,No,Goods/Service,Expenditure,"£25,000","£25,000",£0,9,No,No,Budget Holder Approval,Local Government Resourcing Partnership Framework,01/08/2018,01/05/2019,,, Gatenby Sanderson
6307,Development of Fireground Drill Test,Corporate Services,People Services,Wellbeing,David Amis,Anouska Herman,No,No,Yes,No,Goods/Service,Expenditure,"£35,000","£35,000",£0,2,No,No,Delegated Authority,,01/09/2018,01/11/2018,,,University of Bath
6303,Installation of Waterless Urinals ,Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Gary Phillips,No,No,Yes,No,Works,Expenditure,"£87,647","£60,000","£27,647",2,No,No,Budget Holder Approval,,18/10/2018,18/12/2018,,, B Nokes Contracts
6296,LexisLibrary,Corporate Services,General Counsel,Legal Services Management & Business Support,Christopher Marshall,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£29,930","£29,930",£0,12,No,No,Head of Procurement approval for single tender action,,16/08/2018,16/08/2019,,, Lexis Nexis (trading name of RELX (UK)Ltd)
6292,HR Services,Corporate Services,People Services,HR Advice & Employee Relations,Kushalta Saini,Robert Fisher,No,No,Yes,Yes,Goods/Service,Expenditure,"£82,600","£80,500","£2,100",12,No,No,Delegated Authority,,01/11/2018,31/10/2019,,, You HR Consultancy Ltd 
6288,Interim Provision of Portable Hygiene Units ,Safety and Assurance,Operational Policy,Fire Rescue Policy,Liam Hall,Michael McCarthy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£65,000","£65,000",£0,3,No,No,Budget Holder Approval,,02/07/2018,01/10/2018,,, Site-Equip Limited 
6286,Executive search - Head of London Resilience,Corporate Services,People Services,HR Advice & Employee Relations,Tracey Dennison,Robert Fisher,No,No,Yes,Yes,Goods/Service,Expenditure,"£23,500","£23,500",£0,12,No,No,Delegated Authority,Local Government Resourcing Partnership LGRP,19/07/2018,19/07/2019,,, Gatenbysanderson Limited
6281,East Ham Watchroom and Station Office,Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Remmy Kamya,No,No,Yes,No,Works,Expenditure,"£36,876","£50,000","-£13,124",2,No,No,Budget Holder Approval,,12/10/2018,12/12/2018,,, Axis Europe
6278,Personal Computer Devices,Corporate Services,Information and Communications Technology ,Technical Projects,Jeremy Sanders-Smith,Catherine Bray,No,No,Yes,No,Goods/Service,Expenditure,"£100,000","£100,000",£0,0,No,No,Budget Holder Approval,,13/09/2018,13/09/2018,,, Specialist Computer Centre
6267,Heating Replacement End of Life Assets,Corporate Services,Technical and Support Services,FM Service Delivery Team,Neville Harper,Anouska Herman,No,No,Yes,No,Works,Expenditure,£120,£120,£0,2,No,No,Budget Holder Approval,,23/07/2018,23/09/2018,,, REAM Contracts Ltd
6259,Fire Safety Qualifications,Operations,Fire Safety (Regulatory and Community),FSR Learning,Susan Naylor,Brigitte De Shong,No,No,Yes,No,Goods/Service,Expenditure,"£85,000","£85,000",£0,7,No,No,Head of Procurement approval for single tender action,,01/05/2018,01/12/2018,,, Fire Service College
6254,Specialist Paper ,Corporate Services,Communications,Internal Communications and Events,Justina Leitao,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£1,500","£1,500",£0,6,No,No,Delegated Authority,,23/04/2018,23/10/2018,,, HV Sier 
6253,Asset Replacement,Corporate Services,Technical and Support Services,FM Service Delivery Team,Neville Harper,Anouska Herman,No,No,Yes,No,Works,Expenditure,"£102,800","£102,800",£0,2,No,No,Delegated Authority,,13/08/2018,30/09/2018,,, REAM Contracts Ltd
6246,Flood Protection barriers,Safety and Assurance,Operational Policy,Rescue & ISAR Policy,Richard Abbot,Gillian Maxwell,No,No,Yes,No,Goods/Service,Expenditure,"£100,000","£100,000",£0,2,No,No,Budget Holder Approval,,21/09/2018,20/09/2020,,, Flood Control International
6245,"Ilford fire station, relocation of community facility",Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£50,537","£75,000","-£24,463",3,No,No,Budget Holder Approval,,03/07/2018,03/10/2018,,, B Nokes Contracts
6197,Service Desk ITSM Tool,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,Yes,No,Goods/Service,Expenditure,"£90,560","£90,560",£0,12,No,No,Budget Holder Approval,Technology Products 2,01/05/2018,01/05/2019,,,Marval Software Ltd
6169,HR Systems support,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£10,442","£10,000",£442,12,No,No,Budget Holder Approval,,17/03/2018,17/03/2019,,, Reed Business
6166,Fire engineernig consultancy services,Operations,Fire Safety (Regulatory and Community),FSR Fire Engineering Group,Lynsey Seal,Anouska Herman,Yes,No,Yes,No,Goods/Service,Expenditure,"£40,000","£40,000",£0,48,No,No,Budget Holder Approval,,30/07/2018,30/07/2022,,, Fire Surgery 
6164,Ballistic PPE: Body Armour,Safety and Assurance,Operational Resilience and Special Operation,Special Operations Group,Patrick Goulbourne,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£86,930","£86,930",£0,48,No,No,Budget Holder Approval,Ballistic PPE Capability Framework Agreement ,28/02/2018,28/02/2022,,, Aegis Engineering
6162,Staff Engagement Survey,Safety and Assurance,Strategy and Risk,Strategy Risk and Engagement,Regina Bonas,Remmy Kamya,No,No,Yes,No,Goods/Service,Expenditure,"£20,000","£20,000",£0,15,No,No,Delegated Authority,TFL 91930 CPT Customer Research and Insight Services relating to Employee Research,26/03/2018,26/06/2019,,, ORC International
6158,FRU Dry Suit,Safety and Assurance,Operational Policy,Rescue & ISAR Policy,Richard Abbot,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£20,000","£20,000",£0,24,No,No,Budget Holder Approval,,10/08/2018,10/08/2020,,, Typhoon
6156,Legal/Loggist Training,Safety and Assurance,Operational Resilience and Special Operation,Emergency Planning,Alex Townsend-Drake,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£15,000","£5,000","£10,000",12,No,No,Budget Holder Approval,,11/06/2018,11/06/2019,,, David Burrows-Sutcliffe
6155,Web Based Job Evaluation Scheme,Corporate Services,People Services,HR Advice & Employee Relations,Robert Bond,Robert Fisher,No,No,Yes,No,Goods/Service,Expenditure,"£18,845","£18,845",£0,48,No,No,Budget Holder Approval,,04/05/2018,04/05/2022,,, PILAT EUROPE LIMITED 
6146,VMware vSphere 6,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Not allocated,,No,Yes,No,Goods/Service,Expenditure,"£91,803","£91,803",£0,36,No,No,Budget Holder Approval,CCS Technology Products 2,01/02/2018,01/02/2021,,, Phoenix Software Ltd
6142,Provision of Black Workwear Jackets for Senior Officers,Operations,Central Operations,Central Operations Team,Richard Tapp,Gillian Maxwell,No,No,Yes,No,Goods/Service,Expenditure,"£20,000","£20,000",£0,12,No,No,Budget Holder Approval,,01/02/2018,01/02/2019,,, Burlington Uniforms
6137,NEC3 Licence Agreement ,Corporate Services,Procurement,Corporate Procurement Services,Michael McCarthy,Not allocated,,No,Yes,No,Goods/Service,Expenditure,"£1,900","£1,900",£0,24,No,No,Delegated Authority,TFL NEC Licence Agreement ,03/01/2018,02/01/2020,,, NEC (Thomas Telford) 
6135,Network monitoring software,Corporate Services,Information and Communications Technology ,Network,Thomas Mohan,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£47,467","£30,000","£17,467",12,No,No,Budget Holder Approval,Technology Products 2 Agreement RM3733 ,09/04/2018,08/04/2019,,, COMPUTACENTER (UK) Ltd 
6134,Chiswick Fire Station - Window Replacement Project ,Corporate Services,Technical and Support Services,FM Service Delivery Team,Lakin Arrowsmith,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£91,796","£152,000","-£60,204",3,No,No,Delegated Authority,,02/04/2018,02/07/2018,,, Euro windows Ltd
6126,Cloud Consultancy,Corporate Services,Information and Communications Technology ,ICT Management,Julian Martin,Gerald Dennis,No,No,Yes,No,Goods/Service,Expenditure,"£25,000","£25,000",£0,6,No,No,Budget Holder Approval,G-Cloud 9,09/01/2018,09/07/2018,,, Eduserv
6125,A Coaching and Mentoring programme,Safety and Assurance,Training and Professional Development,Cultural Change,Dawne Stephenson,Remmy Kamya,No,No,Yes,No,Goods/Service,Expenditure,"£61,500","£50,000","£11,500",3,No,No,Committee Decision,,04/06/2018,04/09/2018,,, The Advanced Coaching Academy Ltd
6124,Provision of Chilled Mains Drinking Water Dispenser Services,Corporate Services,Technical and Support Services,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£39,000","£39,000",£0,36,No,No,Delegated Authority,ESPO Water Coolers ,31/10/2017,31/10/2019,,, Water Coolers Limited 
6123,"Replacement of kitchen canopy hoods & extraction units North [Barnet, Kentish Town & Willesden fire stations]",Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£95,000","£95,000",£0,2,No,No,Budget Holder Approval,,05/02/2018,05/04/2018,,, Cedaforce
