Ref No,Contract Title,Directorate,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6424,Level 3 Fire Safety Auditors Qualification,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Robert Fisher,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 18,220","£ 18,220",£ 0,12,No,No,Delegated Authority,,26/03/2019,26/09/2019,,, Xact Consultancy and Training LTD
6423,Senior M&E Consultant,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Devron Cariba,No,No,Yes,No,Goods/Service,Expenditure,"£ 105,600","£ 105,600",£ 0,12,No,No,Delegated Authority,,04/03/2019,04/03/2020,,, Global Real Estate Ltd
6384,Lighting Upgrade To LED Lighting Energy reduction 8 Stations ,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Neville Harper,Remmy Kamya,No,No,Yes,No,Works,Expenditure,"£ 132,277","£ 22,000","£ 110,277",6,No,No,Delegated Authority,,19/03/2019,19/09/2019,,, APC Technology Group PLC
6378,Union Street A/C MER replacement,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Neville Harper,Gary Phillips,No,No,Yes,No,Works,Expenditure,"£ 89,760","£ 89,760",£ 0,1,No,No,Budget Holder Approval,,14/02/2019,14/03/2019,,, Quantech Environmental Ltd
6376,Venue for LFB Managers Conference 2019,Corporate Services Directorate,Communications,Internal Communications and Events,Suzanne Oakley,Tom Marshall,No,No,Yes,No,Goods/Service,Expenditure,"£ 28,350","£ 35,000","(£ 6,650)",0,No,No,Budget Holder Approval,,05/03/2019,05/03/2019,,, Hilton London Metropole
6375,"Barking fire station, repointing of brickwork",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,Devron Cariba,No,No,Yes,No,Works,Expenditure,"£ 111,544","£ 130,000","(£ 18,456)",6,No,No,Budget Holder Approval,,25/02/2019,26/08/2019,,, Standage
6365,Licence renewal of ForcePoint Web security proxy,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Christopher Yiangou,Tom Marshall,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 82,114","£ 82,114",£ 0,39,No,No,Budget Holder Approval,,18/12/2018,18/03/2022,,, MTI Technology Limited
6364,MODAS DataPump,Corporate Services Directorate,Information and Communications Technology ,System Support & Improvement,Christopher O'Connor,Tom Marshall,No,No,Yes,No,Goods/Service,Expenditure,"£ 17,000","£ 17,000",£ 0,36,No,No,Head of Procurement approval for single tender action,,01/03/2019,28/02/2022,,, 3TC Software Limited
6360,"Sutton fire station, Refurbishment of showers & toilets",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,Maria Sun,No,No,Yes,No,Works,Expenditure,"£ 119,958","£ 80,000","£ 39,958",2,No,No,Budget Holder Approval,,04/03/2019,04/05/2019,,, B Nokes Contracts
6356,Independent review of training,Safety and Assurance Directorate,Training and Professional Development,Training Delivery,Peter Groves,Gary Phillips,No,No,Yes,No,Goods/Service,Expenditure,"£ 76,000","£ 100,000","(£ 24,000)",6,No,No,Budget Holder Approval,,25/02/2019,25/08/2019,,, Ribband Star Consultancy Ltd
