GOVERNMENT PROCUREMENT CARDS,,,,,,
Quarter 3 2018/19,,,,,,
,,,,,,
Date of the Transaction ,Local Authority Department which Incurred the Expenditure ,Beneficiary,Amount,Value Added Tax that cannot be recovered ,Summary of the purpose of the expenditure ,"Merchant category (eg. computers, software etc)."
04/10/2018,London Fire Brigade,Amazon.co.uk,176.98,0,Encrypted flash drives,Hardware
09/10/2018,London Fire Brigade,DIGIPIX ILFORD,600.00,0,Clothing for Outtreach Team,Clothing
11/10/2018,London Fire Brigade,AMZN Mktp UK,22.55,0,Fitness equip for Outreach Team,Equipment
12/10/2018,London Fire Brigade,AMZN Mktp UK,26.99,0,Fitness equip for Outreach Team,Equipment
12/10/2018,London Fire Brigade,SurveyMonkey,336.00,0,Survey Monkey for National Operational Guidance,Software
15/10/2018,London Fire Brigade,SPEEDY STAMPS,418.20,0,Commissioner's Seal,Equipment
15/10/2018,London Fire Brigade,FAR 'N' BEYOND LTD,170.40,0,Fitness equip for Outreach Team,Equipment
16/10/2018,London Fire Brigade,WWW.FITNESS-SUPERSTORE,38.95,0,Fitness equip for Outreach Team,Equipment
16/10/2018,London Fire Brigade,PAYPAL SALESWORLD,63.98,0,Equip for Outreach Team,Equipment
16/10/2018,London Fire Brigade,PAYPAL SXC,179.90,0,Equip for Outreach Team,Equipment
17/10/2018,London Fire Brigade,WWW.ANIBASE.COM,15.95,0,Addition to microchip database,Specialist Services
27/10/2018,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
30/10/2018,London Fire Brigade,WAY AHEAD MEDIA,300.00,0,FirePRO Conference 2018 on 14 Nov 2018,Training
31/10/2018,London Fire Brigade,MAILCHIMP MONTHLY,75.40,0,Email Marketing Subscription,Software
01/11/2018,London Fire Brigade,WHSMITH.CO.UK,1000.00,0,Vouchers for LIFE team,consumables
06/11/2018,London Fire Brigade,Trainline,79.96,0,3 Finance staff visiting Kent FRA,Travel
07/11/2018,London Fire Brigade,LINKEDIN-421 0507214,242.08,0,Recruitment advertising,Specialist Services
08/11/2018,London Fire Brigade,THE INTELLECTUAL PROPE,750.00,0,REGISTERED TRADE MARK RENEWAL,Specialist Services
08/11/2018,London Fire Brigade,FAIRMONT HOTELS,310.20,0,LFBE SAVOY HOTEL,Training
15/11/2018,London Fire Brigade,GODADDY COM EUROPE,40.69,0,domain name from GoDaddy.com,Software
23/11/2018,London Fire Brigade,HARDY MEDIA LIMITE,360.00,0,CorpComms Awards 2018,Training
24/11/2018,London Fire Brigade,HEATHROW EXPRESS,37.00,0,Train Heathrow Airport (return),Travel
26/11/2018,London Fire Brigade,WILD WEST ROADHOUSE FO,9.82,0,Evening meal ,Subsistence
27/11/2018,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
27/11/2018,London Fire Brigade,WATERFRONT MACTAN CASI,15.34,0,Evening meal ,Subsistence
29/11/2018,London Fire Brigade,WATERFRONT MACTAN CASI,7.86,0,Evening meal ,Subsistence
30/11/2018,London Fire Brigade,MAILCHIMP MONTHLY,86.90,0,Email Marketing Subscription,Software
05/12/2018,London Fire Brigade,WWW.ARGOS.CO.UK,77.90,0,JACK PETCHEY BOARD GAME,consumables
05/12/2018,London Fire Brigade,XL DISPLAYS LTD,116.40,0,JACK PETCHEY WHITEBOARD,consumables
05/12/2018,London Fire Brigade,WWW.TTS-GROUPS.CO.UK,283.06,0,JACK PETCHEY SPORT EQUIPMENT,Equipment
10/12/2018,London Fire Brigade,JACK FROST PET PRODUCT,156.35,0,Hydrocarbon Dog expences,consumables
11/12/2018,London Fire Brigade,BOOK EVENTS (2),665.00,0,presents for children's Christmas party.,consumables
11/12/2018,London Fire Brigade,DIGIPIX ILFORD,150.00,0,JACK PETCHEY CLOTHING,Clothing
14/12/2018,London Fire Brigade,WWW.PETSHOPBOWL.CO.UK,74.56,0,DOG FOOD,consumables
14/12/2018,London Fire Brigade,CURRYS ONLINE,319.94,0,JACK PETCHEY KITCHEN BLENDER,Equipment
18/12/2018,London Fire Brigade,HOLBORN BARS,838.00,0,CONFERENCE LUNCH,Subsistence
20/12/2018,London Fire Brigade,WWW.JOHNLEWIS.COM,36.95,0,GIFTS FOR SPEAKERS AT CAROL SERVICE,consumables
20/12/2018,London Fire Brigade,WWW.JOHNLEWIS.COM,46.95,0,GIFTS FOR SPEAKERS AT CAROL SERVICE,consumables
27/12/2018,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
31/12/2018,London Fire Brigade,MAILCHIMP MONTHLY,111.65,0,Email Marketing Subscription,Software
