Date of the Transaction ,Local Authority Department which Incurred the Expenditure ,Beneficiary,Amount,Value Added Tax that cannot be recovered ,Summary of the purpose of the expenditure ,"Merchant category (eg. computers, software etc)."
06/01/2017,London Fire Brigade,GOTOCITRIX.COM,273.6,0,IT Training,Training and Conferences
13/01/2017,London Fire Brigade,Red Letter Days,55.94,0,Competition Prize,Specialist Services
18/01/2017,London Fire Brigade,London Borough of Lambeth,21.35,0,Temporary Event Notice,Specialist Services
20/01/2017,London Fire Brigade,The Intellectual Project,450,0,Renewal of registered trade marks with the Intellectual Property Office.,Specialist Services
22/01/2017,London Fire Brigade,Facebook,599.39,0,Facebook account charges for digital marketing,Specialist Services
22/01/2017,London Fire Brigade,Facebook,2.11,0,Facebook account charges for digital marketing,Specialist Services
25/01/2017,London Fire Brigade,Facebook,598.27,0,Facebook account charges for digital marketing,Specialist Services
25/01/2017,London Fire Brigade,Facebook,2,0,Facebook account charges for digital marketing,Specialist Services
29/01/2017,London Fire Brigade,Facebook,597.3,0,Facebook account charges for digital marketing,Specialist Services
29/01/2017,London Fire Brigade,Facebook,3.21,0,Facebook account charges for digital marketing,Specialist Services
31/01/2017,London Fire Brigade,J2 eReceptionist,10.6,0,Line rental for freephone number,Telecommunications
31/01/2017,London Fire Brigade,Facebook,437.45,0,Facebook account charges for digital marketing,Specialist Services
31/01/2017,London Fire Brigade,Facebook,24.85,0,Facebook account charges for digital marketing,Specialist Services
31/01/2017,London Fire Brigade,Design & Art Direction Shop,823.45,0,Purchase of three annual memberships and festival passes for D&AD (Design and Art Direction),Specialist Services
31/01/2017,London Fire Brigade,J2 eReceptionist,10.55,0,Line rental for freephone number,Telecommunications
01/02/2017,London Fire Brigade,Facebook,584.6,0,Facebook account charges for digital marketing,Specialist Services
01/02/2017,London Fire Brigade,Facebook,15.6,0,Facebook account charges for digital marketing,Specialist Services
02/02/2017,London Fire Brigade,Facebook,571.2,0,Facebook account charges for digital marketing,Specialist Services
02/02/2017,London Fire Brigade,Facebook,29.14,0,Facebook account charges for digital marketing,Specialist Services
02/02/2017,London Fire Brigade,Love2Shop,53.7,0,Purchase of Voucher for Prize Winner at 150th Wrap event arranged for 7 February 2017. ,Specialist Services
09/02/2017,London Fire Brigade,Screencast-o-matic.com,12.42,0,Pro Recorder,IT Equipment
17/02/2017,London Fire Brigade,Information Commissioners Office,35,0,Renewal of Register Entry - London Fire Brigade Enterprises Ltd,Specialist Services
28/02/2017,London Fire Brigade,J2 eReceptionist,10.5,0,Line rental for freephone number,Telecommunications
28/02/2017,London Fire Brigade,Institute of Directors,120,0,New Associate subscription,Subscriptions
22/03/2017,London Fire Brigade,Dominos Pizza,180.93,0,Subsistence during evening of Westminster terror attack,Subsistence
24/03/2017,London Fire Brigade,Novotel,407,0,Finance Top Managers Meeting,Training and Conferences
30/03/2017,London Fire Brigade,HTG Group Ltd,246.01,0,Hire of two iPads from HireTablets Global (HTC Group Ltd).,Specialist Services
31/03/2017,London Fire Brigade,SurveyMonkey,300,0,Licence to use Survey Monkey Gold Plan ,Specialist Services
03-10/02/2017,London Fire Brigade,Facebook,3601.75,0,Facebook account charges for digital marketing,Specialist Services
03-28/02/2017,London Fire Brigade,Tesco Stores ,4909.42,0,Lunch for Back to Basics Training,Training and Conferences
11-18/02/2017,London Fire Brigade,Facebook,3603.8,0,Facebook account charges for digital marketing,Specialist Services
19-28/02/2017,London Fire Brigade,Facebook,4749.6,0,Facebook account charges for digital marketing,Specialist Services
20/02-02/03/2017,London Fire Brigade,Tesco Stores ,3132.26,0,Lunch for Back to Basics Training,Training and Conferences
