Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
00000052251,270318K,POWER CONTROL LTD,0000005225,1,"75,267.00",REACTIVE SMALL WORKS AND PROJ,03/04/18,"75,267.00",Technical and Service Support,Works - Construction
00000239801,270318K,GARRAN LOCKERS LTD,0000023980,1,"1,316.24",OFFICE FURNITURE,03/04/18,"1,316.24",Fire Stations (North West),Furniture & Soft Furnishings
00001032791,280318G,ADVANCED FURNITURE,0000103279,1,910.02,OFFICE FURNITURE,03/04/18,910.02,Fire Stations (North West),Furniture & Soft Furnishings
000040002961,142209,EDF ENERGY,00004000296,1,138.82,ELECTRICITY,03/04/18,"2,994.78",Technical and Service Support,Utilities
000040002962,142209,EDF ENERGY,00004000296,2,54.19,ELECTRICITY,03/04/18,,Technical and Service Support,Utilities
000040002963,142209,EDF ENERGY,00004000296,3,760.20,ELECTRICITY,03/04/18,,Technical and Service Support,Utilities
000040002964,142209,EDF ENERGY,00004000296,4,853.37,ELECTRICITY,03/04/18,,Technical and Service Support,Utilities
000040002965,142209,EDF ENERGY,00004000296,5,407.37,ELECTRICITY,03/04/18,,Technical and Service Support,Utilities
000040002966,142209,EDF ENERGY,00004000296,6,780.83,ELECTRICITY,03/04/18,,Technical and Service Support,Utilities
0941000028-0381,220318K,AIRWAVE SOLUTIONS LTD,0941000028-038,1,"9,154.32",RADIO,03/04/18,"12,180.00",Information and Communication Technology,ICT
0941000028-0382,220318K,AIRWAVE SOLUTIONS LTD,0941000028-038,2,"3,025.68",RADIO,03/04/18,,Information and Communication Technology,ICT
11,260318F,CURRIE & BROWN UK LIMITED,1,1,800.05,PROF FEES-MISCELLANEOUS,03/04/18,800.05,Technical and Service Support,"Works - Construction, R&M"
100577091,800112957,KIER BUILDING SERV ENGINEERS,10057709,1,834.69,REACTIVE MEP,03/04/18,834.69,Technical and Service Support,Consultancy
1051011,280318G,LAVAT CONSULTING LTD T/A PSTAX,105101,1,"6,220.00",CONSULTANTS,03/04/18,"6,220.00",Finance Services,"Works - Construction, R&M"
11154171,280318K,SPRUE SAFETY PRODUCTS LTD,1115417,1,735.00,FIRE DETECTORS,03/04/18,735.00,Fire Stations (North West),"Works - Construction, R&M"
11158801,280318K,SPRUE SAFETY PRODUCTS LTD,1115880,1,300.00,FIRE DETECTORS,03/04/18,900.00,Fire Stations (South East),"Works - Construction, R&M"
11158802,280318K,SPRUE SAFETY PRODUCTS LTD,1115880,2,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),"Works - Construction, R&M"
11158803,280318K,SPRUE SAFETY PRODUCTS LTD,1115880,3,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11158841,280318K,SPRUE SAFETY PRODUCTS LTD,1115884,1,300.00,FIRE DETECTORS,03/04/18,900.00,Fire Stations (South East),Health and Safety
11158842,280318K,SPRUE SAFETY PRODUCTS LTD,1115884,2,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11158843,280318K,SPRUE SAFETY PRODUCTS LTD,1115884,3,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11158921,280318K,SPRUE SAFETY PRODUCTS LTD,1115892,1,300.00,FIRE DETECTORS,03/04/18,900.00,Fire Stations (South East),Health and Safety
11158922,280318K,SPRUE SAFETY PRODUCTS LTD,1115892,2,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11158923,280318K,SPRUE SAFETY PRODUCTS LTD,1115892,3,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11158941,280318K,SPRUE SAFETY PRODUCTS LTD,1115894,1,300.00,FIRE DETECTORS,03/04/18,900.00,Fire Stations (South East),Health and Safety
11158942,280318K,SPRUE SAFETY PRODUCTS LTD,1115894,2,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11158943,280318K,SPRUE SAFETY PRODUCTS LTD,1115894,3,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11159001,280318K,SPRUE SAFETY PRODUCTS LTD,1115900,1,300.00,FIRE DETECTORS,03/04/18,900.00,Fire Stations (South East),Health and Safety
11159002,280318K,SPRUE SAFETY PRODUCTS LTD,1115900,2,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11159003,280318K,SPRUE SAFETY PRODUCTS LTD,1115900,3,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11159121,280318K,SPRUE SAFETY PRODUCTS LTD,1115912,1,300.00,FIRE DETECTORS,03/04/18,900.00,Fire Stations (South East),Health and Safety
11159122,280318K,SPRUE SAFETY PRODUCTS LTD,1115912,2,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11159123,280318K,SPRUE SAFETY PRODUCTS LTD,1115912,3,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11159131,280318K,SPRUE SAFETY PRODUCTS LTD,1115913,1,300.00,FIRE DETECTORS,03/04/18,900.00,Fire Stations (South East),Health and Safety
11159132,280318K,SPRUE SAFETY PRODUCTS LTD,1115913,2,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11159133,280318K,SPRUE SAFETY PRODUCTS LTD,1115913,3,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11159141,280318K,SPRUE SAFETY PRODUCTS LTD,1115914,1,300.00,FIRE DETECTORS,03/04/18,900.00,Fire Stations (South East),Health and Safety
11159142,280318K,SPRUE SAFETY PRODUCTS LTD,1115914,2,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11159143,280318K,SPRUE SAFETY PRODUCTS LTD,1115914,3,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11162751,160318K,SPRUE SAFETY PRODUCTS LTD,1116275,1,"1,050.00",FIRE DETECTORS,03/04/18,"1,050.00",Fire Stations (South West),Health and Safety
11163401,160318K,SPRUE SAFETY PRODUCTS LTD,1116340,1,735.00,FIRE DETECTORS,03/04/18,735.00,Fire Stations (North East),Health and Safety
11163421,160318K,SPRUE SAFETY PRODUCTS LTD,1116342,1,300.00,FIRE DETECTORS,03/04/18,"3,600.00",Fire Stations (South East),Health and Safety
11163422,160318K,SPRUE SAFETY PRODUCTS LTD,1116342,2,"3,000.00",FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
11163423,160318K,SPRUE SAFETY PRODUCTS LTD,1116342,3,300.00,FIRE DETECTORS,03/04/18,,Fire Stations (South East),Health and Safety
118010251,220318K,GAS CONTROL EQUIPMENT LTD,11801025,1,"1,996.00",PROFESSIONAL DEVELOPMENT,03/04/18,"1,996.00",Development and Training,Human Resources
13273822C1,142207,AFFINITY FOR BUSINESS LTD,13273822C,1,281.06,WATER & SEWERAGE RATES,03/04/18,281.06,Technical and Service Support,Utilities
150SURCOATS1,142207,B & A TEXTILES LTD,150SURCOATS,1,"4,590.00",UNIFORMS,03/04/18,"4,590.00",Central Operations,Clothing
1564741,220318K,H FINE & SON LTD,156474,1,505.00,GENERAL CONSUMABLES,03/04/18,505.00,Procurement,Emergency Services
16161811,280318F,BANNER GROUP LIMITED,1616181,1,200.00,STATIONERY CONSUMABLES,03/04/18,841.00,Community Safety,Stationery
16161812,280318F,BANNER GROUP LIMITED,1616181,2,301.00,STATIONERY CONSUMABLES,03/04/18,,Community Safety,Stationery
16161813,280318F,BANNER GROUP LIMITED,1616181,3,340.00,COMMUNITY RELATIONS,03/04/18,,Community Safety,Facilities & Management Services
1630671,270318K,RESPIREX,163067,1,"16,802.00",OPERATIONAL EQUIP-PURCHASE,03/04/18,"27,100.00",Technical and Service Support,Fire & Rescue
1630672,270318K,RESPIREX,163067,2,"8,130.00",OPERATIONAL EQUIP-PURCHASE,03/04/18,,Technical and Service Support,Fire & Rescue
1630673,270318K,RESPIREX,163067,3,"1,084.00",OPERATIONAL EQUIP-PURCHASE,03/04/18,,Technical and Service Support,Fire & Rescue
1630674,270318K,RESPIREX,163067,4,"1,084.00",OPERATIONAL EQUIP-PURCHASE,03/04/18,,Technical and Service Support,Fire & Rescue
163542341,280318F,NISBETS,16354234,1,559.99,CATERING EQUIPMENT,03/04/18,559.99,Fire Stations (North West),Catering
164291,280318F,RUTH LEE LTD,16429,1,744.00,GENERAL,03/04/18,744.00,Fire Stations (North East),Consultancy
16821,280318F,EAKO LTD (ELVIS & KRESSE),1682,1,307.00,PUBLIC RELATIONS,03/04/18,307.00,Procurement,Facilities & Management Services
1721831,280318K,CMT,172183,1,"3,498.00",OPERATIONAL EQUIP-PURCHASE,03/04/18,"3,543.00",Technical and Service Support,Fire & Rescue
1721832,280318K,CMT,172183,2,45.00,OPERATIONAL EQUIP-PURCHASE,03/04/18,,Technical and Service Support,Fire & Rescue
18000073701,160318K,GREATER LONDON AUTHORITY,1800007370,1,"24,000.00",GLA RESPONSIBLE PROCUREMENT,03/04/18,"24,000.00",Information and Communication Technology,Non Influenceable Spend
2014401,210318K,PCC FOR WEST MIDLANDS,201440,1,750.00,PROFESSIONAL DEVELOPMENT,03/04/18,750.00,Operational Resilience,Human Resources
203371,200318K,THE WYEDEAN WEAVING COMPANY LD,20337,1,91.60,UNIFORMS - POMS,03/04/18,876.10,Procurement,Clothing
203372,200318K,THE WYEDEAN WEAVING COMPANY LD,20337,2,320.50,UNIFORMS - POMS,03/04/18,,Procurement,Clothing
203373,200318K,THE WYEDEAN WEAVING COMPANY LD,20337,3,464.00,UNIFORMS - POMS,03/04/18,,Procurement,Clothing
2103181,270318K,LIZ NAPIER SOLUTIONS LIMITED,210318,1,"1,470.05",GENERAL,03/04/18,"1,470.05",Central Finance,Consultancy
221391,230318K,REAM CONTRACTS LTD,22139,1,"2,940.00",REACTIVE SMALL WORKS AND PROJ,03/04/18,"2,940.00",Technical and Service Support,Works - Construction
24903161,800112748,REDFERN TRAVEL LTD,2490316,1,556.62,OVERSEAS TRAVEL,03/04/18,556.62,Operational Policy,Human Resources
24918511,800112724,REDFERN TRAVEL LTD,2491851,1,663.33,OVERSEAS TRAVEL,03/04/18,663.33,Operational Resilience,Human Resources
24959431,800112728,REDFERN TRAVEL LTD,2495943,1,314.40,ACCOMMODATION BOOKINGS,03/04/18,314.40,Community Safety,Human Resources
24966431,800112774,REDFERN TRAVEL LTD,2496643,1,259.40,TRAVEL BOOKINGS,03/04/18,259.40,Operational Resilience,Human Resources
24968341,800112770,REDFERN TRAVEL LTD,2496834,1,252.23,TRAVEL BOOKINGS,03/04/18,252.23,National Operational Guidance Project,Human Resources
25003391,800112782,REDFERN TRAVEL LTD,2500339,1,"2,003.11",TRAVEL BOOKINGS,03/04/18,"2,003.11",Corporate Management Team,Human Resources
25011191,800112773,REDFERN TRAVEL LTD,2501119,1,327.65,ACCOMMODATION BOOKINGS,03/04/18,327.65,Fire Engineering & Specialist Fire Safety,Human Resources
25048521,800112757,REDFERN TRAVEL LTD,2504852,1,539.70,ACCOMMODATION BOOKINGS,03/04/18,539.70,National Operational Guidance Project,Human Resources
25076401,800112787,REDFERN TRAVEL LTD,2507640,1,936.21,OVERSEAS TRAVEL,03/04/18,936.21,Fire Stations (Management),Human Resources
25099381,800112726,REDFERN TRAVEL LTD,2509938,1,823.70,ACCOMMODATION BOOKINGS,03/04/18,823.70,Fire Engineering & Specialist Fire Safety,Human Resources
25124491,800112769,REDFERN TRAVEL LTD,2512449,1,477.70,ACCOMMODATION BOOKINGS,03/04/18,477.70,National Operational Guidance Project,Human Resources
25151031,800112805,REDFERN TRAVEL LTD,2515103,1,290.52,TRAVEL BOOKINGS,03/04/18,290.52,Information and Communication Technology,Human Resources
25174121,800112731,REDFERN TRAVEL LTD,2517412,1,"1,265.77",HIRE OF FACILITIES,03/04/18,"1,265.77",Operations Review Team,Facilities & Management Services
25203841,800112809,REDFERN TRAVEL LTD,2520384,1,469.42,TRAVEL BOOKINGS,03/04/18,469.42,Control and Resource Management,Human Resources
25213681,800112727,REDFERN TRAVEL LTD,2521368,1,"1,554.43",TRAVEL BOOKINGS,03/04/18,"1,554.43",Corporate Management Team,Human Resources
25248511,800112771,REDFERN TRAVEL LTD,2524851,1,"1,132.41",TRAVEL BOOKINGS,03/04/18,"1,132.41",National Operational Guidance Project,Human Resources
2703181,280318K,PRINCIPEA CONSULTING,270318,1,"1,227.00",GENERAL,03/04/18,"1,227.00",Central Finance,Consultancy
276321,270318K,CHARTERBRAE LIMITED,27632,1,245.12,BEDS & SOFT FURNISHINGS,03/04/18,367.68,Fire Stations (North West),Furniture & Soft Furnishings
276322,270318K,CHARTERBRAE LIMITED,27632,2,122.56,BEDS & SOFT FURNISHINGS,03/04/18,,Fire Stations (North West),Furniture & Soft Furnishings
28001,270318F,GEORGE JONES & SON LTD,2800,1,"1,100.00",PLANNED BUILDING DECORATIONS,03/04/18,"1,100.00",Technical and Service Support,Works - Construction
283420641,270318F,AECOM INFRASTRUCTURE &,28342064,1,"1,638.04",PROF FEES-MISCELLANEOUS,03/04/18,"1,638.04",Technical and Service Support,Consultancy
29101160461,280318G,DRAEGER SAFETY UK LIMITED,2910116046,1,91.20,PROTECTIVE EQUIPT - PARTS,03/04/18,734.40,Technical and Service Support,Emergency Services
29101160462,280318G,DRAEGER SAFETY UK LIMITED,2910116046,2,14.50,PROTECTIVE EQUIPT - PARTS,03/04/18,,Technical and Service Support,Emergency Services
29101160463,280318G,DRAEGER SAFETY UK LIMITED,2910116046,3,76.80,PROTECTIVE EQUIPT - PARTS,03/04/18,,Technical and Service Support,Emergency Services
29101160464,280318G,DRAEGER SAFETY UK LIMITED,2910116046,4,62.70,PROTECTIVE EQUIPT - PARTS,03/04/18,,Technical and Service Support,Emergency Services
29101160465,280318G,DRAEGER SAFETY UK LIMITED,2910116046,5,425.52,PROTECTIVE EQUIPT - PARTS,03/04/18,,Technical and Service Support,Emergency Services
29101160466,280318G,DRAEGER SAFETY UK LIMITED,2910116046,6,47.00,PROTECTIVE EQUIPT - PARTS,03/04/18,,Technical and Service Support,Emergency Services
29101160467,280318G,DRAEGER SAFETY UK LIMITED,2910116046,7,16.68,PROTECTIVE EQUIPT - PARTS,03/04/18,,Technical and Service Support,Emergency Services
29101163641,280318F,DRAEGER SAFETY UK LIMITED,2910116364,1,"3,394.00",PROTECTIVE EQUIPT - PARTS,03/04/18,"3,394.00",Technical and Service Support,Emergency Services
29101164701,270318K,DRAEGER SAFETY UK LIMITED,2910116470,1,407.00,REPAIR & MAINTENANCE,03/04/18,626.15,Technical and Service Support,Furniture & Soft Furnishings
29101164702,270318K,DRAEGER SAFETY UK LIMITED,2910116470,2,76.00,REPAIR & MAINTENANCE,03/04/18,,Technical and Service Support,Furniture & Soft Furnishings
29101164703,270318K,DRAEGER SAFETY UK LIMITED,2910116470,3,0.88,REPAIR & MAINTENANCE,03/04/18,,Technical and Service Support,Furniture & Soft Furnishings
29101164704,270318K,DRAEGER SAFETY UK LIMITED,2910116470,4,127.27,REPAIR & MAINTENANCE,03/04/18,,Technical and Service Support,Furniture & Soft Furnishings
29101164705,270318K,DRAEGER SAFETY UK LIMITED,2910116470,5,15.00,REPAIR & MAINTENANCE,03/04/18,,Technical and Service Support,Furniture & Soft Furnishings
29101165181,280318F,DRAEGER SAFETY UK LIMITED,2910116518,1,"6,612.60",PROTECTIVE EQUIPT - PARTS,03/04/18,"8,520.76",Technical and Service Support,Emergency Services
29101165182,280318F,DRAEGER SAFETY UK LIMITED,2910116518,2,"1,878.72",PROTECTIVE EQUIPT - PARTS,03/04/18,,Technical and Service Support,Emergency Services
29101165183,280318F,DRAEGER SAFETY UK LIMITED,2910116518,3,29.44,PROTECTIVE EQUIPT - PARTS,03/04/18,,Technical and Service Support,Emergency Services
29101169591,270318K,DRAEGER SAFETY UK LIMITED,2910116959,1,998.20,PROTECTIVE EQUIPT - PARTS,03/04/18,998.20,Technical and Service Support,Emergency Services
29101171301,270318K,DRAEGER SAFETY UK LIMITED,2910117130,1,"1,304.64",PROTECTIVE EQUIPT - PARTS,03/04/18,"1,304.64",Technical and Service Support,Emergency Services
29101171321,270318K,DRAEGER SAFETY UK LIMITED,2910117132,1,542.88,PROTECTIVE EQUIPT - PARTS,03/04/18,542.88,Technical and Service Support,Emergency Services
29101175291,270318K,DRAEGER SAFETY UK LIMITED,2910117529,1,579.00,PROTECTIVE EQUIPT - PARTS,03/04/18,579.00,Technical and Service Support,Emergency Services
29101176871,270318K,DRAEGER SAFETY UK LIMITED,2910117687,1,733.86,PROTECTIVE EQUIPT - PARTS,03/04/18,733.86,Technical and Service Support,Emergency Services
29101188951,280318G,DRAEGER SAFETY UK LIMITED,2910118895,1,"3,007.22",PROTECTIVE EQUIPT - PARTS,03/04/18,"3,007.22",Technical and Service Support,Emergency Services
29101189481,280318G,DRAEGER SAFETY UK LIMITED,2910118948,1,254.59,PROTECTIVE EQUIPT - PARTS,03/04/18,254.59,Technical and Service Support,Emergency Services
3010559041,142207,CANON UK LTD,301055904,1,"2,374.66",OFFICE EQUIPMENT,03/04/18,"2,374.66",Technical and Service Support,Stationery
302661,280318K,WATERFRONT MANUFACTURING LTD,30266,1,600.00,UNIFORMS,03/04/18,"1,350.00",Fire Stations (Management),Clothing
302662,280318K,WATERFRONT MANUFACTURING LTD,30266,2,750.00,UNIFORMS,03/04/18,,Fire Stations (Management),Clothing
302891,270318K,WATERFRONT MANUFACTURING LTD,30289,1,199.22,UNIFORMS,03/04/18,372.22,Fire Stations (North East),Clothing
302892,270318K,WATERFRONT MANUFACTURING LTD,30289,2,173.00,UNIFORMS,03/04/18,,Fire Stations (North East),Clothing
302961,270318K,WATERFRONT MANUFACTURING LTD,30296,1,352.00,UNIFORMS,03/04/18,352.00,Corporate Management Team,Clothing
303051,270318K,WATERFRONT MANUFACTURING LTD,30305,1,199.22,UNIFORMS,03/04/18,372.22,Fire Stations (North West),Clothing
303052,270318K,WATERFRONT MANUFACTURING LTD,30305,2,173.00,UNIFORMS,03/04/18,,Fire Stations (North West),Clothing
303061,270318K,WATERFRONT MANUFACTURING LTD,30306,1,199.22,UNIFORMS,03/04/18,372.22,Fire Stations (North West),Clothing
303062,270318K,WATERFRONT MANUFACTURING LTD,30306,2,173.00,UNIFORMS,03/04/18,,Fire Stations (North West),Clothing
303521,280318G,WATERFRONT MANUFACTURING LTD,30352,1,600.00,UNIFORMS,03/04/18,"1,350.00",Fire Stations (Management),Clothing
303522,280318G,WATERFRONT MANUFACTURING LTD,30352,2,750.00,UNIFORMS,03/04/18,,Fire Stations (Management),Clothing
30711,280318G,B & A TEXTILES LTD,3071,1,"1,350.00",UNIFORMS - POMS,03/04/18,"1,794.00",Procurement,Clothing
30712,280318G,B & A TEXTILES LTD,3071,2,260.00,UNIFORMS - POMS,03/04/18,,Procurement,Clothing
30713,280318G,B & A TEXTILES LTD,3071,3,92.00,UNIFORMS - POMS,03/04/18,,Procurement,Clothing
30714,280318G,B & A TEXTILES LTD,3071,4,92.00,UNIFORMS - POMS,03/04/18,,Procurement,Clothing
32901,800112975,GRADIENT CONSULTANTS LLP,3290,1,450.00,PLANNED ASBESTOS,03/04/18,"4,500.00",Technical and Service Support,Works - Construction
32902,800112975,GRADIENT CONSULTANTS LLP,3290,2,450.00,PLANNED ASBESTOS,03/04/18,,Technical and Service Support,Works - Construction
32903,800112975,GRADIENT CONSULTANTS LLP,3290,3,450.00,PLANNED ASBESTOS,03/04/18,,Technical and Service Support,Works - Construction
32904,800112975,GRADIENT CONSULTANTS LLP,3290,4,450.00,PLANNED ASBESTOS,03/04/18,,Technical and Service Support,Works - Construction
32905,800112975,GRADIENT CONSULTANTS LLP,3290,5,450.00,PLANNED ASBESTOS,03/04/18,,Technical and Service Support,Works - Construction
