 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
260319K,GOVNET COMMUNICATIONS,0000151990,1,"1,185.00",PROFESSIONAL DEVELOPMENT,01/04/19,"1,185.00",CPO People Programme,Human Resources
130319K,TECHNICLEAN SUPPLY LTD,0000299922,1,"1,225.00",GENERAL CONSUMABLES,01/04/19,"1,225.00",Procurement,Emergency Services
800128368,APEX LIFT & ESCALATOR,100194,1,31.28,PLANNED LIFTS,01/04/19,561.03,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,2,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,3,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,4,67.31,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,5,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,6,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,7,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,8,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,9,43.42,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,10,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,11,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,12,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,13,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,14,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,15,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,16,21.71,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,17,93.36,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
800128368,APEX LIFT & ESCALATOR,100194,18,43.43,PLANNED LIFTS,01/04/19,,Technical and Service Support,Facilities & Management Services
060219K,LINCOLNSHIRE COUNTY COUNCIL,10073711,1,"27,461.45",FIRE AUTHORITIES,01/04/19,"27,461.45",CPO Delivery,Non Influenceable Spend
250319K,AFFINITY BUSINESS RETAIL LTD,101128838,1,500.00,CURRENT HYDRANT COSTS,01/04/19,500.00,Procurement,Works - Construction
250319K,AFFINITY BUSINESS RETAIL LTD,101129156,1,340.00,CURRENT HYDRANT COSTS,01/04/19,340.00,Procurement,Works - Construction
270319K,AFFINITY BUSINESS RETAIL LTD,101131513,1,311.00,CURRENT HYDRANT COSTS,01/04/19,311.00,Procurement,Works - Construction
800128535,KIER BUILDING SERV ENGINEERS,10147814,1,"1,109.34",REACTIVE BUILDING FABRIC,01/04/19,"1,501.55",Technical and Service Support,Works - Construction
800128535,KIER BUILDING SERV ENGINEERS,10147814,2,392.21,REACTIVE BUILDING FABRIC,01/04/19,,Technical and Service Support,Works - Construction
800128536,KIER BUILDING SERV ENGINEERS,10150601,1,996.60,REACTIVE MEP,01/04/19,996.60,Technical and Service Support,Works - Construction
800128723,AZTEC COMPUTING LTD,10653,1,"1,550.00",SOFTWARE BESPOKE,01/04/19,"1,550.00",Information and Communication Technology,ICT
800128724,AZTEC COMPUTING LTD,10654,1,"1,200.00",SOFTWARE BESPOKE,01/04/19,"2,775.00",People Services,ICT
800128724,AZTEC COMPUTING LTD,10654,2,"1,575.00",SOFTWARE BESPOKE,01/04/19,,Information and Communication Technology,ICT
800128725,AZTEC COMPUTING LTD,10655,1,"1,550.00",SOFTWARE BESPOKE,01/04/19,"1,550.00",Information and Communication Technology,ICT
800128726,AZTEC COMPUTING LTD,10656,1,"1,162.50",SOFTWARE BESPOKE,01/04/19,"1,162.50",People Services,ICT
800128727,AZTEC COMPUTING LTD,10657,1,"1,162.50",SOFTWARE BESPOKE,01/04/19,"1,162.50",People Services,ICT
800128728,AZTEC COMPUTING LTD,10658,1,"5,812.50",SOFTWARE BESPOKE,01/04/19,"5,812.50",Information and Communication Technology,ICT
800128729,AZTEC COMPUTING LTD,10659,1,975.00,SOFTWARE BESPOKE,01/04/19,"2,887.50",People Services,ICT
800128729,AZTEC COMPUTING LTD,10659,2,"1,912.50",SOFTWARE BESPOKE,01/04/19,,Information and Communication Technology,ICT
800128730,AZTEC COMPUTING LTD,10660,1,"3,778.13",SOFTWARE BESPOKE,01/04/19,"5,231.26",People Services,ICT
800128730,AZTEC COMPUTING LTD,10660,2,"1,453.13",SOFTWARE BESPOKE,01/04/19,,Information and Communication Technology,ICT
800127427,HAYS SPECIALIST RECRUITMENT,1069060,1,624.10,FRS STAFF AGENCY,01/04/19,624.10,Management Support,Human Resources
800127431,HAYS SPECIALIST RECRUITMENT,1069061,1,506.52,FRS STAFF AGENCY,01/04/19,506.52,Management Support,Human Resources
800127437,HAYS SPECIALIST RECRUITMENT,1069062,1,389.62,FRS STAFF AGENCY,01/04/19,389.62,People Services,Human Resources
800127391,HAYS SPECIALIST RECRUITMENT,1069063,1,780.54,FRS STAFF AGENCY,01/04/19,780.54,Operational Resilience,Human Resources
800127375,HAYS SPECIALIST RECRUITMENT,1069064,1,"1,135.40",FRS STAFF AGENCY,01/04/19,"1,135.40",General Counsel,Human Resources
800127397,HAYS SPECIALIST RECRUITMENT,1069065,1,633.15,FRS STAFF AGENCY,01/04/19,633.15,Management Support,Human Resources
