 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
260718K,HUNTER APPAREL SOLUTIONS LTD,069136,1,491.40,UNIFORMS - POMS,02/08/18,"1,670.76",Procurement,Clothing
260718K,HUNTER APPAREL SOLUTIONS LTD,069136,2,393.12,UNIFORMS - POMS,02/08/18,,Procurement,Clothing
260718K,HUNTER APPAREL SOLUTIONS LTD,069136,3,98.28,UNIFORMS - POMS,02/08/18,,Procurement,Clothing
260718K,HUNTER APPAREL SOLUTIONS LTD,069136,4,196.56,UNIFORMS - POMS,02/08/18,,Procurement,Clothing
260718K,HUNTER APPAREL SOLUTIONS LTD,069136,5,491.40,UNIFORMS - POMS,02/08/18,,Procurement,Clothing
260718K,ASSOCIATION FOR SPECIALIST,104511,1,"1,600.00",SUBSCRIPTIONS,02/08/18,"1,600.00",Management Support,Financial Services
300718K,FIREANGEL SAFETY TECHNOLOGY LD,1119153,1,525.00,FIRE DETECTORS,02/08/18,525.00,Fire Stations (South West),Health and Safety
230718K,FIREANGEL SAFETY TECHNOLOGY LD,1119882,1,"1,800.00",FIRE DETECTORS,02/08/18,"2,700.00",Fire Stations (South West),Health and Safety
230718K,FIREANGEL SAFETY TECHNOLOGY LD,1119882,2,900.00,FIRE DETECTORS,02/08/18,,Fire Stations (South West),Health and Safety
270718F,TLT SOLICITORS,1144426,1,"3,397.80",CONSULTANTS,02/08/18,"3,397.80",People Services,Consultancy
270718F,KORN FERRY HAY GROUP,1195027826,1,450.00,CONSULTANTS,02/08/18,450.00,People Services,Consultancy
142357,CASTLE WATER LIMITED,1267298,1,271.64,WATER & SEWERAGE RATES,02/08/18,271.64,Technical and Service Support,Utilities
142357,CASTLE WATER LIMITED,1267524,1,255.60,WATER & SEWERAGE RATES,02/08/18,255.60,Technical and Service Support,Utilities
142353,CASTLE WATER LIMITED,1269192,1,325.81,WATER & SEWERAGE RATES,02/08/18,325.81,Technical and Service Support,Utilities
142357,CASTLE WATER LIMITED,1269718,1,441.78,WATER & SEWERAGE RATES,02/08/18,441.78,Technical and Service Support,Utilities
142357,AFFINITY FOR BUSINESS LTD,13273831G,1,301.06,WATER & SEWERAGE RATES,02/08/18,301.06,Technical and Service Support,Utilities
300718V,BT GLOBAL SERVICES,173357,1,"23,204.00",TELECOMMUNICATIONS,02/08/18,"26,672.00",Information and Communication Technology,ICT
300718V,BT GLOBAL SERVICES,173357,2,"3,468.00",TELECOMMUNICATIONS,02/08/18,,Information and Communication Technology,ICT
300718V,BT GLOBAL SERVICES,173468,1,"6,354.00",TELECOMMUNICATIONS,02/08/18,"14,933.14",Information and Communication Technology,ICT
300718V,BT GLOBAL SERVICES,173468,2,"8,579.14",TELECOMMUNICATIONS,02/08/18,,Information and Communication Technology,ICT
180718V,EUROWINDOWS LIMITED,18566,1,"33,499.96",DEVELOPMENT  EXPENSES-CONTRACT,02/08/18,"33,499.96",Technical and Service Support,"Works - Construction, R&M"
300718K,LIZ NAPIER SOLUTIONS LIMITED,200718,1,712.50,GENERAL,02/08/18,712.50,Central Finance,Consultancy
250718K,COTSWOLD OUTDOOR LTD,2018062914354,1,426.67,OPERATIONAL EQUIP-PURCHASE,02/08/18,426.67,Operational Policy,Fire & Rescue
270718F,EDWIN COE LLP,2019-2510,1,400.00,CONSULTANTS,02/08/18,400.00,People Services,Consultancy
270718F,EDWIN COE LLP,2019-2511,1,400.00,CONSULTANTS,02/08/18,400.00,People Services,Consultancy
270718F,REAM CONTRACTS LTD,22547,1,"7,518.00",REACTIVE SMALL WORKS AND PROJ,02/08/18,"43,443.69",Technical and Service Support,Works - Construction
270718F,REAM CONTRACTS LTD,22547,2,"13,431.69",REACTIVE SMALL WORKS AND PROJ,02/08/18,,Technical and Service Support,Works - Construction
270718F,REAM CONTRACTS LTD,22547,3,"14,976.00",REACTIVE SMALL WORKS AND PROJ,02/08/18,,Technical and Service Support,Works - Construction
270718F,REAM CONTRACTS LTD,22547,4,"7,518.00",REACTIVE SMALL WORKS AND PROJ,02/08/18,,Technical and Service Support,Works - Construction
200718K,REAM CONTRACTS LTD,22553,1,810.00,REACTIVE SMALL WORKS AND PROJ,02/08/18,810.00,Technical and Service Support,Works - Construction
200718K,REAM CONTRACTS LTD,22554,1,540.00,REACTIVE SMALL WORKS AND PROJ,02/08/18,540.00,Technical and Service Support,Works - Construction
200718V,REAM CONTRACTS LTD,22555,1,"6,348.07",REACTIVE SMALL WORKS AND PROJ,02/08/18,"6,348.07",Technical and Service Support,Works - Construction
800116658,SERVEST PEST PATROL,23800,1,180.00,REACTIVE PEST CONTROL,02/08/18,640.00,Technical and Service Support,Environmental Services
800116658,SERVEST PEST PATROL,23800,2,280.00,REACTIVE PEST CONTROL,02/08/18,,Technical and Service Support,Environmental Services
800116658,SERVEST PEST PATROL,23800,3,180.00,REACTIVE PEST CONTROL,02/08/18,,Technical and Service Support,Environmental Services
800116653,SERVEST PEST PATROL,23827,1,38.00,PLANNED PEST CONTROL,02/08/18,"2,046.80",Technical and Service Support,Environmental Services
800116653,SERVEST PEST PATROL,23827,2,38.00,PLANNED PEST CONTROL,02/08/18,,Technical and Service Support,Environmental Services
800116653,SERVEST PEST PATROL,23827,3,50.54,PLANNED PEST CONTROL,02/08/18,,Technical and Service Support,Environmental Services
800116653,SERVEST PEST PATROL,23827,4,38.00,PLANNED PEST CONTROL,02/08/18,,Technical and Service Support,Environmental Services
