 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass,
300119V,GARRAN LOCKERS LTD,0000029205,1,"6,910.26",OFFICE FURNITURE,04/02/19,"6,910.26",Fire Stations (North West),Furniture & Soft Furnishings,
142548,CASTLE WATER LIMITED,01614722,1,361.00,WATER & SEWERAGE RATES,04/02/19,361.00,Technical and Service Support,Utilities,
800125508,KIER BUILDING SERV ENGINEERS,10135321,1,134.33,REACTIVE BUILDING FABRIC,04/02/19,"5,909.97",Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,2,53.73,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,3,53.73,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,4,125.37,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,5,186.24,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,6,17.91,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,7,44.78,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,8,71.64,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,9,71.64,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,10,35.82,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,11,35.82,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,12,26.87,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,13,102.50,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,14,139.64,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,15,89.54,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,16,205.96,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,17,53.73,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,18,861.04,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,19,128.70,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,20,46.57,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,21,"2,619.26",REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,22,23.28,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,23,107.46,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,24,143.27,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,25,53.73,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,26,35.82,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,27,71.64,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,28,35.82,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,29,17.91,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,30,17.91,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,31,72.64,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,32,46.57,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,33,35.82,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125508,KIER BUILDING SERV ENGINEERS,10135321,34,143.28,REACTIVE BUILDING FABRIC,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,1,35.82,REACTIVE MEP,04/02/19,"11,849.27",Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,2,279.37,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,3,"2,991.84",REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,4,8.99,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,5,62.69,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,6,205.96,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,7,143.28,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,8,53.73,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,9,170.15,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,10,62.67,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,11,80.60,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,12,217.42,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,13,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,14,107.46,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,15,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,16,26.87,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,17,53.73,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,18,26.87,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,19,44.78,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,20,465.72,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,21,195.37,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,22,465.64,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
