Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
0000112539,171218K,ADVANCED FURNITURE,0000112539,1,606.68,OFFICE FURNITURE,07/01/19,606.68,Fire Stations (North East),Furniture & Soft Furnishings
00013452,020119K,MOOLANDS LTD,00013452,1,"4,942.00",REACTIVE BUILDING FABRIC,07/01/19,"4,942.00",Technical and Service Support,Works - Construction
00013453,020119K,MOOLANDS LTD,00013453,1,255.00,REACTIVE BUILDING FABRIC,07/01/19,255.00,Technical and Service Support,Works - Construction
01560868,142499,CASTLE WATER LIMITED,01560868,1,321.01,WATER & SEWERAGE RATES,07/01/19,321.01,Technical and Service Support,Utilities
01577894,142512,CASTLE WATER LIMITED,01577894,1,468.47,WATER & SEWERAGE RATES,07/01/19,468.47,Technical and Service Support,Utilities
023954,141218K,LE MAITRE LTD,023954,1,625.00,PROTECTIVE EQUIPT - PARTS,07/01/19,625.00,Technical and Service Support,Emergency Services
101126407,201218G,AFFINITY BUSINESS RETAIL LTD,101126407,1,305.00,CURRENT HYDRANT COSTS,07/01/19,305.00,Procurement,Works - Construction
101126408,201218G,AFFINITY BUSINESS RETAIL LTD,101126408,1,305.00,CURRENT HYDRANT COSTS,07/01/19,305.00,Procurement,Works - Construction
101126409,201218G,AFFINITY BUSINESS RETAIL LTD,101126409,1,305.00,CURRENT HYDRANT COSTS,07/01/19,305.00,Procurement,Works - Construction
101126410,201218G,AFFINITY BUSINESS RETAIL LTD,101126410,1,305.00,CURRENT HYDRANT COSTS,07/01/19,305.00,Procurement,Works - Construction
101126411,201218G,AFFINITY BUSINESS RETAIL LTD,101126411,1,305.00,CURRENT HYDRANT COSTS,07/01/19,305.00,Procurement,Works - Construction
101126413,201218G,AFFINITY BUSINESS RETAIL LTD,101126413,1,305.00,CURRENT HYDRANT COSTS,07/01/19,305.00,Procurement,Works - Construction
101126414,201218G,AFFINITY BUSINESS RETAIL LTD,101126414,1,305.00,CURRENT HYDRANT COSTS,07/01/19,305.00,Procurement,Works - Construction
101126415,201218G,AFFINITY BUSINESS RETAIL LTD,101126415,1,305.00,CURRENT HYDRANT COSTS,07/01/19,305.00,Procurement,Works - Construction
101126416,201218G,AFFINITY BUSINESS RETAIL LTD,101126416,1,541.00,CURRENT HYDRANT COSTS,07/01/19,541.00,Procurement,Works - Construction
101126448,201218G,AFFINITY BUSINESS RETAIL LTD,101126448,1,311.00,CURRENT HYDRANT COSTS,07/01/19,311.00,Procurement,Works - Construction
101126449,201218G,AFFINITY BUSINESS RETAIL LTD,101126449,1,541.00,CURRENT HYDRANT COSTS,07/01/19,541.00,Procurement,Works - Construction
101126631,201218G,AFFINITY BUSINESS RETAIL LTD,101126631,1,576.00,CURRENT HYDRANT COSTS,07/01/19,576.00,Procurement,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,1,268.63,REACTIVE MEP,07/01/19,"8,765.27",Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,2,17.91,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,3,252.40,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,4,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,5,197.01,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,6,135.81,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,7,17.91,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,8,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,9,17.91,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,10,62.68,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,11,309.92,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,12,80.60,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,13,53.74,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,14,26.88,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,15,53.73,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,16,65.88,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,17,68.65,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
