 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,proclass
800134063,APEX LIFT & ESCALATOR,0000100354,1,43.43,PLANNED LIFTS,01/07/19,907.13,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,2,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,3,31.28,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,4,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,5,67.31,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,6,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,7,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,8,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,9,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,10,43.42,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,11,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,12,67.31,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,13,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,14,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,15,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,16,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,17,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,18,235.36,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,19,21.71,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,20,93.36,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134063,APEX LIFT & ESCALATOR,0000100354,21,43.43,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134064,APEX LIFT & ESCALATOR,0000100355,1,50.00,PLANNED LIFTS,01/07/19,"1,988.93",Technical and Service Support,Facilities & Management Services
800134064,APEX LIFT & ESCALATOR,0000100355,2,49.99,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134064,APEX LIFT & ESCALATOR,0000100355,3,50.00,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
800134064,APEX LIFT & ESCALATOR,0000100355,4,50.00,PLANNED LIFTS,01/07/19,,Technical and Service Support,Facilities & Management Services
