 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
142269,EDF ENERGY,00004224474,1,132.75,ELECTRICITY,01/06/18,"2,655.05",Technical and Service Support,Utilities
142269,EDF ENERGY,00004224474,2,"2,522.30",ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142269,EDF ENERGY,00004225147,1,"5,697.21",ELECTRICITY,01/06/18,"5,697.21",Technical and Service Support,Utilities
142269,EDF ENERGY,00004253417,1,"7,565.10",ELECTRICITY,01/06/18,"7,565.10",Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,1,414.19,ELECTRICITY,01/06/18,"6,405.77",Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,2,313.42,ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,3,53.97,ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,4,806.76,ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,5,768.35,ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,6,699.20,ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,7,897.28,ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,8,"1,189.42",ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,9,430.00,ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,10,428.83,ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,11,235.23,ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
142265,EDF ENERGY,00004253437,12,169.12,ELECTRICITY,01/06/18,,Technical and Service Support,Utilities
240518K,CHANGING YOUNG MINDS,0376,1,275.00,GENERAL,01/06/18,275.00,Community Safety,Consultancy
240518K,HUNTER APPAREL SOLUTIONS LTD,068842,1,"1,009.80",UNIFORMS - POMS,01/06/18,"1,953.90",Procurement,Clothing
240518K,HUNTER APPAREL SOLUTIONS LTD,068842,2,839.20,UNIFORMS - POMS,01/06/18,,Procurement,Clothing
240518K,HUNTER APPAREL SOLUTIONS LTD,068842,3,104.90,UNIFORMS - POMS,01/06/18,,Procurement,Clothing
