Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
007162,260219V,ORC INTERNATIONAL,007162,1,"9,000.00",GENERAL,04/03/19,"9,000.00",Strategy & Risk,Consultancy
01/19,270219K,LAWRIE J.G CONSULTING,01/19,1,"1,650.96",CONSULTANTS,04/03/19,"1,650.96",Operational Resilience,Consultancy
0434,270219K,BRIGLY FIRE LTD,0434,1,950.00,CONSULTANTS,04/03/19,950.00,Fire Engineering & Specialist Fire Safety,Consultancy
105685,270219K,ORBISON PRODUCTS LTD,105685,1,"4,825.00",PURCHASE,04/03/19,"4,825.00",Information and Communication Technology,Furniture & Soft Furnishings
11053819,270219K,ROYAL COLLEGE OF MUSIC========,11053819,1,420.00,PUBLIC RELATIONS,04/03/19,420.00,Communications,Facilities & Management Services
1125489,270219K,FIREANGEL SAFETY TECHNOLOGY LD,1125489,1,"1,470.00",FIRE DETECTORS,04/03/19,"1,470.00",Fire Stations (South East),Health and Safety
160609,270219K,VERSEIDAG-SEEMEE UK LTD,160609,1,799.50,OPERATIONAL EQUIP-PURCHASE,04/03/19,982.50,Technical and Service Support,Fire & Rescue
160609,270219K,VERSEIDAG-SEEMEE UK LTD,160609,2,183.00,OPERATIONAL EQUIP-PURCHASE,04/03/19,,Technical and Service Support,Fire & Rescue
166914,270219K,UK TAPES LTD,166914,1,411.84,GENERAL CONSUMABLES,04/03/19,411.84,Procurement,Emergency Services
170115538029,260219G,LONDON BOROUGH OF REDBRIDGE,170115538029,1,"1,000.00",GENERAL,04/03/19,"1,000.00",Community Safety,Consultancy
178862,270219V,CMT,178862,1,"5,830.00",OPERATIONAL EQUIP-PURCHASE,04/03/19,"5,884.00",Technical and Service Support,Fire & Rescue
178862,270219V,CMT,178862,2,54.00,OPERATIONAL EQUIP-PURCHASE,04/03/19,,Technical and Service Support,Fire & Rescue
1800047934,800126547,ENGIE,1800047934,1,170.04,REACTIVE BUILDING FABRIC,04/03/19,563.33,Technical and Service Support,Works - Construction
1800047934,800126547,ENGIE,1800047934,2,393.29,REACTIVE BUILDING FABRIC,04/03/19,,Technical and Service Support,Works - Construction
1812024,270219K,TORQUE CALIBRATION LTD,1812024,1,296.00,REPAIR & MAINTENANCE,04/03/19,478.50,Technical and Service Support,Furniture & Soft Furnishings
1812024,270219K,TORQUE CALIBRATION LTD,1812024,2,167.50,REPAIR & MAINTENANCE,04/03/19,,Technical and Service Support,Furniture & Soft Furnishings
1812024,270219K,TORQUE CALIBRATION LTD,1812024,3,15.00,REPAIR & MAINTENANCE,04/03/19,,Technical and Service Support,Furniture & Soft Furnishings
20078441,260219G,KINGSTON UNIVERSITY,20078441,1,"3,520.00",CULTURAL CHANGE & TALENT,04/03/19,"3,520.00",Training and Professional Development,Human Resources
2493,150219K,CRISPIN HUGHES,2493,1,360.00,FILM & VIDEO,04/03/19,360.00,Communications,Facilities & Management Services
28,270219K,ACE VEHICLE SERVICES LIMITED,28,1,320.00,OPERATIONAL EQUIP-PURCHASE,04/03/19,320.00,Fire Stations (South East),Fire & Rescue
2910156146,150219K,DRAEGER SAFETY UK LIMITED,2910156146,1,710.30,TELEMETRY MAINTENANCE,04/03/19,"1,813.69",Technical and Service Support,Fire & Rescue
2910156146,150219K,DRAEGER SAFETY UK LIMITED,2910156146,2,560.21,TELEMETRY MAINTENANCE,04/03/19,,Technical and Service Support,Fire & Rescue
2910156146,150219K,DRAEGER SAFETY UK LIMITED,2910156146,3,264.09,TELEMETRY MAINTENANCE,04/03/19,,Technical and Service Support,Fire & Rescue
2910156146,150219K,DRAEGER SAFETY UK LIMITED,2910156146,4,264.09,TELEMETRY MAINTENANCE,04/03/19,,Technical and Service Support,Fire & Rescue
2910156146,150219K,DRAEGER SAFETY UK LIMITED,2910156146,5,15.00,TELEMETRY MAINTENANCE,04/03/19,,Technical and Service Support,Fire & Rescue
2910156202,150219K,DRAEGER SAFETY UK LIMITED,2910156202,1,206.00,PROTECTIVE EQUIPT - PARTS,04/03/19,624.70,Technical and Service Support,Emergency Services
2910156202,150219K,DRAEGER SAFETY UK LIMITED,2910156202,2,124.50,PROTECTIVE EQUIPT - PARTS,04/03/19,,Technical and Service Support,Emergency Services
2910156202,150219K,DRAEGER SAFETY UK LIMITED,2910156202,3,294.20,PROTECTIVE EQUIPT - PARTS,04/03/19,,Technical and Service Support,Emergency Services
31747,270219K,WATERFRONT MANUFACTURING LTD,31747,1,220.59,UNIFORMS,04/03/19,405.20,Fire Stations (South West),Clothing
31747,270219K,WATERFRONT MANUFACTURING LTD,31747,2,184.61,UNIFORMS,04/03/19,,Fire Stations (South West),Clothing
31749,270219K,WATERFRONT MANUFACTURING LTD,31749,1,184.61,UNIFORMS,04/03/19,394.20,Fire Stations (North West),Clothing
31749,270219K,WATERFRONT MANUFACTURING LTD,31749,2,209.59,UNIFORMS,04/03/19,,Fire Stations (North West),Clothing
31750,270219K,WATERFRONT MANUFACTURING LTD,31750,1,184.61,UNIFORMS,04/03/19,394.20,Fire Stations (North West),Clothing
31750,270219K,WATERFRONT MANUFACTURING LTD,31750,2,209.59,UNIFORMS,04/03/19,,Fire Stations (North West),Clothing
31753,270219K,WATERFRONT MANUFACTURING LTD,31753,1,209.59,UNIFORMS,04/03/19,394.20,Fire Stations (South West),Clothing
31753,270219K,WATERFRONT MANUFACTURING LTD,31753,2,184.61,UNIFORMS,04/03/19,,Fire Stations (South West),Clothing
31756,260219G,WATERFRONT MANUFACTURING LTD,31756,1,220.59,UNIFORMS,04/03/19,405.20,Fire Stations (South East),Clothing
31756,260219G,WATERFRONT MANUFACTURING LTD,31756,2,184.61,UNIFORMS,04/03/19,,Fire Stations (South East),Clothing
31757,270219K,WATERFRONT MANUFACTURING LTD,31757,1,209.59,UNIFORMS,04/03/19,394.20,Fire Stations (North West),Clothing
31757,270219K,WATERFRONT MANUFACTURING LTD,31757,2,184.61,UNIFORMS,04/03/19,,Fire Stations (North West),Clothing
31758,260219G,WATERFRONT MANUFACTURING LTD,31758,1,209.59,UNIFORMS,04/03/19,394.20,Fire Stations (South East),Clothing
31758,260219G,WATERFRONT MANUFACTURING LTD,31758,2,184.61,UNIFORMS,04/03/19,,Fire Stations (South East),Clothing
31759,270219K,WATERFRONT MANUFACTURING LTD,31759,1,209.59,UNIFORMS,04/03/19,394.20,Fire Stations (South West),Clothing
31759,270219K,WATERFRONT MANUFACTURING LTD,31759,2,184.61,UNIFORMS,04/03/19,,Fire Stations (South West),Clothing
31761,270219K,WATERFRONT MANUFACTURING LTD,31761,1,209.59,UNIFORMS,04/03/19,394.20,Fire Stations (South West),Clothing
31761,270219K,WATERFRONT MANUFACTURING LTD,31761,2,184.61,UNIFORMS,04/03/19,,Fire Stations (South West),Clothing
31780,260219G,WATERFRONT MANUFACTURING LTD,31780,1,785.00,UNIFORMS,04/03/19,"1,410.00",Fire Stations (Management),Clothing
