 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
270418K,GARRAN LOCKERS LTD,23585,1,493.59,OFFICE FURNITURE,03/05/2018,624.96,Fire Stations (North West),Furniture & Soft Furnishings
270418K,GARRAN LOCKERS LTD,23585,2,131.37,OFFICE FURNITURE,03/05/2018,,Fire Stations (North West),Furniture & Soft Furnishings
260418K,Q ASSOCIATES LTD,44886,1,"1,260.00",ACQUISITIONS,03/05/2018,"1,280.00",Information and Communication Technology,ICT
260418K,Q ASSOCIATES LTD,44886,2,20,ADDITIONAL PURCHASE COSTS,03/05/2018,,Information and Communication Technology,Facilities & Management Services
142237,CASTLE WATER LIMITED,1085118,1,369,WATER & SEWERAGE RATES,03/05/2018,369,Technical and Service Support,Utilities
142237,CASTLE WATER LIMITED,1090404,1,"1,050.74",WATER & SEWERAGE RATES,03/05/2018,"1,050.74",Technical and Service Support,Utilities
142237,CASTLE WATER LIMITED,1091714,1,"1,382.13",WATER & SEWERAGE RATES,03/05/2018,"1,382.13",Technical and Service Support,Utilities
300418K,AFFINITY BUSINESS RETAIL LTD,101113046,1,530,CURRENT HYDRANT COSTS,03/05/2018,530,Procurement,Works - Construction
142239,MISS AMY STREET,105487*,1,"11,913.25",LEGAL PROFESSIONAL FEES-GENERL,03/05/2018,"11,913.25",Grenfell Investigation Legal Costs,Legal Services
142239,MR JOHN BEGGS,105487A,1,"3,875.00",LEGAL PROFESSIONAL FEES-GENERL,03/05/2018,"3,875.00",Grenfell Investigation Legal Costs,Legal Services
260418K,PRENAX (UK),10770274,1,"1,805.08",BOOKS & JOURNALS,03/05/2018,"1,805.08",Information and Communication Technology,Facilities & Management Services
300418G,MERLIN ELECTRICAL SERVICES LTD,10826,1,337.04,REACTIVE SMALL WORKS AND PROJ,03/05/2018,337.04,Technical and Service Support,Works - Construction
260418K,SPRUE SAFETY PRODUCTS LTD,1115890,1,300,FIRE DETECTORS,03/05/2018,900,Fire Stations (South East),Health and Safety
260418K,SPRUE SAFETY PRODUCTS LTD,1115890,2,300,FIRE DETECTORS,03/05/2018,,Fire Stations (South East),Health and Safety
260418K,SPRUE SAFETY PRODUCTS LTD,1115890,3,300,FIRE DETECTORS,03/05/2018,,Fire Stations (South East),Health and Safety
260418K,SPRUE SAFETY PRODUCTS LTD,1116236,1,735,FIRE DETECTORS,03/05/2018,735,Fire Stations (North East),Health and Safety
300418G,SPRUE SAFETY PRODUCTS LTD,1116964,1,840,FIRE DETECTORS,03/05/2018,840,Fire Stations (South East),Health and Safety
300418G,SPRUE SAFETY PRODUCTS LTD,1116968,1,"1,470.00",FIRE DETECTORS,03/05/2018,"1,470.00",Fire Stations (South East),Health and Safety
300418G,SPRUE SAFETY PRODUCTS LTD,1116997,1,840,FIRE DETECTORS,03/05/2018,840,Fire Stations (South East),Health and Safety
170418K,SPRUE SAFETY PRODUCTS LTD,1117319,1,525,FIRE DETECTORS,03/05/2018,525,Community Safety,Health and Safety
170418K,SPRUE SAFETY PRODUCTS LTD,1117323,1,735,FIRE DETECTORS,03/05/2018,735,Fire Stations (North East),Health and Safety
270418K,BT GLOBAL SERVICES,1137091,1,541.66,TELECOMMUNICATIONS,03/05/2018,541.66,Information and Communication Technology,ICT
300418K,INFOR (UNITED KINGDOM) LIMITED,11805503-GB04G,1,"2,210.00",SOFTWARE BESPOKE,03/05/2018,"2,210.00",Information and Communication Technology,ICT
300418K,INFOR (UNITED KINGDOM) LIMITED,11806088-GB04G,1,340,SOFTWARE BESPOKE,03/05/2018,522.79,Information and Communication Technology,ICT
300418K,INFOR (UNITED KINGDOM) LIMITED,11806088-GB04G,2,34.48,SOFTWARE BESPOKE,03/05/2018,,Information and Communication Technology,ICT
300418K,INFOR (UNITED KINGDOM) LIMITED,11806088-GB04G,3,148.31,SOFTWARE BESPOKE,03/05/2018,,Information and Communication Technology,ICT
250418G,INFOR (UNITED KINGDOM) LIMITED,11808024-GB04G,1,"5,100.00",SOFTWARE BESPOKE,03/05/2018,"5,100.00",Information and Communication Technology,ICT
180418K,CK DIRECT,11852,1,"2,506.88",PLANNED MEP,03/05/2018,"2,506.88",Technical and Service Support,Works - Construction
240418K,A.R.C.S. ENVIRONMENTAL LTD,12174,1,"1,120.00",DEVELOPMENT  EXPENSES-CONTRACT,03/05/2018,"1,120.00",Technical and Service Support, 
170418K,A.R.C.S. ENVIRONMENTAL LTD,12175,1,650,REACTIVE ASBESTOS,03/05/2018,650,Technical and Service Support,Works - Construction
800113720,ENVIRONTEC LIMITED,124710,1,600,PLANNED ASBESTOS,03/05/2018,600,Technical and Service Support,Works - Construction
260418K,NISBETS,16521144,1,14.2,CATERING EQUIPMENT,03/05/2018,458.72,Fire Stations (South West),Catering
260418K,NISBETS,16521144,2,24.65,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,3,40.3,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,4,29.72,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,5,159.99,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,6,6.46,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,7,3.98,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,8,25.48,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,9,10.48,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,10,23.15,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,11,19.2,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,12,8.64,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,13,49.43,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,14,8.97,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,15,11.51,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
260418K,NISBETS,16521144,16,22.56,CATERING EQUIPMENT,03/05/2018,,Fire Stations (South West),Catering
180418K,ATKINS LIMITED,18014600,1,"32,143.75",SOFTWARE COTS,03/05/2018,"32,143.75",Information and Communication Technology,ICT
