Invoice Number, Batch Number,Vendor Name, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
0000018394,261018K,PROMETHEUS MEDICAL LIMITED,1,679.50,GENERAL CONSUMABLES,11/1/18,679.50,Procurement,Emergency Services
00012165,291018K,MOOLANDS LTD,1,"2,002.99",REACTIVE MEP,11/1/18,"2,002.99",Technical and Service Support,Works - Construction
00012478,291018K,MOOLANDS LTD,1,"2,550.00",REACTIVE SMALL WORKS AND PROJ,11/1/18,"2,550.00",Technical and Service Support,Works - Construction
00012738,251018K,MOOLANDS LTD,1,"4,778.87",REACTIVE BUILDING FABRIC,11/1/18,"4,778.87",Technical and Service Support,Works - Construction
00012739,251018K,MOOLANDS LTD,1,700.00,REACTIVE SMALL WORKS AND PROJ,11/1/18,700.00,Technical and Service Support,Works - Construction
070918,261018K,PRINCIPEA CONSULTING,1,"1,227.00",GENERAL,11/1/18,"1,227.00",Central Finance,Consultancy
10115296,800121610,KIER BUILDING SERV ENGINEERS,1,53.73,REACTIVE MEP,11/1/18,"4,406.38",Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,2,43.70,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,3,90.98,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,4,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,5,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,6,35.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,7,35.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,8,136.78,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,9,9.28,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,10,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,11,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,12,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,13,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,14,2.97,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,15,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,16,29.73,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,17,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,18,6.65,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,19,27.46,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,20,38.79,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,21,71.64,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,22,40.12,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,23,20.88,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,24,89.55,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,25,89.55,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,26,75.94,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,27,22.09,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,28,42.98,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,29,38.03,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,30,56.70,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,31,216.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,32,42.98,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,33,35.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,34,53.73,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,35,188.07,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,36,35.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,37,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,38,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,39,35.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,40,200.22,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,41,26.27,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,42,35.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,43,35.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,44,89.55,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,45,53.73,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,46,35.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,47,53.73,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,48,26.87,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,49,33.27,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,50,937.53,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,51,132.34,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,52,62.69,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,53,71.64,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,54,49.46,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,55,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
