 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
902992,INFICON GMBH,71137221,1,810.98,OPERATIONAL EQUIP-PURCHASE,01/11/2019,"1,852.12",Operational Resilience,Fire & Rescue
902992,INFICON GMBH,71137221,2,"1,041.14",OPERATIONAL EQUIP-PURCHASE,01/11/2019,,Operational Resilience,Fire & Rescue
291019K,STENNIK ADVERTISING LIMITED,20530,1,550,PROFESSIONAL DEVELOPMENT,04/11/2019,550,Training and Professional Development,Human Resources
800139684,COMPASS GROUP LTD,1004099241-1,1,"1,482.76",CATERING EQUIP SL,04/11/2019,"1,482.76",Technical and Service Support,Catering
800139681,COMPASS GROUP LTD,1004099241-3,1,"1,108.33",CATERING,04/11/2019,"1,108.33",Technical and Service Support,Catering
800139683,COMPASS GROUP LTD,1004099241-4,1,587.02,CATERING EQUIP SL,04/11/2019,587.02,Technical and Service Support,Catering
142869,PA CONSULTING SERVICES LTD,10131342,1,"30,607.50",SOFTWARE COTS,04/11/2019,"30,607.50",Grenfell Investigation Legal Costs,ICT
181019G,W E HEWITT,1019,1,480,REACTIVE MEP,04/11/2019,"2,880.00",Technical and Service Support,Works - Construction
181019G,W E HEWITT,1019,2,480,REACTIVE MEP,04/11/2019,,Technical and Service Support,Works - Construction
181019G,W E HEWITT,1019,3,480,REACTIVE MEP,04/11/2019,,Technical and Service Support,Works - Construction
181019G,W E HEWITT,1019,4,480,REACTIVE MEP,04/11/2019,,Technical and Service Support,Works - Construction
181019G,W E HEWITT,1019,5,480,REACTIVE MEP,04/11/2019,,Technical and Service Support,Works - Construction
181019G,W E HEWITT,1019,6,480,REACTIVE MEP,04/11/2019,,Technical and Service Support,Works - Construction
291019V,10ZiG Technology Limited,10295,1,"51,633.93",MAINTENANCE & SUPPORT,04/11/2019,"51,633.93",Enterprise Application Group (ICT),ICT
142873,UK INSURANCE LIMITED,10448,1,795.73,CLAIMANT COSTS AGREED,04/11/2019,795.73,Compensation Budgets,Legal Services
