 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
260919K,NORTHERN DIVER (INTERNATIONAL),203814,1,7.5,OPERATIONAL EQUIP-PURCHASE,03/10/2019,427.5,Technical and Service Support,Fire & Rescue
260919K,NORTHERN DIVER (INTERNATIONAL),203814,2,40,OPERATIONAL EQUIP-PURCHASE,03/10/2019,,Technical and Service Support,Fire & Rescue
260919K,NORTHERN DIVER (INTERNATIONAL),203814,3,145,OPERATIONAL EQUIP-PURCHASE,03/10/2019,,Technical and Service Support,Fire & Rescue
260919K,NORTHERN DIVER (INTERNATIONAL),203814,4,60,OPERATIONAL EQUIP-PURCHASE,03/10/2019,,Technical and Service Support,Fire & Rescue
260919K,NORTHERN DIVER (INTERNATIONAL),203814,5,55,OPERATIONAL EQUIP-PURCHASE,03/10/2019,,Technical and Service Support,Fire & Rescue
260919K,NORTHERN DIVER (INTERNATIONAL),203814,6,120,OPERATIONAL EQUIP-PURCHASE,03/10/2019,,Technical and Service Support,Fire & Rescue
142833,EDF ENERGY,6451992,1,559.39,ELECTRICITY,03/10/2019,"39,563.93",Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,2,262.87,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,3,904.38,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,4,424.7,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,5,343.12,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,6,490.31,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,7,355.93,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,8,315.76,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,9,656.45,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,10,46.51,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,11,45.91,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,12,50.71,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,13,59.57,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,14,37.06,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
142833,EDF ENERGY,6451992,15,35.06,ELECTRICITY,03/10/2019,,Technical and Service Support,Utilities
