 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,proclass,proclass
902901,HAIX-SCHUHE,118047962,1,270.01,PROTECTIVE CLOTHING,03/09/18,270.01,Fire Stations (North West),Clothing,Clothing
300818F,ALERE TOXICOLOGY PLC,0000603671,1,345.00,DRUG & ALCOHOL TESTS,06/09/18,345.00,People Services,Human Resources,Healthcare
300818F,MOOLANDS LTD,00012276,1,800.00,REACTIVE SMALL WORKS AND PROJ,06/09/18,800.00,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
290818V,"GLOBAL REAL ESTATE (""GRE"") LTD",0624,1,"20,000.00",CONSULTANTS,06/09/18,"20,000.00",Central Finance,Consultancy,Consultancy
030918K,E&S B DAVIS LTD,100,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North West),Fire & Rescue,Environmental Services
800118864,COMPASS GROUP LTD,1003735631-1,1,"1,433.98",CATERING EQUIP SL,06/09/18,"1,433.98",Technical and Service Support,Catering,Catering
800118866,COMPASS GROUP LTD,1003735631-3,1,563.45,CATERING,06/09/18,563.45,Technical and Service Support,Catering,Catering
800118869,COMPASS GROUP LTD,1003735631-4,1,426.07,CATERING EQUIP SL,06/09/18,426.07,Technical and Service Support,Catering,Catering
310818K,LINCOLNSHIRE FIRE AND RESCUE,10064651,1,"22,624.15",FIRE AUTHORITIES,06/09/18,"22,624.15",Central Programme Office (CPO),Non Influenceable Spend,Statutory Bodies
030918K,E&S B DAVIS LTD,101,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South East),Fire & Rescue,Environmental Services
142391,PA CONSULTING SERVICES LTD,10125081,1,"22,375.90",SOFTWARE COTS,06/09/18,"22,375.90",Grenfell Investigation Legal Costs,ICT,Consultancy
030918K,TWO SERVICES LTD,101898,1,827.00,CATERING EQUIPMENT,06/09/18,827.00,Fire Stations (North East),Catering,Catering
030918K,TWO SERVICES LTD,101899,1,827.00,CATERING EQUIPMENT,06/09/18,827.00,Fire Stations (North West),Catering,Catering
030918K,E&S B DAVIS LTD,102,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South East),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,103,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,104,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,105,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North West),Fire & Rescue,Environmental Services
