 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
280819K,MOOLANDS LTD,#000019,1,"4,785.00",REACTIVE SMALL WORKS AND PROJ,02/09/19,"4,785.00",Technical and Service Support,Works - Construction
270819V,South Yorkshire Fire & Rescue,0000013011,1,"19,802.44",FIRE AUTHS-MUTUAL ASSISTANCE,02/09/19,"19,802.44",Building Support Programme,Non Influenceable Spend
280819K,S W BRUCE & CO LTD,0000107946,1,870.13,DEVELOPMENT  EXPENSES-CONTRACT,02/09/19,870.13,Technical and Service Support,Consultancy
230819F,MOOLANDS LTD,00016128,1,"4,462.00",REACTIVE SMALL WORKS AND PROJ,02/09/19,"4,462.00",Technical and Service Support,Works - Construction
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,1,205.36,WATER & SEWERAGE RATES,02/09/19,"16,273.42",Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,2,103.86,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,3,49.09,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,4,39.75,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,5,368.14,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,6,243.77,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,7,"2,217.20",WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,8,15.25,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,9,80.54,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,10,10.44,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,11,8.25,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,12,348.69,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,13,29.24,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,14,250.22,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,15,59.26,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,16,218.11,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,17,47.90,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,18,309.04,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,19,242.70,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,20,30.37,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,21,89.87,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,22,425.34,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,23,159.82,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,24,116.71,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,25,29.24,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,26,253.90,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,27,29.24,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,28,45.31,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,29,3.54,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,30,5.94,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,31,35.94,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,32,26.23,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,33,33.80,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,34,85.90,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,35,26.48,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,36,80.54,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,37,29.24,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,38,166.80,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,39,29.24,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,40,33.05,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,41,36.36,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,42,118.39,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,43,26.23,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,44,33.80,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,45,129.79,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,46,37.68,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,47,27.10,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,48,12.62,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,49,171.48,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,50,237.96,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,51,140.16,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,52,106.18,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,53,181.54,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,54,73.55,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,55,29.24,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
142793,ANGLIAN WATER BUS NATIONAL,04358260/1*,56,188.99,WATER & SEWERAGE RATES,02/09/19,,Technical and Service Support,Utilities
