Vendor Name, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
APEX LIFT & ESCALATOR,800122693,APEX LIFT & ESCALATOR,0000100055,1,49.99,PLANNED LIFTS,03/12/18,454.97,Technical and Service Support,Facilities & Management Services
APEX LIFT & ESCALATOR,800122693,APEX LIFT & ESCALATOR,0000100055,2,50.00,PLANNED LIFTS,03/12/18,,Technical and Service Support,Facilities & Management Services
APEX LIFT & ESCALATOR,800122693,APEX LIFT & ESCALATOR,0000100055,3,99.99,PLANNED LIFTS,03/12/18,,Technical and Service Support,Facilities & Management Services
APEX LIFT & ESCALATOR,800122693,APEX LIFT & ESCALATOR,0000100055,4,50.00,PLANNED LIFTS,03/12/18,,Technical and Service Support,Facilities & Management Services
APEX LIFT & ESCALATOR,800122693,APEX LIFT & ESCALATOR,0000100055,5,155.00,PLANNED LIFTS,03/12/18,,Technical and Service Support,Facilities & Management Services
APEX LIFT & ESCALATOR,800122693,APEX LIFT & ESCALATOR,0000100055,6,49.99,PLANNED LIFTS,03/12/18,,Technical and Service Support,Facilities & Management Services
EDF ENERGY,142488,EDF ENERGY,00005014830,1,593.60,ELECTRICITY,03/12/18,"58,228.47",Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,2,809.28,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,3,521.01,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,4,613.74,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,5,755.87,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,6,726.45,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,7,348.25,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,8,326.52,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,9,388.60,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,10,442.68,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,11,224.44,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,12,298.33,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,13,336.87,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,14,357.84,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,15,441.49,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,16,637.77,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,17,60.13,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,18,47.51,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,19,41.77,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,20,50.05,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,21,57.92,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,22,63.24,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,23,22.67,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,24,5.40,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,25,6.57,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,26,11.50,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,27,"1,153.71",ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,28,"1,192.88",ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,29,238.45,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,30,501.50,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,31,670.64,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,32,438.30,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,33,6.22,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,34,9.88,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,35,15.61,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,36,18.09,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,37,358.42,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,38,414.65,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,39,752.28,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,40,888.30,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,41,48.43,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,42,53.86,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,43,15.67,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,44,297.56,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,45,5.68,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,46,322.71,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,47,425.07,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,48,345.70,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,49,370.60,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,50,428.64,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,51,531.56,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,52,10.13,GAS,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,53,242.61,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,54,23.07,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,55,697.47,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,56,875.37,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,57,50.63,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,58,67.66,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,59,380.13,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,60,890.43,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,61,"1,096.34",ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,62,370.91,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,63,474.07,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,64,586.35,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,65,481.19,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,66,507.67,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,67,568.58,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,68,427.65,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,69,546.18,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,70,663.49,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
