Date of the Transaction ,Local Authority Department which Incurred the Expenditure ,Beneficiary,Amount,Value Added Tax that cannot be recovered ,Summary of the purpose of the expenditure ,"Merchant category (eg. computers, software etc).",Contact
02/01/2016,Communications,J2: Receptionist,11.94,0,One month line rental for LFB consultation ‘Freephone’ number.,Telecommunications,Sue Budden
03/01/2016,Communications,Twitter : Advertising ,91.8,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Christopher Michael Marshall
04/01/2016,Operational Policy,Asda stores Greenhithe,102.49,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Emma Jane Carr
04/01/2016,Operational Policy,Tesco stores ,7.81,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Emma Jane Carr
05/01/2016,Communications,London borough Of Newh London,1346.25,0,Hire of Main Hall in Newham on Wednesday 20 January 2016 for public consultation meeting regarding 2016/17 budget.,Accommodation,Christopher Michael Marshall
10/01/2016,Communications,Twitter Advertising ,214.2,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Christopher Michael Marshall
10/01/2016,Operational Policy,Asda stores Greenhithe,245.86,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Alastair Cadell Hislop
11/01/2016,Communications,LBB CONF AND EVENTS WEMBLEY,60,0,Payment for four pre-paid car parking tickets for public consultation meeting in Brent on 11 January 2016 regarding 2016/17 budget. ,Accommodation,Christopher Michael Marshall
11/01/2016,Operational Policy,Asda stores Greenhithe,74.72,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Emma Jane Carr
11/01/2016,Operational Policy,Asda stores Greenhithe,54.67,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Alastair Cadell Hislop
12/01/2016,Operational Policy,Asda stores Greenhithe,61.3,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Emma Jane Carr
12/01/2016,Operational Policy,Asda stores Greenhithe,7.92,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Emma Jane Carr
12/01/2016,Operational Policy,Asda stores Greenhithe,3,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Emma Jane Carr
12/01/2016,Operational Policy,Asda stores Greenhithe,109.86,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Alastair Cadell Hislop
13/01/2016,Operational Policy,Asda stores Greenhithe,55.82,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Alastair Cadell Hislop
13/01/2016,Operational Policy,Asda stores Greenhithe,5.94,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Alastair Cadell Hislop
14/01/2016,Operational Policy,Asda stores Greenhithe,49.64,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Emma Jane Carr
