Order Number,Date,Order value,Order Description,Location,Supplier,Unit Cost,Order Quantity,Line Cost,Order Number Grouped,Total Order Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",ADDINGTON FS-VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£165.00,1.00,£165.00,PSP/18777,"£7,529.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",BROMLEY FS-VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£24.29,1.00,£24.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",CROYDON FS-VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£364.66,1.00,£364.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",DOCKHEAD FS -VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£93.48,1.00,£93.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",ERITH FS-VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£32.83,1.00,£32.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",FOREST HILL FS -VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£63.80,1.00,£63.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",PLUMSTEAD FS-VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£144.37,1.00,£144.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",PURLEY FS-VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,"£1,443.54",1.00,"£1,443.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",RICHMOND FS -VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£308.00,1.00,£308.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",SOUTHWARK -VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,"£2,912.45",1.00,"£2,912.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",TWICKENHAM FS  -VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£213.40,1.00,£213.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",UNION ST-VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£599.80,1.00,£599.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",WALLINGTON FS -VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£884.12,1.00,£884.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP/18777,01/09/14,"£7,529.38",WANDSWORTH FS - VARIABLE REACTIVE FOR APRIL,PROPERTY SERVICES (3 US),KIER BUILDING SERV ENGINEERS==,£82.08,1.00,£82.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
