Member,Value,Claim Date,Claim Category,Details of Claim
Liaquat Ali,495.00,08-Jul-2014,Training and Conferences,Attendance at LGA Annual Conference and Exhibition 8-10 July 2014 at Bournemouth.
Liaquat Ali,105.09,08-Jul-2014,Travel,Train travel from London Waterloo to Bournemouth to attend LGA Annual Conference and Exhibition 8-10 July 2014 at Bournemouth.
Fiona Twycross,215.00,08-Jul-2014,Training and Conferences,Attendance at LGA Annual Conference and Exhibition 8 July 2014 at Bournemouth.
Liaquat Ali,168.70,08-Jul-2014,Accommodation,Hotel accommodation for attendance at LGA Annual Conference and Exhibition 8-10 July 2014 at Bournemouth.
Jack Hopkins,495.00,08-Jul-2014,Training and Conferences,Attendance at LGA Annual Conference and Exhibition 8-10 July 2014 at Bournemouth.
Jack Hopkins,105.09,08-Jul-2014,Travel,Train travel from London Waterloo to Bournemouth to attend LGA Annual Conference and Exhibition 8-10 July 2014 at Bournemouth.
Jack Hopkins,168.70,08-Jul-2014,Accommodation,Hotel accommodation for attendance at LGA Annual Conference and Exhibition 8-10 July 2014 at Bournemouth.
Tony Arbour,495.00,08-Jul-2014,Training and Conferences,Attendance at LGA Annual Conference and Exhibition 8-10 July 2014 at Bournemouth.
Tony Arbour,333.70,08-Jul-2014,Accommodation,Hotel accommodation for attendance at LGA Annual Conference and Exhibition 8-10 July 2014 at Bournemouth.
Fiona Twycross,96.95,10-Sep-2014,Travel,Claimed train travel to Leadership Academy Fire and Rescue Programme at Warwick Conference Centre 10/11 September 2014.
Fiona Twycross,80.01,12-Dec-2014,Travel,Claimed car mileage for attendance at LGA Fire Services Management Committee at Moreton-on-Marsh.
David Cartwright,275.00,21-Jan-2015,Training and Conferences,Attendance at 'Embedding collaborative working across blue light services' seminar on 21 January 2015.
David Cartwright,128.55,10-Mar-2015,Travel,Train travel from London to Newcastle to attend LGA Annual Fire Conference and Exhibition 10-11 March 2015.
David Cartwright,571.70,10-Mar-2015,Accommodation,Hotel accommodation to attend LGA Annual Fire Conference and Exhibition 10-11 March 2015 at Newcastle.
Liaquat Ali,571.70,10-Mar-2015,Accommodation,Hotel accommodation to attend LGA Annual Fire Conference and Exhibition 10-11 March 2015 at Newcastle.
Maurice Heaster,128.55,10-Mar-2015,Travel,Train travel from London to Newcastle to attend LGA Annual Fire Conference and Exhibition 10-11 March 2015.
Maurice Heaster,571.70,10-Mar-2015,Accommodation,Hotel accommodation to attend  LGA Annual Fire Conference and Exhibition 10-11 March 2015 at Newcastle.
Fiona Twycross,3.70,10-Mar-2015,Accommodation,"Hotel booking fee (although booking was cancelled) for LGA Annual Fire Conference and Exhibition 10-11 March 2015, Newcastle."
,,,,
