Vendor ID,Vendor Name,Type,Order Number,Line Number,Part Description, Unit Cost ,Order Quantity,Line Cost,Orderdate,Month,Centre ID,Centre Name, Total Net Amount 
14341,KIER BUILDING SERV ENGINEERS,P,KMD/00028     ,1,WATER LEAK - GYM ROOF                                       ," 5,838.24 ",1,5838.24,20170703,Jul,H11       ,HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   ," 5,838.24 "
14341,KIER BUILDING SERV ENGINEERS,P,KMF/00005     ,1,REPAIRS TO LAMBETH PONTOON. IN RELATION TO REPORT X1325/0179," 8,009.00 ",1,8009,20170703,Jul,H11       ,HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   ," 8,009.00 "
17284, SPRUE SAFETY PRODUCTS LTD,P,TSE/69507     ,1,"ALARM, SMOKE, FIRE ANGEL,     THERMOTEK, ST-622             ", 123.60 ,60,123.6,20170704,Jul,C17E      ,(NE) CFS TEAM - STRATFORD REAR BUILDING                     ," 7,416.00 "
15064,CARPETS & FLOOR COVERS DIRECT,P,PSP/22308     ,1,FLOORING WORKS - SHOREDITCH FS                              ," 7,176.00 ",1,7176,20170705,Jul,F24       ,SHOREDITCH FIRE STATION (F24)                               ," 7,176.00 "
18241,REAM CONTRACTS LTD,P,PSP/22312     ,1,BOILER REPLACEMENT - ERITH FS                               ," 9,678.60 ",1,9678.6,20170705,Jul,E27       ,ERITH FIRE STATION (E27)                                    ," 9,678.60 "
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00794     ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 17.24 ,308,17.24,20170705,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ," 5,309.92 "
8053,MOORE STEPHENS CONSULTING LTD,P,ITS/14533     ,1,SOFTWARE DEVELOPMENT          (ICT)                         ," 1,000.00 ",8.5,1000,20170705,Jul,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       "," 8,500.00 "
8053,MOORE STEPHENS CONSULTING LTD,P,ITS/14533     ,2,SOFTWARE DEVELOPMENT          (ICT)                         ," 1,000.00 ",5,2000,20170705,Jul,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       "," 5,000.00 "
18241,REAM CONTRACTS LTD,P,PSP/22323     ,1,BOILER REPLACEMENT - TOTTENHAM FS                           ," 7,588.80 ",1,7588.8,20170707,Jul,F53       ,TOTTENHAM FIRE STATION (F53)                                ," 7,588.80 "
11543,SPECIALIST COMPUTER CENTRE,P,TSE/69627     ,3,HARDWARE PURCHASE             (ICT)                         ," 5,705.46 ",1,17116.38,20170710,Jul,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       "," 5,705.46 "
19724,GORKANA GROUP LTD,P,TSE/69612     ,1,PRESS OFFICE PROFESSIONAL SERVICES                          ," 6,524.47 ",1,6524.47,20170710,Jul,R89       ,EXTERNAL COMMUNICATIONS                                     ," 6,524.47 "
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00800     ,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT             , 17.45 ,413,17.45,20170710,Jul,A18F      ,(SW) PERFORMANCE & MONITORING - HAMMERSMITH 4TH FLOOR       ," 7,206.85 "
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00802     ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 17.45 ,308,17.45,20170710,Jul,HRRSSB    ,HR - OPERATIONS-ASSESSMENT CENTRE HAMMERSMITH               ," 5,374.60 "
20754,KINGSWOOD LEARNING & LEISURE,P,TSE/69617     ,1,CADET RESIDENTIAL RETREAT                                   ," 6,900.00 ",1,6900,20170710,Jul,M98       ,COMMUNITY FIRE CADETS - CENTRAL (UNION STREET)              ," 6,900.00 "
20896,E3 MEDIA LTD,P,TSE/69623     ,1,LFB WEBSITE REDESIGN &        DEVELOPMENT - PHASE 2         , 1.00 ,10000,1,20170710,Jul,R89       ,EXTERNAL COMMUNICATIONS                                     ," 10,000.00 "
21003,MERCURE WARWHICKSHIRE WALTON,P,TSE/69624     ,1,CONFERENCE HIRE OF FACILITIES                               ," 9,676.30 ",1,9676.3,20170710,Jul,R25       ,NATIONAL OPERATIONAL GUIDANCE (NOG)                         ," 9,676.30 "
5567,BOTTOMLINE TECHNOLOGIES LTD,P,TSE/69625     ,1,SOFTWARE SUPPORT              (ICT)                         ," 6,300.00 ",1,6300,20170710,Jul,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       "," 6,300.00 "
18387,FAHEY BUILDERS LTD,P,PSP/22327     ,1,YARD REPAIR/BA CHAMBER - CHELSEA FS                         ," 8,864.00 ",1,8864,20170711,Jul,G34       ,CHELSEA FIRE STATION (G34)                                  ," 8,864.00 "
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00804     ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 24.83 ,303,24.83,20170711,Jul,B33       ,FINANCE DEPARTMENT MANAGEMENT & ADMIN                       ," 7,523.49 "
8053,MOORE STEPHENS CONSULTING LTD,P,ITS/14537     ,1,SOFTWARE DEVELOPMENT -         ICT DEPARTMENT               ," 1,000.00 ",9.57,1000,20170711,Jul,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       "," 9,570.00 "
11884,UNIFY,P,TSE/69640     ,1,TELEPHONY SUPPORT             (ICT)                         ," 8,225.64 ",1,8225.64,20170712,Jul,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       "," 8,225.64 "
11884,UNIFY,P,TSE/69640     ,2,TELEPHONY SUPPORT             (ICT)                         ," 7,050.58 ",1,14101.16,20170712,Jul,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       "," 7,050.58 "
17118,CORE SURVEYSLTD,P,PSP/22337     ,1,MAJOR PPAS - CHE/36K - WORK ORDER F170750 - CHELSEA FS      ," 7,700.00 ",1,7700,20170712,Jul,G34       ,CHELSEA FIRE STATION (G34)                                  ," 7,700.00 "
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00806     ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 17.45 ,308,17.45,20170713,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ," 5,374.60 "
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00807     ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 17.45 ,315,17.45,20170713,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ," 5,496.75 "
14346,MERSEYSIDE FCDA,P,TSE/69694     ,1,SECONDMENT FROM OTHER PARTNER ORGANISATIONS                 ," 9,592.16 ",1,9592.16,20170714,Jul,R48       ,NOG - NATIONAL RESILLIENCE                                  ," 9,592.16 "
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00809     ,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           , 20.18 ,455,20.18,20170714,Jul,M41I      ,ESTABLISHMENT AND PERFORMANCE TEAM - STRATFORD              ," 9,181.90 "
18241,REAM CONTRACTS LTD,P,PSP/22344     ,1,HEATER REPLACEMENT - TOTTENHAM FS                           ," 5,247.20 ",1,5247.2,20170717,Jul,F53       ,TOTTENHAM FIRE STATION (F53)                                ," 5,247.20 "
6404,WOLF SAFETY LAMP CO LTD,P,TSW/73297     ,1,"FIREFIGHTER RIGHT ANGLED      TORCH, HANDLAMP, WOLF, TR-30+ ", 32.60 ,200,32.6,20170718,Jul,1,BRIGADE DISTRIBUTION CENTRE - GENERAL STORE                 ," 6,520.00 "
19094,B NOKES CONTRACTS LTD,P,PSP/22366     ,1,ERECTION OF SCAFFOLDING - HARROW FS                         ," 9,545.00 ",1,9545,20170720,Jul,G21       ,HARROW FIRE STATION (G21)                                   ," 9,545.00 "
