Order Number,Line Number,Date,Order value,Order Description,Location,Supplier,Unit Cost,Order Quantity,Line Cost,Order Number Grouped,Total Order Cost
000/00332,1,1/19/16,8173.92,BATTERY PACK NIMH (MERLIN),P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,99.80,60.00,"5,988.00",000/00332,"8,173.92"
000/00332,2,1/19/16,8173.92,ECB RECHARGEABLE BATTERY,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,117.42,16.00,"1,878.72",,
000/00332,3,1/19/16,8173.92,"FPS 7000 FACE MASK INNER      MASK 2,CPL",P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,15.36,20.00,307.20,,
FPL/33507,1,1/25/16,5086.00,REPLACE FLOORING: MESS ROOM WITH BLACK,WOODFORD FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"1,560.00",1.00,"1,560.00",FPL/33507,"5,086.00"
FPL/33507,2,1/25/16,5086.00,REPLACE FLOORING: IN KITCHEN WITH BLACK UNIVERSAL SAFETREAD,WOODFORD FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"2,050.00",1.00,"2,050.00",,
FPL/33507,3,1/25/16,5086.00,REPLACE FLOORING: REAR STAIRCASE BLACK UNIVERSAL SAFETREAD,WOODFORD FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"1,476.00",1.00,"1,476.00",,
FPL/33513,1,1/25/16,8374.05,DELIVER & INSTALL FUSION 280G X-TRAINER DISPOSE OF,PROPERTY SERVICES (3 US),PULSE FITNESS LTD,"2,310.18",1.00,"2,310.18",FPL/33513,"8,374.05"
FPL/33513,2,1/25/16,8374.05,DELIVER & INSTALL FUSION 280G X-TRAINER DISPOSE OF,PROPERTY SERVICES (3 US),PULSE FITNESS LTD,"2,310.18",1.00,"2,310.18",,
FPL/33513,3,1/25/16,8374.05,DELIVER & INSTALL PULSE SERIES 1 EXERCISE CYLCE DISPOSE OF,PROPERTY SERVICES (3 US),PULSE FITNESS LTD,"1,443.51",1.00,"1,443.51",,
FPL/33513,4,1/25/16,8374.05,DELIVER & INSTALL FUSION 280G X-TRAINER DISPOSE OF,PROPERTY SERVICES (3 US),PULSE FITNESS LTD,"2,310.18",1.00,"2,310.18",,
FPL/33664,1,1/29/16,6854.80,REPLACE 1ST FLOOR FF DORM WITH BLUE SUPACORD,SOUTHALL FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"2,370.00",1.00,"2,370.00",FPL/33664,"6,854.80"
FPL/33664,2,1/29/16,6854.80,REPLACE WATCH ROOM & STATION OFFICE WITH GREY SAFETREAD,SOUTHALL FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"2,255.00",1.00,"2,255.00",,
FPL/33664,3,1/29/16,6854.80,REPLACE MALE & FEMALE TOILET FLOOR WITH TIDE ALTRO MARINE,SOUTHALL FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"2,229.80",1.00,"2,229.80",,
FPL/33780,1,2/3/16,6001.60,BARKING - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,FPL/33780,"6,001.60"
FPL/33780,2,2/3/16,6001.60,BETHNAL GREEN - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,3,2/3/16,6001.60,BIGGIN HILL - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/33780,4,2/3/16,6001.60,BROMLEY - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,5,2/3/16,6001.60,CHISWICK - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/33780,6,2/3/16,6001.60,CROYDON - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
