Order Number,Line Number,Date,Order value,Order Description,Location,Supplier,Unit Cost,Order Quantity,Line Cost,Order Number Grouped,Total Order Cost
FPL/30685,1,10/1/15,9100.00,COMPLETE VARIOUS TREE WORKS TO NUMBERED TREES:,"SITE MANAGER, STC",VISTA LANDSCAPE MANAGEMENT LTD,"9,100.00",1.00,"9,100.00",FPL/30685,"9,100.00"
FPL/30730,1,10/2/15,7672.50,ACTON - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,FPL/30730,"7,672.50"
FPL/30730,2,10/2/15,7672.50,ADDINGTON - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,3,10/2/15,7672.50,BARNET - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,4,10/2/15,7672.50,BATTERSEA - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,5,10/2/15,7672.50,CLAPHAM - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,6,10/2/15,7672.50,DEPTFORD - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,7,10/2/15,7672.50,EALING - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,8,10/2/15,7672.50,ENFIELD - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,9,10/2/15,7672.50,EUSTON - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,10,10/2/15,7672.50,FELTHAM - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,11,10/2/15,7672.50,FULHAM - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,12,10/2/15,7672.50,HAROLD HILL - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,13,10/2/15,7672.50,HARROW - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,14,10/2/15,7672.50,HAYES - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,15,10/2/15,7672.50,HENDON - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,16,10/2/15,7672.50,HESTON - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,17,10/2/15,7672.50,HILLINGDON - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,18,10/2/15,7672.50,HORNCHURCH - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,19,10/2/15,7672.50,ILFORD - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,20,10/2/15,7672.50,ISLINGTON - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,21,10/2/15,7672.50,LEYTON - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,22,10/2/15,7672.50,MILLWALL - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,23,10/2/15,7672.50,NORBURY - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,24,10/2/15,7672.50,PARK ROYAL - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,25,10/2/15,7672.50,RICHMOND - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,26,10/2/15,7672.50,ROMFORD - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,27,10/2/15,7672.50,SOHO - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,28,10/2/15,7672.50,SOUTHALL - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,29,10/2/15,7672.50,SOUTHGATE - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,30,10/2/15,7672.50,STANMORE - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/30730,31,10/2/15,7672.50,STOKE NEWINGTON - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/30730,32,10/2/15,7672.50,SURBITON - KITCHEN DEEP CLEAN OCTOBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
