Order Number,Status Code,Type,Initial Entry Date (Display),Amt Tot Hcur,Line Number,Part Description,Centre Name,Vendor Name,Order Number Grouped,Unit Cost,Order Quantity,Line Cost,Order Cost (from Lines)
FPL/35447,5,P,13/04/2016,5995,1,"NON CATALOGUE - SERVICES, EXCLUDING PROPERTY SERVICES",LONDON CO-ORDINATION CENTRE,B NOKES CONTRACTS LTD,FPL/35447,5995,1,5995,5995
FPL/36058,1,P,09/05/2016,5010.4,1,REPLACE FLOORING IN TV ROOM WITH BLACK SAFETREAD UNIVERSAL,NEW CROSS FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,FPL/36058,1227.6,1,1227.6,5010.4
FPL/36058,1,P,09/05/2016,5010.4,2,REPLACE FLOORING 1ST FLOOR DORM WITH BLUE SUPACORD,NEW CROSS FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,FPL/36058,612,1,612,5010.4
FPL/36058,1,P,09/05/2016,5010.4,3,REPLACE FLOORING 2ND FLOOR SHOWERS WITH TIDE ALTRO MARINE,NEW CROSS FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,FPL/36058,1504,1,1504,5010.4
FPL/36058,1,P,09/05/2016,5010.4,4,REPLACE FLOORING 1ST FLOOR WC TIDE ALTRO MARINE,NEW CROSS FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,FPL/36058,1666.8,1,1666.8,5010.4
FPL/36760,5,P,07/06/2016,7023.8,1,ACTON - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,2,ADDINGTON - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,3,BARNET - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,4,BATTERSEA - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,5,BIGGIN HILL - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
