Vendor Id,Vendor Name,Type,Order Number,Line Number,Part Description, Unit Cost ,Order Quantity, Line Cost ,Order Date,Month,Centre Id,Centre Name, Net Amount 
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,1,KITCHEN DEEP CLEAN BEXLEY,173,1,173,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),173
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,2,KITCHEN DEEP CLEAN WILLESDEN,207.6,1,207.6,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),207.6
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,3,KITCHEN DEEP CLEAN CROYDON,207.6,1,207.6,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),207.6
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,4,KITCHEN DEEP CLEAN CROYDON,173,1,173,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),173
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,5,KITCHEN DEEP CLEAN SHOREDITCCH,207.7,1,207.7,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),207.7
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,6,KITCHEN DEEP CLEAN HEATHROW JUNE 2016,173,1,173,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),173
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,7,KITCHEN DEEP CLEAN WALTHAMSTOW JUNE 2016,207.6,1,207.6,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),207.6
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,8,KITCHEN DEEP CLEAN PLUMSTEAD JUNE 2016,173,1,173,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),173
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,9,KITCHEN DEEP CLEAN HNORTH KENSINGTON JUNE 2016,207.6,1,207.6,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),207.6
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,10,KITCHEN DEEP CLEAN BARKING JUNE 2016,207.6,1,207.6,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),207.6
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,11,KITCHEN DEEP CLEAN JUNE 2016 LEE GREEN,207.6,1,207.6,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),207.6
18956,REGENT OFFICE CARE LTD========,P,FPL/37810,12,KITCHEN DEEP CLEAN JUNE 2016 FOREST HILL,207.6,1,207.6,21/07/2016,Jul,Z13,PROPERTY SERVICES (3 US),207.6
