Vendor Id,Vendor Name,Type,Order Number,Line Number,Part Description, Unit Cost ,Order Quantity, Line Cost ,Order Date,Month,Centre Id,Centre Name, Net Amount 
15064,CARPETS & FLOOR COVERS DIRECT=,P,FPL/38465,1,REPLACE FLOORING 2BD FLOOR SHOWER TOILETS,"5,720.00",1,"5,720.00",07/10/2016,Oct,F22,POPLAR FIRE STATION,"5,720.00"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00348,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.98,420,"6,291.60",05/10/2016,Oct,Z24,TSS - ESTATES MANAGEMENT,"6,291.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00349,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,17.03,455,"7,748.65",06/10/2016,Oct,R94,INFORMATION MANAGEMENT  (G US),"7,748.65"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00354,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.98,420,"6,291.60",07/10/2016,Oct,M39,FSR - ADMIN SUPPORT TEAM,"6,291.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00356,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,14.98,490,"7,340.20",10/10/2016,Oct,E19,(SE) P'MANCE/M'TORING-LEWISHAM,"7,340.20"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00357,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,20.96,420,"8,803.20",10/10/2016,Oct,B32,IT CUSTOMER SUPPORT (1 US),"8,803.20"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00358,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.54,420,"6,106.80",11/10/2016,Oct,M29,FSR MANAGEMENT GROUP (2 US),"6,106.80"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00360,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.98,420,"6,291.60",12/10/2016,Oct,A19,(SE) CFS TEAM - LEWISHAM,"6,291.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00361,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.98,420,"6,291.60",13/10/2016,Oct,M39,FSR - ADMIN SUPPORT TEAM,"6,291.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00368,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,127.02,60,"7,621.20",24/10/2016,Oct,M11K,OPS TACTICS (2 US),"7,621.20"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00370,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,15.07,427,"6,434.89",24/10/2016,Oct,Z84A,BDC PURLEY WAY,"6,434.89"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00373,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,14.98,364,"5,452.72",25/10/2016,Oct,B33,FINANCE MGMT & ADMIN (3 US),"5,452.72"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00375,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,20.22,301,"6,086.22",25/10/2016,Oct,M20A,OPS RESILIENCE - EUR,"6,086.22"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00376,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,14.98,336,"5,033.28",25/10/2016,Oct,M39,FSR - ADMIN SUPPORT TEAM,"5,033.28"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00377,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,23.87,375,"8,951.25",25/10/2016,Oct,Z32,PROPERTY OPERATIONS (2 US),"8,951.25"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00378,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.98,420,"6,291.60",27/10/2016,Oct,M21,FSR POLICY (2 US),"6,291.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00379,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,14.54,378,"5,496.12",27/10/2016,Oct,A18F,(SW) P &MT:HAMMERSMITH 4TH FLR,"5,496.12"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00380,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.98,420,"6,291.60",27/10/2016,Oct,M39,FSR - ADMIN SUPPORT TEAM,"6,291.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00381,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.98,420,"6,291.60",27/10/2016,Oct,M39,FSR - ADMIN SUPPORT TEAM,"6,291.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00382,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.98,420,"6,291.60",27/10/2016,Oct,M39,FSR - ADMIN SUPPORT TEAM,"6,291.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00383,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.98,420,"6,291.60",27/10/2016,Oct,M39,FSR - ADMIN SUPPORT TEAM,"6,291.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00387,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,17.6,420,"7,392.00",31/10/2016,Oct,B32,IT CUSTOMER SUPPORT (1 US),"7,392.00"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00388,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,14.54,413,"6,005.02",31/10/2016,Oct,R65,LEGAL SERVICES M&A (G US),"6,005.02"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00389,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,14.98,420,"6,291.60",02/11/2016,Nov,M39,FSR - ADMIN SUPPORT TEAM,"6,291.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00390,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,17.43,441,"7,686.63",02/11/2016,Nov,M13,WATER OFFICE (US),"7,686.63"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00394,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,17.03,420,"7,152.60",09/11/2016,Nov,R25,NATIONAL OPERATIONAL GUIDANCE,"7,152.60"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00396,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,17.37,420,"7,295.40",09/11/2016,Nov,M39,FSR - ADMIN SUPPORT TEAM,"7,295.40"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00398,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,20.66,420,"8,677.20",10/11/2016,Nov,B32,IT CUSTOMER SUPPORT (1 US),"8,677.20"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00399,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,14.54,581,"8,447.74",10/11/2016,Nov,C17E,(NE) CFS TEAM - STRATFORD REAR,"8,447.74"
20575,HAYS SPECIALIST RECRUITMENT,P,HAY/00400,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,20.66,420,"8,677.20",10/11/2016,Nov,B32,IT CUSTOMER SUPPORT (1 US),"8,677.20"
