 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
260218K,GARRAN LOCKERS LTD,0000023644,1,987.18,OFFICE FURNITURE,01/03/18,987.18,Fire Stations (North West),Furniture & Soft Furnishings
230218K,WOLF SAFETY LAMP CO LTD=======,0000036029,1,"6,520.00",GENERAL CONSUMABLES,01/03/18,"6,520.00",Procurement,Emergency Services
150218K,ADVANCED FURNITURE,0000102539,1,455.01,OFFICE FURNITURE,01/03/18,455.01,Fire Stations (North West),Furniture & Soft Furnishings
142167,EDF ENERGY,00003886027,1,44.82,ELECTRICITY,01/03/18,"2,806.14",Technical and Service Support,Utilities
142167,EDF ENERGY,00003886027,2,61.51,ELECTRICITY,01/03/18,,Technical and Service Support,Utilities
142167,EDF ENERGY,00003886027,3,802.15,ELECTRICITY,01/03/18,,Technical and Service Support,Utilities
142167,EDF ENERGY,00003886027,4,778.25,ELECTRICITY,01/03/18,,Technical and Service Support,Utilities
142167,EDF ENERGY,00003886027,5,248.35,ELECTRICITY,01/03/18,,Technical and Service Support,Utilities
142167,EDF ENERGY,00003886027,6,871.06,ELECTRICITY,01/03/18,,Technical and Service Support,Utilities
142171,STEPHEN UMPLEBY,00305,1,660.00,REPAIR & MAINTENANCE,01/03/18,660.00,Technical and Service Support,Furniture & Soft Furnishings
142167,CASTLE WATER LIMITED,00875181,1,768.36,WATER & SEWERAGE RATES,01/03/18,768.36,Technical and Service Support,Utilities
800111019,COMPASS GROUP LTD,1003576374-5,1,372.45,CATERING,01/03/18,372.45,Technical and Service Support,Catering
230218K,AFFINITY BUSINESS RETAIL LTD,101107707,1,563.00,CURRENT HYDRANT COSTS,01/03/18,563.00,Procurement,Works - Construction
230218K,AFFINITY BUSINESS RETAIL LTD,101109877,1,787.00,CURRENT HYDRANT COSTS,01/03/18,787.00,Procurement,Works - Construction
800111011,AZTEC COMPUTING LTD,10590,1,"5,400.00",SOFTWARE BESPOKE,01/03/18,"5,400.00",HR Management,ICT
800111012,AZTEC COMPUTING LTD,10591,1,"1,875.00",SOFTWARE BESPOKE,01/03/18,"1,875.00",Information and Communication Technology,ICT
800111013,AZTEC COMPUTING LTD,10592,1,"1,500.00",SOFTWARE BESPOKE,01/03/18,"1,500.00",Information and Communication Technology,ICT
800111014,AZTEC COMPUTING LTD,10593,1,"3,750.00",SOFTWARE BESPOKE,01/03/18,"3,750.00",Community Safety,ICT
800111015,AZTEC COMPUTING LTD,10594,1,"1,462.50",SOFTWARE BESPOKE,01/03/18,"4,331.25",HR Management,ICT
800111015,AZTEC COMPUTING LTD,10594,2,"2,868.75",SOFTWARE BESPOKE,01/03/18,,Information and Communication Technology,ICT
800111016,AZTEC COMPUTING LTD,10595,1,"4,500.00",SOFTWARE BESPOKE,01/03/18,"4,500.00",Information and Communication Technology,ICT
800111017,AZTEC COMPUTING LTD,10596,1,"12,187.50",MAINTENANCE & SUPPORT,01/03/18,"12,187.50",Information and Communication Technology,ICT
260218K,SPRUE SAFETY PRODUCTS LTD,1110027,1,"5,000.00",FIRE DETECTORS,01/03/18,"10,000.00",Fire Stations (North West),Health and Safety
260218K,SPRUE SAFETY PRODUCTS LTD,1110027,2,"5,000.00",FIRE DETECTORS,01/03/18,,Fire Stations (North West),Health and Safety
220218K,SPRUE SAFETY PRODUCTS LTD,1113241,1,741.60,FIRE DETECTORS,01/03/18,741.60,Fire Stations (North East),Health and Safety
200218K,SPRUE SAFETY PRODUCTS LTD,1115179,1,40.00,FIRE DETECTORS,01/03/18,"1,134.20",Community Safety,Health and Safety
200218K,SPRUE SAFETY PRODUCTS LTD,1115179,2,22.00,FIRE DETECTORS,01/03/18,,Community Safety,Health and Safety
200218K,SPRUE SAFETY PRODUCTS LTD,1115179,3,159.20,FIRE DETECTORS,01/03/18,,Community Safety,Health and Safety
200218K,SPRUE SAFETY PRODUCTS LTD,1115179,4,913.00,FIRE DETECTORS,01/03/18,,Community Safety,Health and Safety
200218K,SPRUE SAFETY PRODUCTS LTD,1115208,1,"1,500.00",FIRE DETECTORS,01/03/18,"1,500.00",Fire Stations (North West),Health and Safety
210218K,SPRUE SAFETY PRODUCTS LTD,1115215,1,159.20,FIRE DETECTORS,01/03/18,909.20,Community Safety,Health and Safety
210218K,SPRUE SAFETY PRODUCTS LTD,1115215,2,150.00,FIRE DETECTORS,01/03/18,,Community Safety,Health and Safety
210218K,SPRUE SAFETY PRODUCTS LTD,1115215,3,300.00,FIRE DETECTORS,01/03/18,,Community Safety,Health and Safety
210218K,SPRUE SAFETY PRODUCTS LTD,1115215,4,300.00,FIRE DETECTORS,01/03/18,,Community Safety,Health and Safety
260218K,LB TOWER HAMLETS,11337951,1,"1,000.00",GENERAL,01/03/18,"1,000.00",Community Safety,Consultancy
150218K,A.R.C.S. ENVIRONMENTAL LTD,11918,1,"1,070.00",DEVELOPMENT  EXPENSES-CONTRACT,01/03/18,"1,070.00",Technical and Service Support,Environmental Services
230218K,RIG EQUIPMENT LTD,12632,1,294.32,OPERATIONAL EQUIP-PURCHASE,01/03/18,"8,539.32",Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,2,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,3,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,4,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,5,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,6,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,7,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,8,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,9,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,10,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,11,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,12,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,13,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,14,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,15,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,16,261.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,17,"1,075.00",OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,18,645.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,19,"1,305.00",OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,RIG EQUIPMENT LTD,12632,20,"1,305.00",OPERATIONAL EQUIP-PURCHASE,01/03/18,,Operational Resilience,Fire & Rescue
230218K,CEDAFORCE LTD,14351,1,"14,273.80",REACTIVE SMALL WORKS AND PROJ,01/03/18,"14,273.80",Technical and Service Support,Works - Construction
220218K,RUTH LEE LTD,16309,1,968.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,"3,426.75",Fire Stations (South East),Fire & Rescue
220218K,RUTH LEE LTD,16309,2,888.00,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Fire Stations (South East),Fire & Rescue
220218K,RUTH LEE LTD,16309,3,496.75,OPERATIONAL EQUIP-PURCHASE,01/03/18,,Fire Stations (South East),Fire & Rescue
220218K,RUTH LEE LTD,16309,4,"1,074.00",OPERATIONAL EQUIP-PURCHASE,01/03/18,,Fire Stations (South East),Fire & Rescue
260218K,KENSON NETWORK ENGINEERING LTD,16591,1,"1,334.70",SOFTWARE COTS,01/03/18,"2,485.40",Information and Communication Technology,ICT
260218K,KENSON NETWORK ENGINEERING LTD,16591,2,"1,150.70",SOFTWARE COTS,01/03/18,,Information and Communication Technology,ICT
260218K,LONDON BOROUGH OF REDBRIDGE,170115188637,1,"1,000.00",GENERAL,01/03/18,"1,000.00",Community Safety,Consultancy
220218K,LIZ NAPIER SOLUTIONS LIMITED,200218,1,863.28,GENERAL,01/03/18,863.28,Central Finance,Consultancy
260218K,ENVIROGRAF,233520,1,547.22,OPERATIONAL EQUIP-PURCHASE,01/03/18,547.22,Community Safety,Fire & Rescue
800111028,REDFERN TRAVEL LTD,2451548,1,458.20,ACCOMMODATION BOOKINGS,01/03/18,458.20,CBRN RRT,Human Resources
800111067,REDFERN TRAVEL LTD,2453758,1,339.55,TRAVEL BOOKINGS,01/03/18,339.55,Community Safety,Human Resources
800111109,REDFERN TRAVEL LTD,2467706,1,"1,410.67",TRAVEL BOOKINGS,01/03/18,"1,410.67",Corporate Management Team,Human Resources
800111111,REDFERN TRAVEL LTD,2469776,1,504.80,OVERSEAS TRAVEL,01/03/18,504.80,Operational Policy,Human Resources
800111100,REDFERN TRAVEL LTD,2473035,1,"2,501.04",OVERSEAS TRAVEL,01/03/18,"2,501.04",Operational Policy,Human Resources
800111065,REDFERN TRAVEL LTD,2476082,1,319.70,ACCOMMODATION BOOKINGS,01/03/18,319.70,National Operational Guidance Project,Human Resources
800111125,REDFERN TRAVEL LTD,2477142,1,"2,944.22",TRAVEL BOOKINGS,01/03/18,"2,944.22",Corporate Management Team,Human Resources
800111133,REDFERN TRAVEL LTD,2480682,1,385.05,TRAVEL BOOKINGS,01/03/18,385.05,National Operational Guidance Project,Human Resources
800111087,REDFERN TRAVEL LTD,2483812,1,255.70,ACCOMMODATION BOOKINGS,01/03/18,255.70,Community Safety,Human Resources
800111130,REDFERN TRAVEL LTD,2483949,1,267.40,ACCOMMODATION BOOKINGS,01/03/18,267.40,Operational Policy,Human Resources
800111066,REDFERN TRAVEL LTD,2486180,1,299.70,ACCOMMODATION BOOKINGS,01/03/18,299.70,National Operational Guidance Project,Human Resources
800111025,REDFERN TRAVEL LTD,2487681,1,"2,673.60",OVERSEAS TRAVEL,01/03/18,"2,673.60",Operational Policy,Human Resources
220218K,VODAFONE LIMITED,249800,1,"1,015.00",MOBILE PLAN CHARGES,01/03/18,"1,308.86",Information and Communication Technology,ICT
220218K,VODAFONE LIMITED,249800,2,293.86,MOBILE PLAN CHARGES,01/03/18,,Information and Communication Technology,ICT
800110460,NPS SHOES LTD,25224,1,36.50,CLOTHING,01/03/18,"1,855.00",Fire Stations (North East),Clothing
800110460,NPS SHOES LTD,25224,2,36.50,CLOTHING,01/03/18,,Fire Stations (South West),Clothing
800110460,NPS SHOES LTD,25224,3,33.00,CLOTHING,01/03/18,,Fire Stations (North East),Clothing
800110460,NPS SHOES LTD,25224,4,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,5,33.00,CLOTHING,01/03/18,,Fire Stations (North West),Clothing
800110460,NPS SHOES LTD,25224,6,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,7,33.00,CLOTHING,01/03/18,,Fire Stations (South West),Clothing
800110460,NPS SHOES LTD,25224,8,33.00,CLOTHING,01/03/18,,Fire Stations (North West),Clothing
800110460,NPS SHOES LTD,25224,9,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,10,33.00,CLOTHING,01/03/18,,Fire Stations (South East),Clothing
800110460,NPS SHOES LTD,25224,11,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,12,33.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,13,33.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,14,33.00,CLOTHING,01/03/18,,Fire Stations (South West),Clothing
800110460,NPS SHOES LTD,25224,15,33.00,CLOTHING,01/03/18,,Fire Stations (South East),Clothing
800110460,NPS SHOES LTD,25224,16,33.00,CLOTHING,01/03/18,,Fire Stations (South West),Clothing
800110460,NPS SHOES LTD,25224,17,33.00,CLOTHING,01/03/18,,Fire Stations (North East),Clothing
800110460,NPS SHOES LTD,25224,18,33.00,CLOTHING,01/03/18,,Fire Stations (South West),Clothing
800110460,NPS SHOES LTD,25224,19,33.00,CLOTHING,01/03/18,,Fire Stations (South East),Clothing
800110460,NPS SHOES LTD,25224,20,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,21,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,22,33.00,CLOTHING,01/03/18,,Fire Stations (North West),Clothing
800110460,NPS SHOES LTD,25224,23,33.00,CLOTHING,01/03/18,,Fire Stations (South East),Clothing
800110460,NPS SHOES LTD,25224,24,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,25,33.00,CLOTHING,01/03/18,,Fire Stations (South East),Clothing
800110460,NPS SHOES LTD,25224,26,33.00,CLOTHING,01/03/18,,Fire Stations (North East),Clothing
800110460,NPS SHOES LTD,25224,27,33.00,CLOTHING,01/03/18,,Fire Stations (North West),Clothing
800110460,NPS SHOES LTD,25224,28,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,29,33.00,CLOTHING,01/03/18,,Fire Stations (South East),Clothing
800110460,NPS SHOES LTD,25224,30,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,31,33.00,CLOTHING,01/03/18,,Fire Stations (South West),Clothing
800110460,NPS SHOES LTD,25224,32,33.00,CLOTHING,01/03/18,,Fire Stations (South West),Clothing
800110460,NPS SHOES LTD,25224,33,33.00,CLOTHING,01/03/18,,Fire Stations (North West),Clothing
800110460,NPS SHOES LTD,25224,34,33.00,CLOTHING,01/03/18,,Fire Stations (South West),Clothing
800110460,NPS SHOES LTD,25224,35,33.00,CLOTHING,01/03/18,,Fire Safety Delivery,Clothing
800110460,NPS SHOES LTD,25224,36,33.00,CLOTHING,01/03/18,,Fire Stations (South East),Clothing
800110460,NPS SHOES LTD,25224,37,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,38,33.00,CLOTHING,01/03/18,,Fire Stations (North East),Clothing
800110460,NPS SHOES LTD,25224,39,33.00,CLOTHING,01/03/18,,Fire Stations (South East),Clothing
800110460,NPS SHOES LTD,25224,40,33.00,CLOTHING,01/03/18,,Fire Stations (South East),Clothing
800110460,NPS SHOES LTD,25224,41,33.00,CLOTHING,01/03/18,,Fire Stations (North West),Clothing
800110460,NPS SHOES LTD,25224,42,66.00,CLOTHING,01/03/18,,Firefighter Trainees,Clothing
800110460,NPS SHOES LTD,25224,43,33.00,CLOTHING,01/03/18,,Fire Stations (North West),Clothing
800110460,NPS SHOES LTD,25224,44,33.00,CLOTHING,01/03/18,,Fire Stations (South West),Clothing
