 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,proclass
250417K,CHANGING YOUNG MINDS,0227,1,175.00,GENERAL,02/05/17,825.00,LIFE - LFB Funded,Human Resources
250417K,CHANGING YOUNG MINDS,0227,2,175.00,GENERAL,02/05/17,,LIFE - LFB Funded,Human Resources
250417K,CHANGING YOUNG MINDS,0227,3,175.00,GENERAL,02/05/17,,LIFE - LFB Funded,Human Resources
250417K,CHANGING YOUNG MINDS,0227,4,300.00,GENERAL,02/05/17,,LIFE - LFB Funded,Human Resources
800097897,ENVIRONTEC LIMITED,108518,1,860.00,REACTIVE ASBESTOS,02/05/17,860.00,Technical and Service Support,Environmental Services
250417K,SURREY BLIND & CURTAIN CO=====,15378,1,"2,070.00",REACTIVE SMALL WORKS AND PROJ,02/05/17,"2,070.00",Technical and Service Support,"Works - Construction, R&M"
250417K,DRON & WRIGHT,18767,1,"4,812.50",PROFESSIONAL SERVICES,02/05/17,"4,882.50",Technical and Service Support,Facilities & Management S
250417K,DRON & WRIGHT,18767,2,70.00,PROF FEES-MISCELLANEOUS,02/05/17,,Technical and Service Support,Facilities & Management S
141849,HEARTFELT ROOFING LIMITED,2003,1,"24,458.72",DEVELOPMENT  EXPENSES-CONTRACT,02/05/17,"40,764.53",Technical and Service Support,"Works - Construction, R&M"
141849,HEARTFELT ROOFING LIMITED,2003,2,"16,305.81",DEVELOPMENT  EXPENSES-CONTRACT,02/05/17,,Technical and Service Support,"Works - Construction, R&M"
800097566,*NPS (SHOES) LTD,20264,1,33.25,CLOTHING,02/05/17,"4,503.50",Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,2,33.25,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,3,33.25,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,4,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,5,33.25,CLOTHING,02/05/17,,Fire Safety Regulation,Clothing
800097566,*NPS (SHOES) LTD,20264,6,66.50,CLOTHING,02/05/17,,Fire Safety Regulation,Clothing
800097566,*NPS (SHOES) LTD,20264,7,33.25,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,8,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,9,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,10,33.25,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,11,33.25,CLOTHING,02/05/17,,Fire Stations (South West),Clothing
800097566,*NPS (SHOES) LTD,20264,12,33.25,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,13,33.25,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,14,33.25,CLOTHING,02/05/17,,Fire Safety Regulation,Clothing
800097566,*NPS (SHOES) LTD,20264,15,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,16,33.00,CLOTHING,02/05/17,,Fire Stations (South West),Clothing
800097566,*NPS (SHOES) LTD,20264,17,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,18,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,19,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,20,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,21,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,22,33.00,CLOTHING,02/05/17,,Fire Stations (South West),Clothing
800097566,*NPS (SHOES) LTD,20264,23,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,24,33.00,CLOTHING,02/05/17,,Fire Stations (South West),Clothing
800097566,*NPS (SHOES) LTD,20264,25,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,26,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,27,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,28,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,29,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,30,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,31,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,32,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,33,66.50,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,34,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,35,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,36,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,37,33.25,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,38,33.25,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,39,36.50,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,40,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,41,33.25,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,42,33.25,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,43,33.25,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,44,33.25,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,45,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,46,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,47,33.00,CLOTHING,02/05/17,,Fire Stations (South West),Clothing
800097566,*NPS (SHOES) LTD,20264,48,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,49,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,50,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,51,33.00,CLOTHING,02/05/17,,Fire Stations (South West),Clothing
800097566,*NPS (SHOES) LTD,20264,52,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,53,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,54,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,55,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,56,33.00,CLOTHING,02/05/17,,Fire Stations (South West),Clothing
800097566,*NPS (SHOES) LTD,20264,57,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,58,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,59,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,60,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,61,33.00,CLOTHING,02/05/17,,Fire Stations (South West),Clothing
800097566,*NPS (SHOES) LTD,20264,62,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,63,36.50,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,64,36.50,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,65,33.25,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,66,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,67,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,68,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,69,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,70,33.25,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,71,33.25,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,72,33.25,CLOTHING,02/05/17,,Fire Stations (South West),Clothing
800097566,*NPS (SHOES) LTD,20264,73,33.25,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,74,33.25,CLOTHING,02/05/17,,Fire Stations (South West),Clothing
800097566,*NPS (SHOES) LTD,20264,75,36.75,CLOTHING,02/05/17,,Community Safety Delivery,Clothing
800097566,*NPS (SHOES) LTD,20264,76,36.75,CLOTHING,02/05/17,,Community Safety Delivery,Clothing
800097566,*NPS (SHOES) LTD,20264,77,36.75,CLOTHING,02/05/17,,Community Safety Delivery,Clothing
800097566,*NPS (SHOES) LTD,20264,78,33.00,CLOTHING,02/05/17,,Cadets,Clothing
800097566,*NPS (SHOES) LTD,20264,79,33.00,CLOTHING,02/05/17,,Cadets,Clothing
800097566,*NPS (SHOES) LTD,20264,80,33.00,CLOTHING,02/05/17,,Fire Stations (North West),Clothing
800097566,*NPS (SHOES) LTD,20264,81,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,82,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,83,33.00,CLOTHING,02/05/17,,Fire Safety Regulation,Clothing
800097566,*NPS (SHOES) LTD,20264,84,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,85,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,86,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,87,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,88,33.00,CLOTHING,02/05/17,,Cadets,Clothing
800097566,*NPS (SHOES) LTD,20264,89,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
800097566,*NPS (SHOES) LTD,20264,90,33.00,CLOTHING,02/05/17,,Fire Stations (North East),Clothing
800097566,*NPS (SHOES) LTD,20264,91,33.00,CLOTHING,02/05/17,,Fire Stations (South East),Clothing
