Invoice Number, Batch No,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
LGUVJS9L,902807,NPOWER LTD,LGUVJS9L,1,"1,986.47",ELECTRICITY,01/11/17,"1,986.47",Technical and Service Support,Utilities
LGUW2GJ9,902807,NPOWER LTD,LGUW2GJ9,1,"5,488.15",ELECTRICITY,01/11/17,"5,488.15",Technical and Service Support,Utilities
#113,261017K,MATT HALL CONSULTING,#113,1,"4,374.64",CONSULTANTS,02/11/17,"4,374.64",Central Finance,Consultancy
0000098356,161017K,ADVANCED FURNITURE,0000098356,1,567.00,OFFICE FURNITURE,02/11/17,567.00,Fire Stations (South East),Furniture & Soft Furnishings
00008546,301017G,MOOLANDS LTD,00008546,1,600.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,600.00,Technical and Service Support,Works - Construction
002-017,261017K,PRINCIPEA CONSULTING,002-017,1,"1,590.11",CONSULTANTS,02/11/17,"1,590.11",Central Finance,Consultancy
01614,171017K,CLARITY INFORMATION SOLUTIONS,01614,1,"2,925.00",SOFTWARE BESPOKE,02/11/17,"2,925.00",Information and Communication Technology,ICT
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,1,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,"9,860.00",Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,2,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,3,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,4,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,5,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,6,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,7,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,8,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,9,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,10,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,11,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,12,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,13,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,14,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,15,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,16,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,17,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,18,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,19,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,20,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,21,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,22,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,23,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,24,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,25,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,26,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,27,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,28,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,29,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,30,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,31,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,32,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,33,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,34,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,35,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,36,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,37,210.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,38,209.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
