 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
270917K,*HUNTER APPAREL SOLUTIONS LTD,068301,1,982.80,UNIFORMS - POMS,02/10/17,"2,063.88",Procurement,Clothing
270917K,*HUNTER APPAREL SOLUTIONS LTD,068301,2,393.12,UNIFORMS - POMS,02/10/17,,Procurement,Clothing
270917K,*HUNTER APPAREL SOLUTIONS LTD,068301,3,98.28,UNIFORMS - POMS,02/10/17,,Procurement,Clothing
270917K,*HUNTER APPAREL SOLUTIONS LTD,068301,4,196.56,UNIFORMS - POMS,02/10/17,,Procurement,Clothing
270917K,*HUNTER APPAREL SOLUTIONS LTD,068301,5,393.12,UNIFORMS - POMS,02/10/17,,Procurement,Clothing
220917K,*SPRUE SAFETY PRODUCTS LTD,1109532,1,"1,236.00",FIRE DETECTORS,02/10/17,"1,236.00",Fire Stations (North East),Health & Safety
270917K,MATT HALL CONSULTING,112,1,"3,735.00",CONSULTANTS,02/10/17,"3,735.00",Central Finance,Consultancy
220917K,REAM CONTRACTS LTD,15254,1,450.00,REACTIVE SMALL WORKS AND PROJ,02/10/17,450.00,Technical and Service Support,Building Constr Materials
220917K,REAM CONTRACTS LTD,15255,1,"1,650.00",REACTIVE SMALL WORKS AND PROJ,02/10/17,"1,650.00",Technical and Service Support,Building Constr Materials
180917G,ANDERSON TURNER LTD,2017-09-002,1,"3,450.00",PROFESSIONAL DEVELOPMENT,02/10/17,"3,450.00",Development and Training,Human Resources
220917K,AECOM INFRASTRUCTURE &,28322162,1,"2,720.04",PROF FEES-MISCELLANEOUS,02/10/17,"2,720.04",Technical and Service Support,Consultancy
270917K,DRAEGER SAFETY UK LIMITED,2910099164,1,"1,088.40",PROTECTIVE EQUIPT - PARTS,02/10/17,"3,757.58",Technical and Service Support,Fire & Rescue
270917K,DRAEGER SAFETY UK LIMITED,2910099164,2,"1,985.90",PROTECTIVE EQUIPT - PARTS,02/10/17,,Technical and Service Support,Fire & Rescue
270917K,DRAEGER SAFETY UK LIMITED,2910099164,3,158.00,PROTECTIVE EQUIPT - PARTS,02/10/17,,Technical and Service Support,Fire & Rescue
270917K,DRAEGER SAFETY UK LIMITED,2910099164,4,308.80,PROTECTIVE EQUIPT - PARTS,02/10/17,,Technical and Service Support,Fire & Rescue
270917K,DRAEGER SAFETY UK LIMITED,2910099164,5,216.48,PROTECTIVE EQUIPT - PARTS,02/10/17,,Technical and Service Support,Fire & Rescue
260917K,WATERFRONT MANUFACTURING LTD,29450,1,594.39,CLOTHING,02/10/17,797.89,Fire Stations (South West),Clothing
260917K,WATERFRONT MANUFACTURING LTD,29450,2,168.00,CLOTHING,02/10/17,,Fire Stations (South West),Clothing
260917K,WATERFRONT MANUFACTURING LTD,29450,3,10.00,CLOTHING,02/10/17,,Fire Stations (South West),Clothing
260917K,WATERFRONT MANUFACTURING LTD,29450,4,25.50,CLOTHING,02/10/17,,Fire Stations (South West),Clothing
260917K,WATERFRONT MANUFACTURING LTD,29474,1,594.39,CLOTHING,02/10/17,968.29,Fire Stations (Management),Clothing
260917K,WATERFRONT MANUFACTURING LTD,29474,2,168.00,CLOTHING,02/10/17,,Fire Stations (Management),Clothing
260917K,WATERFRONT MANUFACTURING LTD,29474,3,168.00,CLOTHING,02/10/17,,Fire Stations (Management),Clothing
260917K,WATERFRONT MANUFACTURING LTD,29474,4,27.90,CLOTHING,02/10/17,,Fire Stations (Management),Clothing
260917K,WATERFRONT MANUFACTURING LTD,29474,5,10.00,CLOTHING,02/10/17,,Fire Stations (Management),Clothing
260917K,WATERFRONT MANUFACTURING LTD,29510,1,182.00,CLOTHING,02/10/17,350.00,Fire Stations (North East),Clothing
260917K,WATERFRONT MANUFACTURING LTD,29510,2,168.00,CLOTHING,02/10/17,,Fire Stations (North East),Clothing
142009,NOMURA INTERNATIONAL PLC,31-675,1,"3,000.91",RENTS,02/10/17,"3,000.91",Technical and Service Support,Consultancy
260917K,THE FILE FACTORY LIMITED,3157,1,465.00,STATIONERY CONSUMABLES,02/10/17,465.00,Technical and Service Support,Facilities & Management S
800104733,ARKAS LIMITED,31810,1,367.40,REACTIVE APPLIANCE BAY DOORS,02/10/17,367.40,Technical and Service Support,"Works - Construction, R&M"
800104743,ARKAS LIMITED,31816,1,294.00,REACTIVE APPLIANCE BAY DOORS,02/10/17,294.00,Technical and Service Support,"Works - Construction, R&M"
142009,L B OF MERTON,57056269,1,"3,000.00",PROPERTY RATES,02/10/17,"3,000.00",Technical and Service Support,Statutory Bodies
270917K,FOCUS & VISION TECHNOLOGY LTD,59305,1,333.06,MEDICAL EXPENSES CONTRACT,02/10/17,333.06,HR Management,Healthcare
270917K,FOCUS & VISION TECHNOLOGY LTD,59324,1,614.76,MEDICAL EXPENSES CONTRACT,02/10/17,614.76,HR Management,Healthcare
141994,CASTLE WATER LIMITED,613779,1,626.39,WATER & SEWERAGE RATES,02/10/17,626.39,Technical and Service Support,Utilities
130917G,BRAMBLE.CC LTD,7323,1,"4,500.00",ACQUISITIONS,02/10/17,"9,547.00",Information and Communication Technology,Consultancy
130917G,BRAMBLE.CC LTD,7323,2,459.00,ACQUISITIONS,02/10/17,,Information and Communication Technology,Consultancy
130917G,BRAMBLE.CC LTD,7323,3,"4,588.00",ACQUISITIONS,02/10/17,,Information and Communication Technology,Consultancy
142009,ALPHABET (GB) LIMITED,80143043,1,"2,247.09",LEASE CAR CHARGES,02/10/17,"4,294.17",Procurement,Vehicle Management
142009,ALPHABET (GB) LIMITED,80143043,2,"2,047.08",P/PAYMTS-CAR LEASG-RENTAL,02/10/17,,Procurement,Vehicle Management
