Position Number,Job Title,Directorate,Department,Contact Details,Grade,Contract Type,FTE,No. of Staff (Direct and Indirect),Role Salary Band Max (£),Actual Salary within the band of (£),Expenses,Car Benefits in Kind,Budget Held (£),Summary of Responsibilities,Comment
300052,Director of Corporate Services,Commissioner,Commissioners & Directors,30031,Director,Permanent,1.00,430,"£168,693","£165,001 - £170,000", 44.00 ,,"Expenditure budget of £151,675k and income budget of £44,398k","Responsible for the statutory financial control, accountancy and treasury services, budget, payroll and audit systems; the management of the LFC’s property portfolio; the development and maintenance of services providing direct technical and service support and the central procurement function for goods, services clothing and technical equipment, and the management of all information and communications technology services. Responsible for human resources management including, recruitment and assessment, employment policies and procedures, industrial relations and transactional processes. ",N/A
100031,Deputy Commissioner Safety & Assurance,Commissioner,Commissioners & Directors,30021,Director (Op),Permanent,1.00,237,"£168,693","£145,001 - £150,000", 370.00 ,,"Expenditure budget of £37,959k and income budget of £1,935k","Responsible for operational policy and procedures, and the delivery of operational, management and skills training; incident monitoring and audit and resilience, including emergency and contingency planning; and health and safety.  ",N/A
450015,Deputy Commissioner Operations,Commissioner,Commissioners & Directors,30714,Director (Op),Permanent,1.00,5074,"£168,693","£145,001 - £150,000", 265.00 ,,"Expenditure budget of £244,937k and income budget of £1,513k","Responsible for day-to-day operational response including the management of fire stations, the deployment and mobilising of human and other resources, and the development and delivery of  community safety.",N/A
430021,Assistant Commissioner Corporate Portfolio,Directorate of Safety & Assurance,Corporate Portfolio Office,30712,Asst Commissioner,Permanent,1.00,3,"£134,457","£125,001 - £130,000",," 3,854.63 ",Expenditure budget of £164k,"Responsible for the coorindation of the effective and efficient operation of the portfolio management practices and provides support to the Portfolio Director.  Portfolio management plays a critical role in facilitating organisational change by more efficiently coordinating investment in programmes and projects, improving the management of risk, encouraging a more collaborative approach across the Brigade and by providing accurate and timely information to enhance organisational decision making.  They are also responsible for the Portfolio Management Office which manages the governance processes required to ensure the efficient investment, strategic alignment, prioritisation and selection, progress tracking and monitoring, optimisation and benefits achieved by the Brigade’s projects and programmes on behalf of its senior management.   Strategic (Gold) level operational response incident commander.  Provides leadership, command, advice and inter-agency liaison to respond to and resolve operational incidents.  Duty Brigade Manager for the Brigade for all strategic level management advice, guidance, instruction and command.  ",N/A
340001,Assistant Director Technical & Commercial Services,Directorate of Corporate Services,Procurement/Technical & Service Support,31151,TMG A*,Permanent,1.00,144,"£134,457","£125,001 - £130,000",, -   ,"Expenditure budget of £69,402k and income budget of £11,178k","Responsible for carrying out the central procurement function for goods, services, clothing and technical equipment, sustainable development, and for advising on the procurement process ensuring statutory compliance and obtaining cost effectiveness.",N/A
420028,Assistant Commissioner Fire Safety,Directorate of Operations,Fire Safety,30411,Asst Commissioner,Permanent,1.00,385,"£134,457","£120,001  - £125,000",," 4,499.71 ","Expenditure budget of £19,269k and income budget of £708k","Responsible for fire safety regulation and the enforcement of the Regulatory Reform (Fire Safety) Order (2006), regulatory fire safety policy, the management of fire safety inspections, fire engineering, petroleum and fire investigation.",N/A
450921,Assistant Commissioner Operational Resilience & Special Operations,Directorate of Safety & Assurance,Operational Resilience & Special Operations,30051,Asst Commissioner,Permanent,1.00,85,"£134,457","£120,001  - £125,000",, -   ,"Expenditure budget of £6,823k and income budget of £950k","Responsible for statutory emergency planning functions, including major events, contingencies and high threat challenges. Special Operations Group including planning, training, response and recovery for hostile threats, major incidents and extreme weather challenges. National lead for inter-agency liaison officer capability, and oversight of seconded officers working in partner agencies. Planning, training and support to major infrastructure programmes in London, and transport infrastructure liaison including road, rail, river and aviation. Integration with London Resilience Group and partnership, delivering Resilience capabilities in collaboration with  London’s Local Resilience Forum (LRF).",N/A
450248,Assistant Commissioner Fire Stations,Directorate of Operations,Fire Stations,31007,Asst Commissioner,Permanent,1.00,4545,"£134,457","£120,001  - £125,000",, -   ,"Expenditure budget of £217,109k and income budget of £300k","Responsible for the management of all fire stations, and the deployment and mobilising of personnel and other resources to emergency incidents.",N/A
250054,Chief Information Officer,Directorate of Corporate Services,Information & Communications Technology,31452,TMG A,Permanent,1.00,113,"£115,548","£110,001 - £115,000",, -   ,"Expenditure budget of £18,183k and income budget of £1,316k","responsible for the  ICT infrastructure, security and governance arrangements, the delivery of IT information and  business systems and the day-to-day management of ICT contracts with third party suppliers.",N/A
210001,Assistant Director Strategy & Risk,Directorate of Safety & Assurance,Strategy & Risk,30061,TMG A,Permanent,1.00,35,"£115,548","£105,001 - £110,00",, -   ,"Expenditure budget of £1,957k and income budget of £383k","Responsible for leading organisational strategy; inspection, improvement and performance management; risk management and continuity arrangements and the delivery of good practice for UK fire services and standards for the English Fire and Rescue Service in partnership with the NFCC.",N/A
