 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
290817F,HISTORIC ENGLAND,0000100020,1,"2,020.00",PROFESSIONAL DEVELOPMENT,01/09/17,"2,020.00",Development and Training,Human Resources
240817K,FLAGMAKERS,1087241,1,672.52,REACTIVE SMALL WORKS AND PROJ,01/09/17,672.52,Technical and Service Support,Works - Construction
180817K,*SPRUE SAFETY PRODUCTS LTD,1108344,1,"1,320.00",FIRE DETECTORS,01/09/17,"1,320.00",Fire Stations (South West),Health and Safety
290817F,THE HOME OFFICE,1137707,1,"126,443.87",RADIO,01/09/17,"135,096.68",Information and Communication Technology,ICT
290817F,THE HOME OFFICE,1137707,2,"8,652.81",RADIO,01/09/17,,Information and Communication Technology,ICT
250817G,PARTNERS BY DESIGN LTD,1221026807,1,745.00,GENERAL,01/09/17,745.00,Central Finance,Consultancy
250817G,WARWICK IC SYSTEMS LTD,12281,1,"5,285.50",MAINTENANCE & SUPPORT,01/09/17,"5,285.50",Information and Communication Technology,ICT
290817F,THE MARSTAN PRESS LTD========,14427,1,388.80,GENERAL CONSUMABLES,01/09/17,388.80,Procurement,Emergency Services
250817G,IMTECH INVIRON,15007303R7,1,"1,252.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,"94,140.00",Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,2,"18,935.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,3,"1,250.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,4,"1,250.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,5,"29,135.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,6,"1,250.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,7,"1,250.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,8,"6,188.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,9,"5,811.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,10,"3,475.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,11,"4,671.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,12,"16,327.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,13,"2,096.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,IMTECH INVIRON,15007303R7,14,"1,250.00",DEVELOPMENT  EXPENSES-CONTRACT,01/09/17,,Technical and Service Support,Facilities & Management S
240817G,REAM CONTRACTS LTD,15163,1,"1,080.00",REACTIVE SMALL WORKS AND PROJ,01/09/17,"1,080.00",Technical and Service Support,Building Constr Materials
240817K,TRADE WIND,15411,1,352.00,GENERAL CONSUMABLES,01/09/17,352.00,Procurement,Facilities & Management S
290817F,RESPIREX,160778,1,"6,504.00",OPERATIONAL EQUIP-PURCHASE,01/09/17,"6,504.00",Technical and Service Support,Clothing
290817F,RESPIREX,160809,1,"4,336.00",OPERATIONAL EQUIP-PURCHASE,01/09/17,"4,336.00",Technical and Service Support,Clothing
290817F,RESPIREX,160822,1,"4,336.00",OPERATIONAL EQUIP-PURCHASE,01/09/17,"4,336.00",Technical and Service Support,Clothing
141979,AMAS LTD,1836-1166428/P,1,"3,366.81",PREMIUMS,01/09/17,"4,040.17",Central Finance,Facilities & Management S
141979,AMAS LTD,1836-1166428/P,2,673.36,PAYMENTS IN ADVANCE,01/09/17,,Finance Services,Facilities & Management S
250817G,DRON & WRIGHT,18946,1,372.25,PROFESSIONAL SERVICES,01/09/17,"46,424.00",Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,2,"4,087.90",PROFESSIONAL SERVICES,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,3,142.50,PROFESSIONAL SERVICES,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,4,"2,057.50",PROFESSIONAL SERVICES,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,5,949.64,PROFESSIONAL SERVICES,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,6,"4,123.00",DISPOSAL COSTS-ESTATES AGENTS,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,7,"2,074.25",DISPOSAL COSTS-ESTATES AGENTS,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,8,"5,855.64",PROFESSIONAL SERVICES,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,9,"1,285.75",PROFESSIONAL SERVICES,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,10,750.00,PROFESSIONAL SERVICES,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,11,"12,582.55",DISPOSAL COSTS-ESTATES AGENTS,01/09/17,,Technical and Service Support,Facilities & Management S
250817G,DRON & WRIGHT,18946,12,"1,627.75",PROF FEES-MISCELLANEOUS,01/09/17,,Technical and Service Support,Facilities & Management S
