Borough,Fire rescue unit,Fire rescue unit,Fire rescue unit,Fire rescue unit,Fire rescue unit,Aerial appliance,Aerial appliance,Aerial appliance,Aerial appliance,Aerial appliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borough,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barking and Dagenham,10:34,10:37,11:52,12:07,11:07,11:23,10:14,15:52,21:40,11:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnet,14:51,14:30,16:50,17:24,17:29,12:45,18:04,12:50,18:18,16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley,08:47,09:23,09:11,09:22,11:10,,,28:01,16:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent,09:29,10:12,09:49,10:30,10:17,08:26,08:22,08:18,10:50,10:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromley,13:59,14:18,14:51,15:13,14:22,11:59,11:21,13:58,14:03,14:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden,07:41,08:54,09:15,09:52,09:43,07:35,08:02,07:32,07:38,07:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of London,09:36,09:18,09:23,11:13,10:52,09:13,09:49,09:44,09:53,09:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon,08:35,09:10,08:53,09:20,08:12,16:11,14:16,15:49,16:20,16:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ealing,11:50,11:53,10:59,12:55,12:33,13:29,13:16,13:28,13:03,13:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield,11:23,10:20,12:07,11:25,09:28,09:35,13:07,09:47,12:23,09:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich,10:30,11:22,11:26,12:41,11:48,10:01,11:55,11:05,13:32,13:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
