,Incidents,Incidents,Incidents,Incidents,Incidents,Fires,Fires,Fires,Fires,Fires,Primary fires,Primary fires,Primary fires,Primary fires,Primary fires,Arson (deliberate fires),Arson (deliberate fires),Arson (deliberate fires),Arson (deliberate fires),Arson (deliberate fires),Accidental dwelling fires,Accidental dwelling fires,Accidental dwelling fires,Accidental dwelling fires,Accidental dwelling fires,Fires in sheltered housing and care homes,Fires in sheltered housing and care homes,Fires in sheltered housing and care homes,Fires in sheltered housing and care homes,Fires in sheltered housing and care homes
Borough,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17
Barking and Dagenham,"2,060","2,059","1,921","2,190","2,141",631,694,616,712,628,292,286,262,338,300,202,194,198,219,200,128,133,121,147,132,5,2,5,8,6
Barnet,"3,326","3,189","3,031","3,326","3,438",673,692,634,730,631,410,406,358,405,370,132,118,110,122,78,215,215,208,222,209,24,19,16,25,12
Bexley,"1,877","1,920","1,916","2,099","2,117",529,495,547,670,595,297,233,273,297,286,144,150,162,209,174,142,101,115,117,108,18,14,14,16,11
Brent,"3,015","2,984","2,631","2,990","3,134",624,671,594,666,679,411,389,386,407,388,107,89,71,99,119,224,208,211,220,218,21,35,15,13,17
Bromley,"2,782","3,040","2,815","3,060","3,081",693,737,775,929,917,370,343,327,329,388,197,199,201,228,256,153,135,127,137,159,30,20,19,20,8
Camden,"5,576","5,343","4,826","4,878","4,856",630,694,648,595,628,405,390,369,334,350,62,82,85,57,74,202,180,174,177,179,24,8,10,12,9
City of London,"1,198","1,208","1,171","1,206","1,164",85,111,97,97,85,69,81,69,71,64,4,4,4,5,2,5,6,12,6,3,0,0,0,0,0
Croydon,"3,561","3,899","3,545","3,544","3,929",874,904,823,847,833,485,479,461,472,461,216,203,202,163,202,247,254,241,260,229,19,29,15,20,11
Ealing,"3,535","3,434","2,926","3,389","3,699",739,742,653,690,755,401,411,373,380,390,157,107,120,127,153,178,205,192,190,195,22,26,28,21,30
Enfield,"3,251","3,125","2,946","2,995","3,055",787,794,758,687,778,432,405,418,337,405,206,184,171,154,181,228,200,208,151,167,19,14,18,11,10
Greenwich,"2,965","2,956","2,691","2,871","3,070",711,804,652,727,706,395,376,380,369,389,200,226,154,186,176,187,185,179,173,179,18,20,24,10,7
Hackney,"4,276","3,964","3,942","4,030","4,026",732,714,666,643,589,402,436,393,379,348,115,105,91,92,93,252,279,250,231,211,26,22,21,17,13
Hammersmith and Fulham,"2,999","2,800","2,652","2,634","2,859",397,401,355,388,379,260,259,230,242,260,42,31,36,56,42,156,146,138,118,145,20,23,17,16,15
Haringey,"2,671","2,649","2,599","2,787","2,912",538,559,587,615,637,304,312,336,322,337,76,89,112,122,117,174,183,197,178,197,21,16,19,6,11
Harrow,"1,938","1,923","1,679","1,774","1,794",349,383,315,347,335,208,219,209,181,191,47,64,57,56,52,129,125,124,98,107,19,18,14,6,9
Havering,"2,099","2,183","2,146","2,253","2,326",505,572,618,680,695,250,237,271,279,280,128,173,187,189,224,107,97,105,107,109,13,11,20,18,6
Hillingdon,"3,626","3,602","3,015","3,080","3,281",823,802,756,826,880,445,411,430,440,475,222,195,201,211,239,161,140,141,136,146,12,13,9,13,12
Hounslow,"2,458","2,576","2,356","2,505","2,784",616,698,542,686,671,329,344,301,343,316,162,168,131,151,186,149,152,144,144,135,9,10,14,12,7
Islington,"3,410","3,319","3,207","3,176","3,239",556,519,582,530,472,327,284,341,308,280,97,98,119,113,86,184,140,164,154,155,10,7,14,11,5
Kensington and Chelsea,"3,321","3,175","2,998","3,095","3,181",314,331,317,320,283,231,231,231,216,214,11,15,18,20,12,148,146,140,118,121,8,10,9,6,5
Kingston upon Thames,"1,707","1,439","1,323","1,327","1,450",292,305,294,253,291,159,165,167,160,159,69,58,60,35,70,90,90,75,89,76,10,6,7,10,11
Lambeth,"4,647","4,399","4,054","4,241","4,699",820,780,791,719,732,548,474,449,428,399,118,124,126,101,118,338,272,278,268,225,44,36,31,29,20
Lewisham,"3,628","3,548","3,474","3,529","3,533",625,711,646,697,588,390,389,377,411,349,118,128,140,130,91,225,229,228,235,222,18,17,26,11,11
Merton,"1,743","1,716","1,591","1,836","2,118",374,456,373,413,398,215,216,203,215,197,60,83,60,76,67,102,100,107,130,94,7,8,4,4,4
Newham,"3,573","3,242","3,043","3,239","3,727",857,920,771,834,848,439,464,392,386,456,280,344,216,254,307,228,218,205,180,174,17,26,13,7,7
Redbridge,"2,306","2,339","2,161","2,288","2,448",528,596,576,562,608,290,275,314,256,286,97,122,90,78,98,157,136,169,135,128,9,11,13,15,10
Richmond upon Thames,"1,679","1,570","1,679","1,597","1,648",317,283,307,300,301,179,167,178,173,169,56,52,48,41,47,96,91,119,98,90,16,15,23,12,4
Southwark,"5,047","4,750","4,431","4,459","4,703",896,910,942,879,771,525,434,512,448,447,141,154,187,148,132,310,254,293,239,240,15,10,21,15,14
Sutton,"1,589","1,806","1,613","1,613","1,688",390,482,385,387,363,227,262,203,184,185,94,120,84,57,69,114,136,116,102,86,28,28,13,9,6
